,keywords
618,"bowling,hostage,sphinx,training,insane asylum,tools,frankenstein,casanova,superhero,based on comic book,independent film,comedy,spoof,skull,shovel,disco,superhero spoof,invisible man,dark horse comics,invisibility,rajah,bowling ball,spleen,evil genius"
619,"wife husband relationship,daydream,marriage,freedom,friends"
620,"spy,newspaper,research,interview,tobacco,insider,conspiracy theory,reporter,whistleblower,columbia broadcasting system (cbs),tobacco industry"
621,"coast guard,based on true story,survival,rescue mission,storm at sea,sinking ship,1950s,3d"
622,"terror,falsely accused,based on novel,dying and death,jordan,dubai,intelligence agency,beating"
623,"mouse,idiot,mind control,taxidermy,aftercreditsstinger,duringcreditsstinger"
624,"usa president,vampire,steam locomotive,american civil war,19th century,abraham lincoln,3d"
625,"london england,new year's eve,skyscraper,burglar,distrust,undercover,blackmail,nudity,thief,heist,older man younger woman relationship,art thief,criminal,art theft,millennium,manhattan, new york city,gala,kuala lumpur malaysia"
626,"bomb,helicopter,secret,obsession,extraterrestrial technology,fbi,space marine,mutation,secret society,secret organization,secret lab,x-files,government"
627,"roman empire,emperor,ancient rome,western roman empire,ancient world,julius caesar"
628,"war crimes,self sacrifice,war veteran,world war ii,war ship,airplane,bravery,normandy,parachute,troops,waffen ss,omaha beach,army,cowardice,american flag,war memorial,deserted town,military,1940s"
629,"street race,super cars,super speed,car,based on video game,duringcreditsstinger,3d"
630,"women,telepathy,supernatural powers,advertising executive,woman director"
631,"human evolution,parents kids relationship,squirrel,ice,loss of child,mammoth,sloth,dying and death,stone age,prehistoric,saber-toothed tiger,cavemen,prehistoric creature,prehistoric adventure,prehistoric times,prehistoric man"
632,religion and supernatural
633,"usa president,speech,battlefield,family conflict,mourning,american civil war,cultural conflict,based on true events,battle of gettysburg,secession,presidential cabinet,gettysburg address,conflagration,ethical dilemma,emancipation,abraham lincoln"
634,"saving the world,artificial intelligence,man vs machine,philosophy,prophecy,martial arts,self sacrifice,fight,insurgence,virtual reality,dystopia,truth,cyberpunk,woman director,messiah,gnosticism"
635,"moon,florida,nasa,spaceman,race against time,houston,based on true story,space,rescue,survival,disaster,explosion,astronaut,imax,saturn v rocket,courage,hypothermia,apollo program,cape kennedy,lunar mission,spacecraft accident"
636,"holiday,christmas party,home,santa claus,magic,toy,wish,son,sequel,saving christmas,christmas"
637,"france,robbery,brothel,mayor,star,musical,arrest,army,rebellion,wedding,falling in love,corpse,parole,convict,girl disguised as boy"
638,"romantic comedy,online dating,woman director"
639,"becoming an adult,autonomy,childhood trauma,hostility,step brother,slacker,man child,aftercreditsstinger,duringcreditsstinger"
640,"california,spy,hero,horseback riding,sword fight,revenge"
641,"highway,slacker,hitchhiker,wallet,sunglasses,rest stop,vicodin,waffle"
642,"world war ii,prisoners of war,biography,sport,war,athlete,woman director,olympic athlete"
643,"nasa,space travel,astronaut,elderly"
644,"rocky mountains,airplane,hijacking,suitcase,climbing,heist,money,snow,mountain climbing,mountain"
645,"helicopter,river,captain,underground,mexican standoff,countdown,pilot,fistfight,canyon,major,betrayal,gunfight,train,explosion,park ranger,desert,military,nuclear device,boxing,stealth aircraft,abandoned mine,humvee"
646,"age difference,midlife crisis,suppressed past,self-awareness,childhood memory,humor,changing the past or future"
647,"terror,runaway,alarm clock,hero,firemen,fire engine,war on terror,rescue,marine,hospital,trapped,rubble,rescue team"
648,"faculty,art history,rowing,school nurse,femininity,teacher hero,womens issues"
649,kurdish
650,"life and death,sexual obsession,free love,heterosexual,christmas party,eroticism,orgy,masked ball,marijuana,illegal prostitution"
651,"musical,orphan,foster child"
652,"seduction,con man,femme fatale,deception,rivalry,con artist"
653,"love triangle,friendship,dating,sushi bar,exploding airplane,online dating,stable,karate class,dog shelter"
654,"fbi,dracula,fistfight,vampire hunter,superhero,based on comic book,martial arts master,motorcycle,katana sword,blade,loss of friend,super villain,vampire slayer,fast motion scene,female vampire"
655,"guerrilla,colorado,invasion,anti-communism,near future,red army"
656,"white house,usa president,presidential election,scandal,george w. bush,extramarital affair"
657,"mutant,dystopia,sequel,conspiracy,tokyo japan,zombie,based on video game,moscow,hand to hand combat,virus,plague,pandemic,mega corporation"
658,"car race,dystopia,matter of life and death,prison guard,car set on fire,escape from prison,exploding building,vehicle combat,car crash,violence"
659,"assassination,amnesia,hostage,chase,dark comedy,teacher,escape,single mother,timebomb,candlelight vigil,rogue agent,street shootout,ex cia agent,christmas parade"
660,"hostage,new love,suspense,agent"
661,"adventure,house,alien,giant robot,outer space,astronaut"
662,"support group,dual identity,nihilism,rage and hate,insomnia,dystopia,violence"
663,"american football,1970s,trainer,college,sport"
664,"vatican,leonardo da vinci,painting,master thief"
665,"weather forecast,tv station,weather,lottery,wettermann,debt,woman director"
666,"soul,queen,anti hero,fantasy,prince,supernatural,frankenstein,good vs evil,gargoyles,fighting,demon,dark,imax,3d"
667,"london england,child abuse,street gang,runaway,child labour,children's home,orphanage,thief,violence,good and bad,child"
668,"martial arts,based on comic book,female assassin,spin off"
669,"detective,dystopia,dominatrix,murder,suspense,twins,based on graphic novel,dark horse comics,neo-noir,3d"
670,"infidelity,politician,airplane crash,death,death of husband,police sergeant,death of wife"
671,"mountains,snow storm,hiking,climbing,snow,death,blizzard,mountain climbing,based on true events,mount everest,3d"
672,"paris,female nudity,prostitute,small town,obsession,orgy,bad smell,nudity,lone wolf,lavender,nose,child prodigy,fish market,daughter,supernatural,genius,children's home,death,perfume"
673,"saving the world,submarine,brother brother relationship,clone,spy,helicopter,gold,submachine gun,asteroid,undercover,belgium,dutch,car journey,nightclub,laser,sumo ringer,family history,auto,clowning,overweight man,conciliation,james bond spoof,duringcreditsstinger"
674,superhero
675,"exotic island,dna,paleontology,tyrannosaurus rex,triceratops,brontosaurus,electric fence,island,dinosaur,amusement park,theme park,jurassic park"
676,"gunslinger,gambling,sheriff,deputy sheriff,wretch,wyatt earp,historical figure,doc holliday"
677,"assassination,spy,ambush,cia,helicopter,based on novel,usa president,sniper,fbi,colombia,drug traffic,bomber,mission of murder,mercenary,insurgence,coast guard,spying,war,car bomb,drug cartel,conspiracy,shootout,infantry,violence,jack ryan,political cover-up"
678,
679,"baby,adoption,married couple,small person,criminal"
680,"submarine,world war ii,north atlantic,mission"
681,"white house,usa president,new love,widower,wildlife conservation"
682,"sport,ice hockey,guru,comedy,bollywood,india,spiritualist,broken heart,self-help,stanley cup,chastity,ashram,expert"
683,"casino,submachine gun,hold-up robbery,elvis,reference to elvis presley,duringcreditsstinger"
684,"bounty hunter,wyoming,mountains,narration,hangman,stagecoach,blizzard,post civil war"
685,"competition,olympic games,sport,rivalry,ice skating"
686,"coup d'etat,slacker,easter,easter bunny,aftercreditsstinger,live action and animation"
687,"evisceration,javelin,shield,army,fall from height,ancient world,s.a.t.,minions"
688,"cia,parents kids relationship,florida,anti-authoritarian upbringing,jew,parents-in-law,orderly,just married,sex therapy,bad father-in-law,family,illegitimate son"
689,"journalist,based on novel,puppy,dog,duringcreditsstinger,columnist,animal lead"
690,"southern usa,black people,mentally disabled,based on novel,heal,death row,jail guard,great depression,prison guard,electric chair,magic realism,healing,death row inmate,1930s"
691,"midlife crisis,road trip,politically incorrect,motorcycle gang,biker film,awkwardness,travel writer,middle age,middle aged man"
692,"fish,small town,space marine,chicken,alien,best friend,alien invasion,animal,duringcreditsstinger,3d"
693,"based on novel,marriage crisis,disappearance,cheating husband,missing person,search party,criminal lawyer,wife murder,murder suspect,missing wife"
694,"paris,barcelona spain,assassin,based on novel,secret identity,amnesia,sniper,passport,mission of murder,lovers,escape,shootout,foot chase,cell phone,car chase,multiple identities,surveillance camera,hamburg germany,fishing boat,langley virginia,safe deposit box,flashback,hand to hand combat"
695,"cuba,falsely accused,secret identity,computer virus,secret base,secret intelligence service,kgb,satellite,special car,cossack,electromagnetic pulse,time bomb,st. petersburg russia,ejection seat,red army"
696,"suicide,detective,based on novel,bondage,general,paranoia,nudity,u.s. army,investigation,politics,cover-up,murder,betrayal,conspiracy,gang rape,father daughter relationship,videotape,military law"
697,"claustrophobia,hidden camera,dystopia,reality show,make believe,pretend"
698,"moses,egypt,pyramid,exodus,kingdom,governance,ancient egypt,hebrew,pharaoh,woman director"
699,"competition,success,kindergarten,children,unemployment"
700,"undercover,undercover agent,based on comic book,money,fugitive,bank robbery,dea agent"
701,"fight,governance,puppy,allergy,3d"
702,"venice,california,train station,helicopter,austria,mountains,gold,subway,hacker,chase,safe,remake,caper,revenge,murder,heist,double crossed,fast cars,boat chase,los angeles,explosion,convict,father daughter relationship,car chase,tv news,hollywood sign,television repair,mini cooper"
703,"new york,parish hall,romantic comedy,lawyer,billionaire,environmental law"
704,"general,hero,worker,ant,work,assignment,war,princess,soldier,individuality,friend"
705,"island,married couple,yoga,tahiti,couples therapy,beautiful woman,tropical,aftercreditsstinger,duringcreditsstinger,french polynesia,polynésie française"
706,"stock-car-race,daytona,car crash"
707,"holiday,lake,big family,father,labor pain,rivalry,family holiday"
708,"based on novel,resistance,maze,post-apocalyptic,dystopia,infection,on the run,escape,zombie,storm,disease,desert,sewer,antidote,corporation,virus,runner,city ruin,immunity"
709,"indonesia,female protagonist,india,divorce,bali"
710,"workaholic,second chance,guardian angel,christmas,career vs family,life reprioritizing"
711,"cia,retirement,shot to death,sniper rifle,retired,female spy,alarm"
712,"american football,trainer,training,american football coach,sport,american football stadium"
713,"love triangle,new york,montana,attachment to nature,confidence,horseback riding,horse,riding accident,career woman,ranch,horse whisperer,trauma,country life,marriage crisis,crisis,travel,mother daughter relationship,animal,nature"
714,"california,taxi,assassin,hostage,taxi driver,fbi,hitman,police,los angeles,murderer,crime,criminal,gun violence"
715,"egypt,temple"
716,"ledge,practical joke"
717,"based on novel,sniper,investigation,police,quarry"
718,"shark attack,shark,alzheimer's disease,killer shark,no opening credits"
719,"pop star,music,concert,aftercreditsstinger,duringcreditsstinger"
720,"saving the world,mutation,infection,terminal illness,quarantine,outbreak,medical,vaccine,lethal virus,scientist,epidemic"
721,"money delivery,fool,australia,hoodlum,kangaroo"
722,"dream,eye,stuffed animal,parallel world,button,new home,secret door,aftercreditsstinger,duringcreditsstinger"
723,"tree,natural disaster,crisis,park,strange behavior"
724,"mexico,cia,kidnapping,diary,bible,bodyguard,stuffed animal,cell phone,alcoholic,grenade launcher,bloodshed,swim meet"
725,"father son relationship,parents kids relationship,workaholic,wife husband relationship,transformation,body exchange,daughter,lawyer,dog,family,turns into animal"
726,"informant,jumping from a rooftop,surveillance footage"
727,"holiday,christmas party,santa claus,toy,puppet,christmas,turboman,navidad"
728,"black magic,fistfight,cover-up,superhero,paranormal phenomena,narration from grave,demon,occult,combat photography,reanimated corpse,duringcreditsstinger"
729,"success,advancement,right and justice,leukemia,lawyer,business start-up"
730,"medium,stop motion,curse,jock,ghost,communicating with the dead,aftercreditsstinger,dealing with the past,witch trial,child witch,empathy,strange"
731,"fbi,cold war,hitman"
732,"prophecy,engineer,scientist,millionaire"
733,"miami,television,career,vitamin b,reporter"
734,"loyalty,totalitarian regime,mouse,forgiveness,honor,unlikely friendship,courage,chivalry,animal lead"
735,"bomb,intelligence,chauffeur,wound,secret agent,head injury"
736,"terrorist,pentagon,satellite,navy seal,train"
737,"london england,corruption,cia,terrorist,sniper,explosive,intelligence,russia,murder,conspiracy,surveillance,agent,jack ryan,u.s. marine,rehab,analyst"
738,"factory,inventor,strong woman,biography,based on true story,stolen patent"
739,"london england,terrorist,terrorist attack"
740,"android,mercenary,dystopia,sequel,alien,betrayal,impalement,cloning,scientist,flamethrower,disembowelment,smuggler,gene manipulation,man in wheelchair,breeding,genetic engineering,regeneration,xenomorph,alien queen,explosive decompression,swimming underwater"
741,"corruption,sniper,senator,conspiracy of murder,childlessness,rifle,sniper rifle,fbi agent"
742,"based on novel,stop motion,father daughter relationship,unlikely friendship,duringcreditsstinger"
743,"witch,magic,sorcery,love,curse,family curse"
744,"father son relationship,creativity,friendship,part live action,toys,based on toy,falling in love,super powers,duringcreditsstinger,different worlds,lego,batman"
745,"ransom,press conference,ship,miss america,fbi agent"
746,"dragon,evolution,fire chief,animated map,theatre audience,dragonslayer,tunnel construction,fire repellent,drilling,iodine"
747,"los angeles,gangster"
748,"temple,slavery,stone age,circumcision,hebrews,cavemen,prehistoric adventure,duringcreditsstinger,prehistoric times,prehistoric man"
749,"stadium,south africa,apartheid,nelson mandela,sport,nation,rugby,president,racism,poverty,celebration,duringcreditsstinger"
750,"corruption,assassination,detective,journalist,assassin,newspaper,congress,editor-in-chief,conspiracy of murder,politics,election campaign,government,murder,thriller,blog,reporter"
751,spy
752,"alien,martian,based on tv series,fish out of water"
753,"usa president,agent"
754,"flying saucer,alien life-form,spaceship,alien,alien planet,planet,duringcreditsstinger"
755,"clone,assassination,ambush,federation,starfleet,enterprise-e,romulus,android,senate,self sacrifice,telepathy,weapon,romulans,space opera"
756,"california,assassin,infidelity,fetish,hitman,tycoon,court,satire,lawyer,inheritance,divorce"
757,"women,baseball,pitcher,home run,aging,sport,talent-scout,cigar smoking,poor eyesight,boston red sox,draft,motel room,baseball scout,failing eyesight,blurry vision,blurred sight"
758,"murder,violence,death of daughter,homicide detective"
759,"chicago,based on novel,monster,museum,pile of dead bodies,god,dead body,anthropologist,indian tribe,amazon jungle"
760,"prison,gold,therapist,gangster"
761,"revenge,murder,plot twist,dirty cop"
762,"assassin,loss of family,autism,fbi,bangkok,national security agency (nsa),boy,child in peril,fbi agent,autistic savant"
763,"newspaper,cello,musical,violin,los angeles"
764,"competition,world war i,great depression,caddy,savannah"
765,"hotel room,san diego,drug addiction,stewardess,overdose,groupie,music journalist,black sabbath,rock,concert,swimming pool,based on true story,promiscuity,coming of age,on the road,domineering mother,reconciliation,semi autobiographical,innocence lost,bus trip,aspiring writer"
766,"london england,cat,mistake in person,luxury,wretch,nobility,garfield"
767,"washington d.c.,helicopter,usa president,general,coup d'etat,military prison,coup,agent,insurgent,secretary of defense,potus"
768,"vampire,crucifixion,post-apocalyptic,dystopia,vampire hunter,disobey,niece,dark hero"
769,"prince,water monster"
770,"space marine,nudity,nightmare,hallucination,cryogenics,space travel,black hole,insanity,delusion,crew,alternate dimension,evil spirit,hellgate,religion,explosion,violence,burning man,rescue team,flashback,supernatural power,trapped in space,distress signal,derelict ship"
771,"pregnancy and birth,voice,dragonfly,car crash,jungle,hospital,doctor,humanitarian,spiritism"
772,"pornography,observer,los angeles,murder hunt"
773,"world war i,biplane"
774,"prison,general"
775,"black people,starships,future,star,supernova,blast"
776,based on novel
777,"angel,vampire,werewolf,warlock,downworlder,shadowhunter,demon hunter,based on young adult novel"
778,"new york,captain,starships,new love,earth,friendship,crew,car crash,space,alien,survival,planet,duringcreditsstinger"
779,"based on novel,water,remake,teacher,divorce,apartment,ghost,manhattan, new york city"
780,"tv show,tv station,simulated reality ,reality tv,tv star,tv ratings"
781,"book,fairy tale,eavesdropping,adventure,writer's block"
782,"secret identity,robber,mask,frog,based on comic strip,back from the dead"
783,"based on novel,painting,debt,art dealer,stolen painting"
784,"fictional place,monster,loss of family,new love,hero,love of one's life,magic,fairy tale,villain,kingdom,enchantment,bad power,son,heir to the throne,motherly love,wizardry,revenge,royalty,family,based on video game,medieval"
785,"london england,cia,landmine,love of one's life,cambodia,ethiopia,chechnya,foreign aid"
786,monkey king
787,"based on novel,world war ii,prisoners of war,narration,archive footage,rescue mission,soldier,1940s,inspired by true events,fictionalized history"
788,"anti hero,mercenary,marvel comic,superhero,based on comic book,breaking the fourth wall,aftercreditsstinger,duringcreditsstinger,self healing"
789,"salesclerk,television,tv ratings,guru,television producer"
790,"sniper,biography,iraq,navy seal,u.s. soldier"
791,"based on novel,magic,fantasy,werewolf,family,ventriloquist dummy,book comes to life,3d"
792,"coma,based on novel,workaholic,flirt,architect,romantic comedy,ghost,landscape architect"
793,"waitress,marriage proposal,flirt,stone age,best friend,dinosaur"
794,"competition,submachine gun,soviet union,liberation,russian,soviet troops,thailand,freedom fighter,afghanistan,war on freedom,machinegun,mujahid,reality show,western,japanese food,soap opera"
795,"american football,sports team,stadium,hero,success,sponsorship,police,games,coach,woman reporter,the big game"
796,wild west
797,"witness protection,comedy,duringcreditsstinger"
798,"job interview,loss of job,intern,reference to google,new job,laid off,transamerica pyramid"
799,"post-apocalyptic,dystopia,undead,biohazard,evil corporation,resident evil,zombie,based on video game,duringcreditsstinger,3d"
800,"world war ii,fighter pilot,fighter plane"
801,"child abuse,southern usa,obsession,subway,nudity,bible,seduction,hallucination,ambition,devil's son,marriage crisis,pact with the devil,crooked lawyer,evil spirit,satan,religion,lust,courtroom,temptation,law firm,manhattan, new york city,seven deadly sins,ethics,gainesville florida"
802,"deadbeat dad,cheating fiancée,teacher student sex,brother sister incest"
803,"magic,kingdom,despot,immortality,village,forest,army,horror,partner,revenge,knight,battle,medieval,dragonheart"
804,"bahamas,master thief,crook couple"
805,"monk,eastern europe,skeleton,biker,marvel comic,superhero,motorcycle,devil,dark hero,ghost rider"
806,"officer,greek island,mandolin,italian soldier,resistance fighter,greek history,italian army,allied forces"
807,"bodybuilder,children,body guard,scientist,family,u.s. soldier,death of husband,male nanny"
808,"casino,sheriff,home,violence,special forces,ex soldier"
809,"vietnam veteran,hippie,mentally disabled,running,based on novel,vietnam,vietnam war,friendship,love,family relationships,bully,mother son relationship,military,hugging,shrimping,wounded soldier,flashback,park bench,amputee"
810,"pop,pop star,record producer,surprise,approach,forest,music,concert,friendship,performance,chipmunk,talking animal,songwriter,talking to animals,duringcreditsstinger"
811,"cia,airport,cat,jew,orderly,airplane,father-in-law,epistaxis,daughter,lost baggage,urn,pavilion,volleyball,hospital,wedding"
812,"culture clash,settler,forbidden love,colony,musical,gold rush,princess,romance,native american,animation,virginia,star crossed lovers,reference to pizarro,jamestown virginia,pug dog,cross cultural relationship,musket,animate tree,indian chief,based on folk tale,17th century,shamanism,songs,indians vs. settlers,animal sidekick,powhatan,land claim"
813,"saving the world,journalist,dc comics,crime fighter,nuclear missile,galaxy,superhero,based on comic book,criminal,sabotage,north pole,midwest,kryptonite,super powers,superhuman strength,aftercreditsstinger,save the day"
814,"overweight,overweight man,duringcreditsstinger"
815,"speed date,romantic comedy,dating"
816,"africa,san francisco,gorilla,lion,feral child,jungle"
817,"handcuffs,sister sister relationship,spanner,blow job,stag night,wedding"
818,"ship,hijacking,somalia,fisherman,blood,poverty,pirate,terrorism,commando,hijack,cargo ship,ship captain,ship hijacking,somali,commando unit"
819,"date,corruption,taxi,expensive restaurant,wife husband relationship,gun,boat,taxi driver,document,restaurant,roof,married couple,politician,stripper,shooting,thief,car crash,stealing,mistaken identity,police corruption,aftercreditsstinger,duringcreditsstinger"
820,"halloween,friendship,supernatural,afterlife,friends,danger,ghost,disorder,young heroes,imaginary,supernatural ability,mischievous children"
821,"corruption,assassin,hostage,fbi,hitman,russian,security camera,sadism,vigilante,sociopath,revenge,suspense,organized crime,gore,gangster,violence,teenage prostitute,commando,interrogation,surveillance,ex soldier,faked death,loner,call girl,black ops,hand to hand combat,mysterious past"
822,"hotel,politician,mistaken identity,maid,class differences,single mother,public relations,maid uniform,hotel clerk,wealth differences"
823,"submarine,mutiny,russia,missile,nuclear missile,embassy,u.s. navy,battle for power,torpedo,military,moral dilemma,post cold war,aircraft carrier,chain of command,launch code,sonar"
824,"san francisco,single parent,homeless person,bus,worker,homelessness,work,church service,bad luck,biography,salesman,stockbroker"
825,"berlin,loss of father,airplane,baby-snatching"
826,"employee,workplace,sexual harassment,intrigue"
827,"suicide,angel,life and death,desperation,operation,heaven,faith,afterlife,los angeles,interspecies romance"
828,"japan,coma,martial arts,kung fu,underworld,yakuza,sword,bride,revenge,gore,female yakuza,blood,wedding,samurai sword,part animation"
829,"film producer,film director,movie studio,hollywood,filmmaking,movie actress"
830,"brother brother relationship,swordplay,katana,mother role,rage and hate,daughter,right and justice,single,aftercreditsstinger,duringcreditsstinger"
831,"prisoner,war on drugs,los angeles"
832,"jealousy,beauty,immortality,rivalry,potion,drinking"
833,"princess,sioux,travel,rescue,native american,chinese,cowboy,duringcreditsstinger,19th century"
834,"bomb,ransom,hostage,airplane,hijacking,terror cell,special unit,deception,rescue,covert operation,disaster,shootout,terrorism,explosion,violence,surveillance,night vision goggles,flight attendant,intelligence agent,flashback,hand to hand combat,nerve gas"
835,"taxi,restaurant,zoo,penguin,ex husband,little boy,zookeeper,doorman,ride,bird hatching,aftercreditsstinger,duringcreditsstinger"
836,"tempel,shaolin,teenager,urination,staff,warrior,monkey king"
837,"holiday,thanksgiving,freedom,duringcreditsstinger,3d"
838,"prison,android,spacecraft,space marine,imprisonment,space colony,space travel,rottweiler,dystopia,sequel,alien,redemption,outer space,planet,shaved head,crash landing,impregnation,penal colony,furnace,suspended animation,xenomorph"
839,"prostitute,deification,dancehall hostess,perónism,argentine president,rise to power,singing narrator,soccer ball"
840,"paris,france,arms deal,audi,impostor,case,violence,ice skating,computer expert,ex kgb,preparation,hit with a car door,cellular phone trace,merry go round"
841,"africa,lion,bridge,based on true story,kenya,animal attack,lion attack,colonialism,swahili"
842,"england,train station,based on novel,bear,anthropomorphism,talking to animals,children's book"
843,"usa,sterility,castration,marriage,friendship,alien,suburb,alien invasion,death,teenage daughter,neighborhood watch,creepy neighbor"
844,"hunter,fbi,knife,balkan war,woods,psychopathic killer,slaughter,survivalist,maniac,special forces,killing spree,combat,ex soldier,dark past,manhunt,gory violence"
845,"prison,gorilla,research,instinct,murder,psychologist"
846,"sex,dancer,martial arts,cook,stripper,love,bully,hollywood,twins,flashback,freak,actor,anxiety,conjoined,siamese"
847,"sport,basketball,flint michigan,nba,merger,trade,garbage can,canon,ramp,championship,dead parent"
848,"rivalry,stop motion,pirate,aftercreditsstinger,duringcreditsstinger"
849,"corruption,mother,nudity,minister,power,public,government,police,reunion,murder,conspiracy,los angeles,missing,mother love,criticism"
850,"fbi,hydrogen bomb,secret lab,energy supply,conspiracy,aftercreditsstinger"
851,"sport,luck,san francisco giants,child custody,baseball pitcher,baseball fan,psychotic fan,sports agent,driving range,steam room"
852,"dancing,obsession,auction,wheelchair,rose,product placement,musical,remake,tragic villain,black and white,rooftop,heroine,disfigured face,based on stage musical,theater,disfigurement mask,breaking mirror,opera singer,1910s"
853,"england,assassination,spain,virgin,colony,governance,queen elizabeth i,religious war,tudors,execution,middle ages,catholicism,sea battle,palace intrigue"
854,"martial arts,dystopia,surrealism,based on cartoon,shootout,espionage,infertility,cyberpunk,extreme violence,sabotage,one against many,woman director,hand to hand combat,action heroine,human cloning,25th century"
855,"war,battle,union soldier,confederate soldier,american civil war,secession"
856,"stewardess,airplane,shootout,air marshal,christmas,turbulence"
857,
858,"musical,the muppets"
859,"secret organization,based on tv series,golden gate bridge,locker,oil rig ,teenage hero,soaked clothes,thunderbirds"
860,"musical,los angeles,burlesque,burlesque dancer"
861,"paris,prostitute,loss of lover,amnesia,bodily disabled person,world war i,wheelchair,brittany,lighthouse,verdun,lighthouse keeper   ,teenage crush,disappearance,soldier,illegal prostitution,private detective,missing person,polio,trenches"
862,"sexual obsession,hotel,depression,loss of mother,small town,flirt,midlife crisis,eroticism,youngster,lolita,motel,diary,seduction,forbidden love,professor for literature,provocation,fascination,one-sided love,widow,adoptive father,loss of husband,summer camp,secret love"
863,"alcoholism,serial killer,hospital,police officer,detox"
864,"katana,mutation,vampire,silver,superhero,tragic villain,broken neck,lasersight,violence,exploding body,blade,subjective camera,torso cut in half,reaper,broken wrist,razor blade,shot through a door,sword duel,burnt face"
865,"vegetarian,tax collector,pianist,blind,organ transplant,blood type"
866,
867,"italy,christianity,new york,assassination,italo-american,vatican,pope,confession,helicopter,daughter,lawyer"
868,"suicide,hotel room,suicide attempt,new love,funeral,airplane,lovers,falling in love"
869,"roommate,love of one's life,newlywed"
870,"saving the world,dc comics,sequel,superhero,based on comic book,loss of virginity,criminal,super powers,phantom zone,rocket fired grenade,crystal machine,superhuman strength,duringcreditsstinger"
871,"new york,mentally disabled,kidnapping,blackmail,mission of murder,lovers,lesbian,mobster"
872,"corruption,journalist,based on novel,blackmail,manipulation,bodyguard,louisiana,scandal,power,governor,politics,tragedy,mistress,aristocrat"
873,"corruption,black people,italo-american,brother sister relationship,drug dealer,revenge,murder,violence,drug,police officer,xenophobia"
874,"tzar,musical,russian revolution,train explosion,foreign language adaptation,exploding train"
875,"duke,musical,writer's block,music,terminal illness,writer,no opening credits,moulin rouge,bohemian,toulouse lautrec,red curtain,cancan dance,la traviata,orpheus and eurydice,dance hall"
876,"menace,adoption,dangerous,adoptive father,threat to death,step father,murder,divorce,ex-wife,child,murder hunt"
877,"boston,based on true story,organized crime"
878,"world war ii,dying and death,pacific,iwo jima,aftercreditsstinger,duringcreditsstinger"
879,"tattoo,secret passage,baseball bat,deal,explosion,justice,district attorney,courtroom,vigilantism"
880,"exploitation,slasher,zombie,killer"
881,
882,"poker,sport,las vegas"
883,"con man,biography,fbi agent,overhead camera shot,attempted jailbreak,engagement party,mislaid trust,bank fraud,inspired by a true story"
884,"assassination,cia,hotel,terrorist,prisoner,car dealer,mossad,van,iraq,pakistan,osama bin laden,man hunt,navy seal,f word,female protagonist,gunfight,raid,violence,text message,monkey,dog,special forces,tied up,military,area 51,terrorist group,torturing,woman director,al qaeda,prison camp,water torture,suicide bombing,21st century,ex special forces,post 9/11,helicopter crash,islamabad"
885,"bowling,chicago,american football,flat,baseball,new love,tour guide,break-up,art gallery,argument,pool table,watching tv,ex-boyfriend ex-girlfriend relationship,dinner party,condominium"
886,"single parent,greece,musical,daughter,single,mother daughter relationship,duringcreditsstinger,woman director"
887,"flower,married couple,florist,kiss,single,valentine,valentine's day,multiple storylines,aftercreditsstinger,duringcreditsstinger"
888,"sheriff,farm,bikini,redneck,moonshine"
889,"based on novel,japanese,world war ii,battle assignment,invasion,marine corps,u.s. army,commander,pacific,rifle,survival,jungle,infantry,steel helmet,sergeant,pacific island,soldier,battle,fighting,guadalcanal,awol,philosophic conflict"
890,"jealousy,chance,wish,change,man change,co-worker,body-swap"
891,"show business,comedian,wrestling"
892,"poker,drug abuse,1970s,overdose,illegal prostitution"
893,"paris,cia,undercover,explosive,pimp,ambassador,anti hero,revelation,french,politician,firearm,deception,car crash,gang"
894,"monk,homeless person,injection,fall,knife fight,scroll,the force"
895,"schizophrenia,ex-cop,aftercreditsstinger,duringcreditsstinger"
896,"peasant,farm,cow,cojote,family"
897,"holiday,massachusetts,neighbor,christmas"
898,"moon,cinema,vampire,werewolf,fang vamp"
899,"magic,liberation,lordship,castle,robin hood,enchantment,fairy-tale figure,princess,parody,woman director,ogre"
900,"hotel,dancer,hat,senator,future,honesty,plan,kiss,speech,marriage,politician,alone,fate,foot chase,covert agency,courthouse,political campaign,based on short story"
901,"england,crusade,mercifulness,robin hood,folk hero"
902,"stadium,career,sport,sports agent"
903,"friendship,love,teddy bear,toy comes to life,wishes come true"
904,"single parent,waitress,lone wolf,friendship,neighbor,author,cowardliness,writer,dog,rude,obnoxious,unlikely friendship,noodle salad"
905,"nurse,hospital,doctor,laughter"
906,"journalism,mustache,tv news,newsroom,gang warfare,aftercreditsstinger,news spoof,tv news anchor"
907,"love letter,new hampshire,ferrari,liar,city country contrast,inheritance,billionaire,new york city,kindness,fable,apple tree,corporate take over,chrysler building"
908,"1970s,secret,alien,train crash,pistol,firecracker,duringcreditsstinger"
909,"biography,based on true story,single mother,water pollution,environmental law"
910,"new york,bet,journalist,therapist,advertising expert,relationship"
911,"high school,undercover cop,buddy comedy,aftercreditsstinger,duringcreditsstinger"
912,"paris,san francisco,vampire,plantation,pity,bite,fang vamp"
913,"bungee-jump,scooter"
914,"spy,cia,espionage,high school reunion,reference to facebook,accountant"
915,"divorce,rebellious daughter,freeze frame,custody,school play,photo shoot"
916,daddys home
