,cast
1160,PatrickWilson VeraFarmiga MadisonWolfe FrancesO'Connor
1161,JesseEisenberg AndrewGarfield JustinTimberlake ArmieHammer
1162,BenAffleck JenniferAniston DrewBarrymore JenniferConnelly
1163,AnnaFaris ReginaHall CraigBierko BillPullman
1164,DavidArquette NeveCampbell CourteneyCox PatrickDempsey
1165,MichaelJ.Fox ChristopherLloyd MarySteenburgen ThomasF.Wilson
1166,WillFerrell KevinHart AlisonBrie CraigT.Nelson
1167,GaryOldman WinonaRyder AnthonyHopkins KeanuReeves
1168,MerylStreep AmyAdams StanleyTucci ChrisMessina
1169,ChadwickBoseman T.R.Knight HarrisonFord NicoleBeharie
1170,MattDamon GwynethPaltrow JudeLaw CateBlanchett
1171,JimCarrey JeffDaniels RachelMelvin KathleenTurner
1172,PaulWalker BruceGreenwood MoonBloodgood JasonBiggs
1173,RobertDeNiro AnneHathaway ReneRusso AndersHolm
1174,KevinHart IceCube OliviaMunn TikaSumpter
1175,DanielDay-Lewis MadeleineStowe RussellMeans EricSchweig
1176,JamieFoxx KerryWashington ReginaKing HarryLennix
1177,JessicaAlba DevonAoki CliveOwen RosarioDawson
1178,DennisQuaid MatthewFox ForestWhitaker SigourneyWeaver
1179,PaulRudd JasonSegel RashidaJones AndySamberg
1180,GwynethPaltrow JackBlack JasonAlexander JoeViterelli
1181,KevinCostner TommyLeeJones GaryOldman KevinBacon
1182,MartinLawrence NiaLong EmilyProcter ZacharyLevi
1183,BradPitt JuliaRoberts JamesGandolfini J.K.Simmons
1184,ZacEfron LeslieMann MatthewPerry TylerSteelman
1185,CameronDiaz LeslieMann KateUpton DonJohnson
1186,BobbyCampo ShantelVanSanten NickZano HaleyWebb
1187,TomHanks MarkRylance AmyRyan AlanAlda
1188,OwenWilson GeneHackman GabrielMacht CharlesMalikWhitfield
1189,JonahHill RussellBrand RoseByrne ElisabethMoss
1190,RichardGere JenniferLopez SusanSarandon LisaAnnWalter
1191,GregorySmith KirstenDunst DenisLeary PhilHartman
1192,MichaelJaiWhite MartinSheen JohnLeguizamo TheresaRandle
1193,JimCaviezel GuyPearce RichardHarris JamesFrain
1194,MatthewMcConaughey MarisaTomei RyanPhillippe WilliamH.Macy
1195,LiamNeeson DianeKruger JanuaryJones AidanQuinn
1196,HughJackman ChristianBale MichaelCaine ScarlettJohansson
1197,JasonBateman JasonSudeikis CharlieDay JenniferAniston
1198,BrendanFraser RobCorddry RickyGervais JessicaAlba
1199,RudyYoungblood RaoulMaxTrujillo GerardoTaracena IazuaLarios
1200,TimothyDalton Maryamd'Abo JeroenKrabbé JoeDonBaker
1201,TopherGrace AliceBraga LaurenceFishburne AdrienBrody
1202,RobertRedford DebraWinger DarylHannah BrianDennehy
1203,JohnnyDepp JohnTurturro TimothyHutton CharlesS.Dutton
1204,KeanuReeves SandraBullock ShohrehAghdashloo ChristopherPlummer
1205,KateHudson GenaRowlands PeterSarsgaard JohnHurt
1206,JenniferGarner JoelEdgerton RonLivingston RosemarieDeWitt
1207,PatrickDempsey MichelleMonaghan KevinMcKidd ChrisMessina
1208,ChristopherWalken VincentPiazza FreyaTingley JamesMadio
1209,MattDamon DannyDeVito JonVoight ClaireDanes
1210,HalleBerry RobertDowneyJr. CharlesS.Dutton PenélopeCruz
1211,MorganFreeman NigelHawthorne AnthonyHopkins DjimonHounsou
1212,SeanConnery LorraineBracco JoséWilker RodolfoDeAlexandre
1213,StevenPasquale ReikoAylesworth JohnOrtiz ArielGade
1214,MacaulayCulkin JohnLarroquette EdwardHerrmann ChristineEbersole
1215,RichardGere WinonaRyder AnthonyLaPaglia ElaineStritch
1216,DrewBarrymore HughGrant ScottPorter BradGarrett
1217,SethRogen SimonPegg NickFrost JasonBateman
1218,SethRogen BarbraStreisand YvonneStrahovski ColinHanks
1219,DavidArquette NeveCampbell CourteneyCox EmmaRoberts
1220,NicolasCage JoaquinPhoenix JamesGandolfini ChrisBauer
1221,ValKilmer MegRyan KyleMacLachlan FrankWhaley
1222,CameronDiaz JasonSegel RobCorddry EllieKemper
1223,MegRyan DianeKeaton LisaKudrow WalterMatthau
1224,EmmaBell NicholasD'Agosto MilesFisher EllenWroe
1225,HughGrant JamesCaan JeanneTripplehorn BurtYoung
1226,KevinSpacey HelenHunt HaleyJoelOsment JayMohr
1227,DrewBarrymore JimmyFallon JasonSpevack JackKehler
1228,OwenWilson LeslieMann JoshPeck DavidDorfman
1229,SethMacFarlane CharlizeTheron LiamNeeson AmandaSeyfried
1230,AlecBaldwin JohnLone PenelopeAnnMiller PeterBoyle
1231,ThomasHorn TomHanks SandraBullock MaxvonSydow
1232,RachelMcAdams HarrisonFord PatrickWilson JeffGoldblum
1233,50Cent JoyBryant AdewaleAkinnuoye-Agbaje OmarBensonMiller
1234,WesleySnipes DonaldSutherland MauryChaykin AnneArcher
1235,AnthonyRapp AdamPascal RosarioDawson JesseL.Martin
1236,KimBasinger AngelaBettis HollistonColeman RufusSewell
1237,SteveMartin GoldieHawn JohnCleese MarkMcKinney
1238,MarlonBrando ValKilmer DavidThewlis FairuzaBalk
1239,CatherineDeneuve MenaSuvari StephenRea TimRoth
1240,NataliePortman ScarlettJohansson EricBana JimSturgess
1241,KeanuReeves CharlizeTheron JasonIsaacs GregGermann
1242,HilarySwank DavidMorrissey IdrisElba AnnaSophiaRobb
1243,HarveyKeitel RobertDeNiro DavidProval AmyRobinson
1244,DannyDeVito MarkWahlberg GregoryHines JamesRemar
1245,ZoeSaldana CliffCurtis CallumBlue MichaelVartan
1246,JessalynGilsig CaryElwes GaryOldman DonRickles
1247,RobertDeNiro JamesFranco FrancesMcDormand ElizaDushku
1248,ValKilmer MiraSorvino KellyMcGillis StevenWeber
1249,MartinHenderson IceCube MonetMazur AdamScott
1250,AlPacino JohnCusack BridgetFonda DannyAiello
1251,ElizabethBerkley KyleMacLachlan GinaGershon GlennPlummer
1252,KirstenDunst JasonSchwartzman JudyDavis RipTorn
1253,DavidCaruso SamuelL.Jackson NicolasCage HelenHunt
1254,SylvesterStallone MirandaRichardson RachaelLeighCook MickeyRourke
1255,NaomiWatts EwanMcGregor TomHolland SamuelJoslin
1256,WarrenBeatty DustinHoffman IsabelleAdjani CharlesGrodin
1257,GeorgeClooney MerylStreep JasonSchwartzman BillMurray
1258,AngelinaJolie EdwardBurns TonyShalhoub ChristianKane
1259,ChevyChase DarylHannah SamNeill MichaelMcKean
1260,AudreyTautou MathieuKassovitz Rufus JamelDebbouze
1261,AshleyOlsen Mary-KateOlsen EugeneLevy AndyRichter
1262,JudeLaw MarisaTomei OmarEpps JaneKrakowski
1263,DrewBarrymore JohnKrasinski KristenBell VinessaShaw
1264,MichellePfeiffer TreatWilliams WhoopiGoldberg JonathanJackson
1265,StephenDorff NataschaMcElhone StephenRea UdoKier
1266,JohnC.Reilly JoshHutcherson ChrisMassoglia PatrickFugit
1267,BenStiller DrewBarrymore EileenEssell AmberValletta
1268,SamuelL.Jackson BernieMac SharonLeal AdamHerschman
1269,M.EmmetWalsh RichardJordan DavidSelby AnneArcher
1270,Jean-ClaudeVanDamme KianaTom BillGoldberg MichaelJaiWhite
1271,BenFoster DennisQuaid CamGigandet AntjeTraue
1272,GarySinise MadeleineStowe MekhiPhifer VincentD'Onofrio
1273,DevonSawa BridgetteWilson RufusSewell RupertGraves
1274,JeanReno ChristinaApplegate ChristianClavier MattRoss
1275,CillianMurphy RoseByrne ChrisEvans MichelleYeoh
1276,EddieMurphy AllisonJanney CliffCurtis ClarkDuke
1277,FreddiePrinzeJr. JenniferLoveHewitt ValKilmer AnneBancroft
1278,SeanPenn JasmineTrinca JavierBardem RayWinstone
1279,AlexPettyfer SarahBolger EwanMcGregor RobbieColtrane
1280,ShiaLaBeouf SarahRoemer Carrie-AnneMoss DavidMorse
1281,JonnyLeeMiller AngelinaJolie JesseBradford MatthewLillard
1282,RichardGere TerrenceHoward JamesBrolin DianeKruger
1283,TimRobbins JenniferJasonLeigh PaulNewman CharlesDurning
1284,JetLi AndyLau TakeshiKaneshiro XuJinglei
1285,KunoBecker JayHernandez JasonScottLee DoskhanZholzhaksynov
1286,ChrisEvans SongKang-ho EdHarris JohnHurt
1287,VanessaParadis MathieuChedid GadElmaleh FrançoisCluzet
1288,MatthewBroderick AlecBaldwin ToniCollette CalistaFlockhart
1289,BrandonLee RochelleDavis ErnieHudson MichaelWincott
1290,Prabhas RanaDaggubati TamannaBhatia AnushkaShetty
1291,EricBana RachelMcAdams MichelleNolden ArlissHoward
1292,DianeKeaton MandyMoore GabrielMacht TomEverettScott
1293,CharlieTahan CatherineO'Hara MartinShort MartinLandau
1294,NathanFillion GinaTorres AlanTudyk MorenaBaccarin
1295,MegRyan TonyShalhoub JoeCortese KerryWashington
1296,ChristopherReeve RichardPryor JackieCooper MarcMcClure
1297,RobertDeNiro SylvesterStallone AlanArkin JonBernthal
1298,ChangChen HuJun TonyLeungChiu-Wai TakeshiKaneshiro
1299,ReeseWitherspoon JoshLucas PatrickDempsey CandiceBergen
1300,KatherineHeigl GerardButler EricWinter BreeTurner
1301,SteveMartin DanAykroyd PhilHartman GlenneHeadly
1302,AntonioBanderas CarlaGugino AlexaPenaVega DarylSabara
1303,PatrickStewart JonathanFrakes BrentSpiner LeVarBurton
1304,TonyLeungChiu-Wai ZhangZiyi SongHye-kyo ChangChen
1305,RobertPattinson ReeseWitherspoon ChristophWaltz TatumEtheridge
1306,Carrie-AnneMoss LucasGrabeel BlytheAuffarth CharlieSchlatter
1307,DenzelWashington VicellousReonShannon DeborahKaraUnger LievSchreiber
1308,JenniferLopez BillyCampbell JulietteLewis DanFutterman
1309,SigourneyWeaver JenniferLoveHewitt GeneHackman RayLiotta
1310,KevinJames RainiRodriguez EduardoVerástegui DaniellaAlonso
1311,JenniferLopez JimCaviezel JeremySisto TerrenceHoward
1312,TimAllen JulieBowen KellyLynch GregGermann
1313,JohnnyDepp FrankLangella LenaOlin EmmanuelleSeigner
1314,HughGrant GeneHackman SarahJessicaParker DavidMorse
1315,MarkWahlberg JenniferAniston JasonFlemyng DominicWest
1316,GaboureySidibe Mo'Nique PaulaPatton MariahCarey
1317,JeffBridges CarolineGoodall JohnSavage ScottWolf
1318,KurtRussell KeithDavid WilfordBrimley DonaldMoffat
1319,VinDiesel KarlUrban KateeSackhoff JordiMollà
1320,DennisQuaid DannyGlover R.LeeErmey ClaudiaStedelin
1321,JamesVanDerBeek RachaelLeighCook AshtonKutcher DylanMcDermott
1322,SaoirseRonan HarryTreadaway MaryKayPlace BillMurray
1323,JoaquinPhoenix PhilipSeymourHoffman AmyAdams LauraDern
1324,RyanCartwright HaydenChristensen MischaBarton JayVilliers
1325,RobBrown DennisQuaid DarrinHenson CharlesS.Dutton
1326,ChloëGraceMoretz NickRobinson AlexRoe MaikaMonroe
1327,MichaelB.Jordan SylvesterStallone GrahamMcTavish TessaThompson
1328,BenAffleck RebeccaHall JeremyRenner JonHamm
1329,CameronDiaz JenniferLopez ElizabethBanks AnnaKendrick
1330,GeorgeClooney FrancesMcDormand BradPitt JohnMalkovich
1331,AbigailBreslin JodieFoster GerardButler MichaelCarman
1332,DanielBrühl ChrisHemsworth OliviaWilde AlexandraMariaLara
1333,JulianneMoore WilliamH.Macy JohnC.Reilly TomCruise
1334,BruceWillis TracyMorgan JuanCarlosHernández SeannWilliamScott
1335,DakotaJohnson RebelWilson AlisonBrie NicholasBraun
1336,MorganFreeman AshleyJudd HarryConnickJr. NathanGamble
1337,KristenStewart RobertPattinson BillyBurke TaylorLautner
1338,DenzelWashington RobertDuvall AnneHeche KimberlyElise
1339,MartinLawrence LukeWilson DaveChappelle PeterGreene
1340,JasonSudeikis JenniferAniston WillPoulter EmmaRoberts
1341,VasilyStepanov PyotrFyodorov ЮлияСнигирь FyodorBondarchuk
1342,KurtRussell J.T.Walsh KathleenQuinlan M.C.Gainey
1343,SeanConnery KimBasinger KlausMariaBrandauer EdwardFox
1344,JohnCusack LizzyCaplan RobCorddry CraigRobinson
1345,MorganFreeman AshleyJudd NathanGamble CoziZuehlsdorff
1346,BenAffleck GarySinise CharlizeTheron DennisFarina
1347,VinDiesel LarenzTate TimothyOlyphant GenoSilva
1348,BradleyCooper EmmaStone RachelMcAdams BillMurray
1349,AlecBaldwin JamesWoods VirginiaMadsen WhoopiGoldberg
1350,EthanHawke YoukiKudoh ReeveCarney AnneSuzuki
1351,AnthonyHopkins ColinO'Donoghue AliceBraga TobyJones
1352,EthanHawke JudeLaw GoreVidal UmaThurman
1353,BetteMidler NathanLane StockardChanning DavidHydePierce
1354,AndySamberg CherylHines JeffDaniels PatrickWarburton
1355,ChrisRock BernieMac DylanBaker NickSearcy
1356,BradleyCooper EdHelms ZachGalifianakis JustinBartha
1357,DonnieYen LynnHung ZhangJin PatrickTam
1358,MikeMyers HeatherGraham MichaelYork RobertWagner
1359,JackNicholson MichaelKeaton KimBasinger MichaelGough
1360,CharlieCox DougrayScott WesBentley RodrigoSantoro
1361,MelGibson DannyGlover JoePesci ReneRusso
1362,SandraBullock QuintonAaron KathyBates TimMcGraw
1363,AlexaPenaVega DarylSabara AntonioBanderas CarlaGugino
1364,JenniferAniston JasonBateman CharlieDay JasonSudeikis
1365,JeffBridges MattDamon JoshBrolin BarryPepper
1366,MerylStreep AnneHathaway EmilyBlunt StanleyTucci
1367,WilliamShatner LeonardNimoy DeForestKelley JamesDoohan
1368,JasonBateman MelissaMcCarthy JonFavreau AmandaPeet
1369,RobertDeNiro NickNolte JessicaLange JulietteLewis
1370,JimSturgess KevinSpacey KateBosworth AaronYoo
1371,AmySchumer BillHader BrieLarson ColinQuinn
1372,BernieMac AshtonKutcher ZoeSaldana JudithScott
1373,RalphFiennes JulietteBinoche WillemDafoe KristinScottThomas
1374,KevinSpacey GuyPearce DannyDeVito JamesCromwell
1375,MichaelAngarano KurtRussell KellyPreston DaniellePanabaker
1376,KevinKline JoanCusack TomSelleck MattDillon
1377,NatashaHenstridge BenKingsley MichaelMadsen AlfredMolina
1378,JohnSaxon RoneeBlakley HeatherLangenkamp AmandaWyss
1379,JenniferLopez VincentD'Onofrio VinceVaughn MarianneJean-Baptiste
1380,LeonardoDiCaprio JeremyIrons GérardDepardieu GabrielByrne
1381,DianeLane JohnMalkovich ScottGlenn DylanWalsh
1382,ChrisEvans SarahMichelleGellar Mako KevinSmith
1383,CubaGoodingJr. EdHarris AlfreWoodard S.EpathaMerkerson
1384,JustinTimberlake MilaKunis PatriciaClarkson WoodyHarrelson
1385,SethRogen RoseByrne ZacEfron ChloëGraceMoretz
1386,EmmaThompson TomHanks PaulGiamatti ColinFarrell
1387,DenzelWashington AngelaBassett AlbertHall AlFreeman
1388,PaulRudd LeslieMann JasonSegel MaudeApatow
1389,RobinWilliams JohnTravolta SethGreen JustinLong
1390,BillNighy MichaelSheen RhonaMitra ShaneBrolly
1391,RobinWilliams MandyMoore JohnKrasinski EricChristianOlsen
1392,JonHeder RobSchneider DavidSpade JonLovitz
1393,DianeLane JohnCusack ElizabethPerkins ChristopherPlummer
1394,JohnnyDepp AlPacino MichaelMadsen BrunoKirby
1395,MillaJovovich MichelleRodriguez EricMabius RyanMcCluskey
1396,CraigT.Nelson JoBethWilliams BeatriceStraight HeatherO'Rourke
1397,TomHanks IrmaP.Hall MarlonWayans J.K.Simmons
1398,MarkWahlberg MilaKunis BeauBridges Ludacris
1399,JustinTimberlake AmandaSeyfried CillianMurphy OliviaWilde
1400,JenniferLopez AlexO'Loughlin DanneelAckles EricChristianOlsen
1401,KateHudson GinniferGoodwin JohnKrasinski ColinEgglesfield
1402,MartinLawrence MarshaThomason TomWilkinson VincentRegan
1403,WalterMatthau TatumO'Neal BenPiazza VicMorrow
1404,Jean-ClaudeVanDamme RaúlJuliá Ming-NaWen DamianChapa
1405,AdrienBrody ThomasKretschmann FrankFinlay MaureenLipman
1406,KeishaCastle-Hughes OscarIsaac HiamAbbass ShaunToub
1407,ElishaCuthbert ParisHilton BrianVanHolt JaredPadalecki
1408,JuliaRoberts JudeLaw NataliePortman CliveOwen
1409,LeonardoDiCaprio JoshHamilton GeoffPierson ArmieHammer
1410,KieferSutherland PaulaPatton AmySmart CameronBoyce
1411,StuartTownsend Aaliyah MargueriteMoreau VincentPérez
1412,KevinPeterHall DannyGlover GaryBusey RubénBlades
1413,DianeLane BillyBurke ColinHanks JosephCross
1414,BrendanFraser AliciaSilverstone ChristopherWalken SissySpacek
1415,SamJ.Jones MelodyAnderson MaxvonSydow ChaimTopol
1416,BenAffleck RaquelCastro LivTyler JenniferLopez
1417,TylerPerry RachelNichols JeanReno MatthewFox
1418,JohnCusack KevinSpacey JudeLaw AlisonEastwood
1419,JeffreyDeanMorgan RobertDeNiro KateBosworth DaveBautista
1420,EmmaThompson AsaButterfield RalphFiennes MaggieGyllenhaal
1421,JackNicholson DannyDeVito ArmandAssante J.T.Walsh
1422,DavidDuchovny GillianAnderson AmandaPeet BillyConnolly
1423,AnneHathaway HughDancy CaryElwes VivicaA.Fox
1424,WillSmith AlecBaldwin AlbertBrooks GuguMbatha-Raw
1425,TaylorLautner LilyCollins AlfredMolina JasonIsaacs
1426,EwanMcGregor RickyGervais TimCurry JimBroadbent
1427,MichaelDouglas TobeyMaguire FrancesMcDormand KatieHolmes
1428,DrakeBell SaraPaxton LeslieNielsen ChristopherMcDonald
1429,MarkWahlberg RussellCrowe CatherineZeta-Jones JeffreyWright
1430,PortiadeRossi ChristinaRicci JesseEisenberg MiloVentimiglia
1431,JosephGordon-Levitt MichaelShannon DaniaRamirez JamieChung
1432,ReeseWitherspoon SofíaVergara MichaelMosley JohnCarrollLynch
1433,HeathLedger WesBentley KateHudson DjimonHounsou
1434,JasonStatham JenniferLopez NickNolte MichaelChiklis
1435,KirstenDunst PaulBettany SamNeill JamesMcAvoy
1436,BrendanFraser KenJeong BrookeShields AngelaKinsey
1437,SharniVinson PhoebeTonkin JulianMcMahon XavierSamuel
1438,KenMarshall LysetteAnthony FrancescaAnnis AlunArmstrong
1439,RobertRedford MerylStreep TomCruise MichaelPeña
1440,DannyGlover WillemDafoe BradJohnson RosannaArquette
1441,JohnC.Reilly JennaFischer TimMeadows KristenWiig
1442,KevinSpacey JulianneMoore CateBlanchett JudiDench
1443,ColinFarrell ScottCaan AliLarter GabrielMacht
1444,EmilyBlunt JimBroadbent MarkStrong PaulBettany
1445,KateBeckinsale GabrielMacht TomSkerritt ColumbusShort
1446,BradPitt SeanPenn JessicaChastain HunterMcCracken
1447,Jean-ClaudeVanDamme LelaRochon PaulSorvino RobSchneider
1448,ArnoldSchwarzenegger SamWorthington MireilleEnos JoeManganiello
1449,HeathLedger ShannynSossamon BennoFürmann MarkAddy
1450,RayStevenson DominicWest JulieBenz ColinSalmon
1451,TimAllen CourteneyCox ChevyChase SpencerBreslin
1452,JosephGordon-Levitt BenKingsley CharlotteLeBon BenSchwartz
1453,AngusMacfadyen MarioYedidia MarleyShelton ChaoLiChi
1454,RussellCrowe MarionCotillard AlbertFinney TomHollander
1455,ElijahWood LorraineBracco AdamBaldwin JohnHeard
1456,DamianChapa JesseBorrego BenjaminBratt EnriqueCastillo
1457,JuliaOrmond GabrielByrne RichardHarris JimBroadbent
1458,RebeccaRomijn AntonioBanderas PeterCoyote RieRasmussen
1459,AnthonyQuinn RodSteiger OliverReed IrenePapas
1460,JulietteBinoche OlivierMartinez PierreArditi FrançoisCluzet
1461,TobeyMaguire SkeetUlrich JeffreyWright Jewel
1462,JavierBardem MaricelÁlvarez HanaaBouchaib GuillermoEstrella
1463,PenélopeCruz SalmaHayek DwightYoakam SteveZahn
1464,LaurenceFishburne KarlUrban BrittanySnow AishaTyler
1465,DylanO'Brien KiHongLee KayaScodelario AmlAmeen
1466,VinceVaughn DaveFranco JamesMarsden JuneDianeRaphael
1467,DanielDay-Lewis MichellePfeiffer WinonaRyder AlexisSmith
1468,HughJackman RachelWeisz EllenBurstyn MarkMargolis
1469,CubaGoodingJr. SkeetUlrich PeterFirth DavidPaymer
1470,NicolasCage MalinÅkerman JoshLucas SamiGayle
1471,YuriaNara HirokiDoi GeorgeTokoro TomokoYamaguchi
1472,ScottEastwood BrittRobertson LolitaDavidovich MelissaBenoist
1473,JohnnyDepp CharlizeTheron JoeMorton CleaDuVall
1474,KimBasinger VincentPérez LiamAiken DanielCraig
1475,GerardButler JessicaBiel UmaThurman CatherineZeta-Jones
1476,IdrisElba NaomieHarris TonyKgoroge RiaadMoosa
1477,WarrenBeatty DianeKeaton EdwardHerrmann JackNicholson
1478,TomCruise JackNicholson DemiMoore KevinBacon
1479,StevenSeagal DMX IsaiahWashington AnthonyAnderson
1480,MartinLawrence NiaLong PaulGiamatti JaschaWashington
1481,BrianneSiddall JoeyCamen ElisaGabrielli RobinAtkinDownes
1482,EmileHirsch RachaelTaylor OliviaThirlby JoelKinnaman
1483,KathrynMcCormick RyanGuzman StephenBoss MeganBoone
1484,SamuelL.Jackson JuliannaMargulies KenanThompson NathanPhillips
1485,JamesSpader KeanuReeves MarisaTomei ErnieHudson
1486,ThomasJane JohnTravolta WillPatton RoyScheider
1487,KunoBecker AlessandroNivola AnnaFriel StephenDillane
1488,JasonStatham ChrisSarandon JamesHong CatherineChan
1489,JohnCusack BillyBobThornton CateBlanchett AngelinaJolie
1490,MarkHamill HarrisonFord CarrieFisher BillyDeeWilliams
1491,RhonaMitra BobHoskins MalcolmMcDowell AlexanderSiddig
1492,KateWinslet RalphFiennes DavidKross JeanetteHain
1493,PaulRudd JenniferAniston JustinTheroux MalinÅkerman
1494,WillFerrell JamesCaan ZooeyDeschanel MarySteenburgen
1495,JohnTravolta KyraSedgwick ForestWhitaker RobertDuvall
1496,JimBelushi CubaGoodingJr. JamesCoburn M.EmmetWalsh
1497,BillMurray KarenAllen JohnForsythe BobcatGoldthwait
1498,JackBlack AnadelaReguera HéctorJiménez DariusRose
1499,KristenWiig RoseByrne MayaRudolph WendiMcLendon-Covey
1500,JamesFranco JonahHill SethRogen JayBaruchel
1501,PatriciaArquette GabrielByrne JonathanPryce NiaLong
1502,RobertDeNiro CubaGoodingJr. CharlizeTheron AunjanueEllis
1503,ChrisBrown HaydenChristensen MattDillon MichaelEaly
1504,RobertDeNiro DianeKeaton KatherineHeigl AmandaSeyfried
1505,MartinLawrence BrandonT.Jackson PortiaDoubleday MariMorrow
1506,JakeGyllenhaal MichelleMonaghan VeraFarmiga RussellPeters
1507,EthanHawke VincentSpano JoshHamilton BruceRamsay
1508,JimCarrey VirginiaMadsen LoganLerman DannyHuston
1509,KyleCatlett HelenaBonhamCarter JudyDavis CallumKeithRennie
1510,DanAykroyd NedBeatty JohnBelushi LorraineGary
1511,KurtRussell DakotaFanning KrisKristofferson ElisabethShue
1512,ViggoMortensen MariaBello HeidiHayes AshtonHolmes
1513,JasonStatham AmberValletta KateNauta AlessandroGassman
1514,SharonStone GeneHackman RussellCrowe LeonardoDiCaprio
1515,PierceBrosnan JulianneMoore MichaelSheen ParkerPosey
1516,NicolasCage PatriciaArquette JohnGoodman VingRhames
1517,JudeLaw ForestWhitaker AliceBraga LievSchreiber
1518,JasonBehr RobertForster AimeeGarcia ChrisMulkey
1519,WhoopiGoldberg GérardDepardieu HaleyJoelOsment UteLemper
1520,SteveCarell JimCarrey SteveBuscemi OliviaWilde
1521,ScottBakula JasmineGuy NatalieCole AshleyPeldon
1522,HankAzaria RubénBlades JoanCusack JohnCusack
1523,GeorgeClooney CateBlanchett TobeyMaguire TonyCurran
1524,JamesPurefoy PiperPerabo PatrickSwayze MichaelClarkeDuncan
1525,MartinSheen MarlonBrando RobertDuvall FredericForrest
1526,DrewBarrymore JustinLong CharlieDay JasonSudeikis
1527,RichardDreyfuss GlenneHeadly JayThomas OlympiaDukakis
1528,KevinCostner GaryOldman TommyLeeJones RyanReynolds
1529,MerylStreep RobertRedford KlausMariaBrandauer MichaelKitchen
1530,DenzelWashington DonCheadle BruceGreenwood KellyReilly
1531,RogerMoore LoisChiles MichaelLonsdale CorinneCléry
1532,RalphFiennes TonyRevolori F.MurrayAbraham MathieuAmalric
1533,AnthonyHopkins AntonYelchin HopeDavis MikaBoorem
1534,JeffDaniels HarleyJaneKozak GaretteRatliffHenson MarleneKatz
1535,DennisQuaid JimCaviezel AndreBraugher ElizabethMitchell
1536,EdHelms ChristinaApplegate SkylerGisondo SteeleStebbins
1537,JohnTravolta GeneHackman ReneRusso DannyDeVito
1538,CatherineZeta-Jones RenéeZellweger QueenLatifah RichardGere
1539,AdamSandler JoeyLaurenAdams KristySwanson ColeSprouse
1540,JasonBiggs ThomasIanNicholas ChrisKlein SeannWilliamScott
1541,TomHanks TimAllen DonRickles JimVarney
1542,KeanuReeves DennisHopper SandraBullock JoeMorton
1543,RachelMcAdams ChanningTatum SamNeill ScottSpeedman
1544,HarrisonFord BrendanFraser KeriRussell CourtneyB.Vance
1545,DenzelWashington WillPatton RyanHurst WoodHarris
1546,AlecBaldwin SeanConnery ScottGlenn SamNeill
1547,ForestWhitaker DavidBanner MichaelRaineyJr. LaJessieSmith
1548,VinceVaughn ChristineTaylor BenStiller RipTorn
1549,RaúlJuliá AnjelicaHuston ChristopherLloyd ChristinaRicci
1550,JimCarrey IanMcNeice SimonCallow MaynardEziashi
1551,AnneHathaway JulieAndrews HeatherMatarazzo RobertSchwartzman
1552,GoldieHawn BetteMidler DianeKeaton MaggieSmith
1553,BradPitt MorganFreeman GwynethPaltrow JohnC.McGinley
1554,SharltoCopley JasonCope NathalieBoltt SylvaineStrike
1555,TomKenny ClancyBrown RodgerBumpass BillFagerbakke
1556,SeanPenn TimRobbins KevinBacon LaurenceFishburne
1557,ClintEastwood HilarySwank MorganFreeman JayBaruchel
1558,RobertDeNiro BillyCrystal LisaKudrow ChazzPalminteri
1559,RachelMcAdams RyanGosling GenaRowlands JamesGarner
1560,KatherineHeigl JamesMarsden MalinÅkerman JudyGreer
1561,MileyCyrus BillyRayCyrus EmilyOsment JasonEarles
1562,E.G.Daily SusanSarandon JohnLithgow TaraStrong
1563,NickNolte BarbraStreisand BlytheDanner KateNelligan
1564,BradPitt AnthonyHopkins AidanQuinn JuliaOrmond
1565,GeorgeClooney VeraFarmiga AnnaKendrick JasonBateman
1566,JackNicholson KathyBates HopeDavis DermotMulroney
1567,NicholasHoult TeresaPalmer AnaleighTipton RobCorddry
1568,JosephGordon-Levitt BruceWillis EmilyBlunt PaulDano
1569,ChrisRock ReginaKing ChazzPalminteri EugeneLevy
1570,ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving
1571,MerylStreep SteveCarell TommyLeeJones JeanSmart
1572,JasonSegel KristenBell MilaKunis RussellBrand
1573,MarkWahlberg TyreseGibson AndréBenjamin GarrettHedlund
1574,TinaFey AmyPoehler DaxShepard SigourneyWeaver
1575,SandraBullock HarryConnickJr. GenaRowlands MaeWhitman
1576,AnneHathaway KateHudson BryanGreenberg ChrisPratt
1577,SethGreen MatthewLillard DaxShepard AntonyStarr
1578,JenniferGarner MarkRuffalo JudyGreer AndySerkis
1579,OwenWilson RachelMcAdams KurtFuller MimiKennedy
1580,WillArnett KatherineHeigl BrendanFraser LiamNeeson
1581,JohnnyDepp PenélopeCruz EthanSuplee RayLiotta
1582,KevinCostner RobinWright PaulNewman JohnSavage
1583,WilliamShatner LeonardNimoy DeForestKelley JamesDoohan
1584,ShadMoss MorrisChestnut JonathanLipnicki BrendaSong
1585,LeslieNielsen PriscillaPresley GeorgeKennedy O.J.Simpson
1586,RogerMoore ChristopherWalken TanyaRoberts GraceJones
1587,PeterSallis HelenaBonhamCarter RalphFiennes NicholasSmith
1588,HilarySwank GerardButler LisaKudrow HarryConnickJr.
1589,FrankieMuniz MandyMoore HaydenPanettiere BruceGreenwood
1590,KeiraKnightley JamesMcAvoy RomolaGarai SaoirseRonan
