,production_companies
593,"Imagine Entertainment,Universal Pictures,Spyglass Entertainment,Wild West Picture Show Productions"
594,"Jerry Bruckheimer Films,Touchstone Pictures,Stillking Films"
595,"Di Bonaventura Pictures,John Wells Productions,Reaper Productions,Stillking Films,Babelsberg Film,Doom Productions,Distant Planet Productions"
596,Columbia Pictures Corporation
597,"Lakeshore Entertainment,Saturn Films,Screen Gems,Sketch Films,UW4 Productions"
598,"New Line Cinema,Offspring Entertainment,Corner Store Entertainment,Material Pictures"
599,"David Foster Productions,Cheyenne Enterprises,Metro-Goldwyn-Mayer (MGM),David Ladd Films"
600,"Current Entertainment,Omnilab Media,Ambience Entertainment,International Traders,Open Road Films,Sighvatsson Films,Palomar Pictures (II),Film Victoria,Wales Creative IP Fund"
601,"Atlas Entertainment,Toho-Towa,Mosaic Media Group,Yorktown Productions,Helkon Media AG,Metro-Goldwyn-Mayer (MGM)"
602,"Epsilon Motion Pictures,Franchise Pictures,Dante Entertainment,Chris Lee Productions,SuperMega,MHF Erste Academy Film GmbH & Co. Produktions KG"
603,"Paramount Pictures,Toho-Towa,Mutual Film Company,PolyGram Filmed Entertainment,Marubeni,Tele München Fernseh Produktionsgesellschaft (TMG),UGC PH,British Broadcasting Corporation (BBC) Television,Stargate Studios"
604,"Conundrum Entertainment,Warner Bros. Animation,Warner Bros."
605,"Prana Animation Studios,Summertime Entertainment"
606,"Universal Pictures,Forward Pass,Legendary Pictures"
607,"Paramount Pictures,Natural Nylon Entertainment,Riff Raff Film Productions,Filmauro,Blue Flower Productions,Brooklyn Films II"
608,"Intermedia Films,Kanzaman,C-2 Pictures,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
609,"Summit Entertainment,Atmosphere Entertainment MM,Emmett/Furla Films,Mark Canton Productions,Envision Entertainment,Boies / Schiller Film Group,Knightsbridge Entertainment"
610,Millennium Films
611,"Paramount Pictures,Mace Neufeld Productions,MFP Munich Film Partners GmbH & Company I. Produktions KG,S.O.A.F. Productions,Mel's Cite du Cinema"
612,"Summit Entertainment,Maverick Films,Imprint Entertainment,Sunswept Entertainment,Temple Hill Entertainment"
613,"Paramount Pictures,Mandalay Pictures,Horseshoe Bay Productions"
614,"Universal Pictures,Illumination Entertainment"
615,Columbia Pictures
616,"Universal Pictures,Fuzzy Door Productions,Bluegrass Films,Smart Entertainment,Media Rights Capital (MRC)"
617,"Himenóptero,Telecinco Cinema,Mod Producciones,Nimar Studios,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Government of Malta"
618,"Universal Pictures,Dark Horse Entertainment,Golar Productions"
619,"New Line Cinema,Conundrum Entertainment"
620,"Spyglass Entertainment,Forward Pass,Kaitz Productions,Mann/Roth Productions,Touchstone Pictures"
621,"Walt Disney Pictures,Whitaker Entertainment,Bergsten Music,Red Hawk Entertainment"
622,"Scott Free Productions,De Line Pictures,Warner Bros."
623,"Paramount Pictures,DreamWorks SKG,Spyglass Entertainment,Everyman Pictures,Reliance BIG Entertainment,Parkes/MacDonald Productions"
624,"Twentieth Century Fox Film Corporation,Bazelevs Production,Tim Burton Productions,Abraham Productions,Location Gourmet"
625,"Fountainbridge Films,Regency Enterprises"
626,"Twentieth Century Fox Film Corporation,Ten Thirteen Productions"
627,"Ingenious Film Partners,Quinta Communications,Dino De Laurentiis Company,Zephyr Films"
628,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Mutual Film Company,Mark Gordon Productions"
629,"DreamWorks SKG,Reliance Entertainment,Bandito Brothers,Touchstone Pictures,Electronic Arts,Revolution Sun Studios"
630,"Paramount Pictures,Centropolis Entertainment,Icon Entertainment International,Wind Dancer Productions"
631,"Twentieth Century Fox Film Corporation,Blue Sky Studios,Twentieth Century Fox Animation"
632,"Village Roadshow Pictures,Castle Rock Entertainment,NPV Entertainment,Kasdan Pictures,WV Films II"
633,"DreamWorks,Amblin Entertainment,Twentieth Century Fox Film Corporation,Dune Entertainment,The Kennedy/Marshall Company,Participant Media,Reliance Entertainment"
634,"Village Roadshow Pictures,Groucho II Film Partnership,Silver Pictures,Warner Bros."
635,"Imagine Entertainment,Universal Pictures"
636,"Walt Disney Pictures,Outlaw Productions,Boxing Cat Films"
637,"Universal Pictures,Relativity Media,CAMERON MACKINTOSH,Working Title Films"
638,Warner Bros.
639,"Columbia Pictures,Mosaic Media Group,Gary Sanchez Productions,Relativity Media,Apatow Productions"
640,"Amblin Entertainment,TriStar Pictures"
641,"Legendary Pictures,Green Hat Films,Warner Bros."
642,"Legendary Pictures,3 Arts Entertainment,Jolie Pas"
643,"Village Roadshow Pictures,Malpaso Productions,Mad Chance,Warner Bros.,Clipsal Films,Digital Image Associates"
644,"TriStar Pictures,Canal+,Carolco Pictures,RCS Video,Cliffhanger Productions,Pioneer"
645,"Twentieth Century Fox Film Corporation,WCG Entertainment Productions,Mark Gordon Productions"
646,Walt Disney Pictures
647,"Paramount Pictures,Double Feature Films,Intermedia Films,Kernos Filmproduktionsgesellschaft & Company"
648,"Columbia Pictures,Revolution Studios"
649,Paramount Pictures
650,"Hobby Films,Pole Star,Stanley Kubrick Productions,Warner Bros."
651,"Columbia Pictures,Olive Bridge Entertainment,Sony Pictures Entertainment (SPE),Overbrook Entertainment,Marcy Media"
652,"Kramer & Sigman Films,RatPac-Dune Entertainment,Zaftig Films"
653,"Dune Entertainment,Overbrook Films,Robert Simonds Productions"
654,"New Line Cinema,Amen Ra Films,Shawn Danielle Productions Ltd.,Imaginary Forces,Marvel Enterprises,Peter Frankfurt Productions"
655,"United Artists,Valkyrie Films"
656,"Universal Pictures,Mutual Film Company"
657,Davis-Films
658,"Universal Pictures,Cruise/Wagner Productions,Impact Pictures,Relativity Media,Scion Films,H2S2 Filmproduktionsgesellschaft"
659,"New Line Cinema,Forge,The Steve Tisch Company"
660,"Castle Rock Entertainment,Warner Bros."
661,"Columbia Pictures Corporation,Teitler Film,Michael De Luca Productions,Radar Pictures"
662,"Regency Enterprises,Fox 2000 Pictures,Taurus Film,Linson Films,Atman Entertainment,Knickerbocker Films"
663,"Legendary Pictures,Thunder Road Pictures,Wonderland Sound and Vision,Warner Bros."
664,"TriStar Pictures,Silver Pictures"
665,"Paramount Pictures,StudioCanal"
666,"Lakeshore Entertainment,Sidney Kimmel Entertainment,Lionsgate,Hopscotch Films"
667,"R.P. Productions,ETIC Films,Runteam III Ltd."
668,"Twentieth Century Fox Film Corporation,Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures,Marvel Enterprises,Horseshoe Bay Productions,Elektra Productions,SAI Productions"
669,"Miramax Films,Troublemaker Studios,AR Films,Aldamisa Entertainment,Demarest Films,Solipsist Film,Residaco"
670,Columbia Pictures
671,"Universal Pictures,Working Title Films,Walden Media,Cross Creek Pictures,Free State Pictures,RVK Studios"
672,"Davis-Films,Nouvelles Éditions de Films (NEF),Rising Star,VIP Medienfonds 4,Ikiru Films,Constantin Film Produktion,Castelao Producciones"
673,"New Line Cinema,Eric's Boy,Team Todd,Moving Pictures,Gratitude International"
674,"The Weinstein Company,Summit Entertainment,Tezuka Production Company Ltd.,Imagi Animation Studios"
675,"Universal Pictures,Amblin Entertainment"
676,"Tig Productions,Warner Bros.,Kasdan Pictures,Paragon Entertainment Corp."
677,"Paramount Pictures,Mace Neufeld Productions"
678,"Shanghai Film Group,Jackie & JJ Production,Sparkle Roll Media,Huayi Brothers Media,Alibaba Pictures Group,Home Media & Entertainment Fund,Tencent Video,China Film & TV Capital,Visualizer Film Company"
679,"Revolution Studios,Wayans Bros. Entertainment"
680,"Universal Pictures,Canal Plus,Dino De Laurentiis Company"
681,"Columbia Pictures,Castle Rock Entertainment"
682,"Paramount Pictures,Goldcrest Pictures,Internationale Filmproduktion"
683,"Franchise Pictures,Warner Bros.,Morgan Creek Productions"
684,"Double Feature Films,The Weinstein Company,FilmColony"
685,DreamWorks
686,"Universal Pictures,Illumination Entertainment"
687,"Virtual Studios,Legendary Pictures,Hollywood Gang Productions,Atmosphere Entertainment MM,Warner Bros.,Nimar Studios,Cruel and Unusual Films"
688,"DreamWorks SKG,Universal Pictures,Everyman Pictures,Tribeca Productions"
689,"Sunswept Entertainment,Dune Entertainment III"
690,"Castle Rock Entertainment,Darkwoods Productions,Warner Bros."
691,"Wild Hogs Productions,Touchstone Pictures"
692,"Walt Disney Pictures,Walt Disney Feature Animation"
693,"Twentieth Century Fox Film Corporation,Regency Enterprises,New Regency Pictures,Pacific Standard,TSG Entertainment,Artemple - Hollywood"
694,"Universal Pictures,Kennedy/Marshall Company, The,Hypnotic,Kalima Productions GmbH & Co. KG,Stillking Films"
695,"United Artists,Eon Productions"
696,"Paramount Pictures,MFP Munich Film Partners GmbH & Company I. Produktions KG,Krane Entertainment,Neufeld Rehme Productions"
697,"Paramount Pictures,Scott Rudin Productions"
698,"DreamWorks SKG,DreamWorks Animation"
699,"Columbia Pictures,Revolution Studios,Davis Entertainment"
700,"Universal Studios,Marc Platt Productions,Emmett/Furla Films,Envision Entertainment Corporation"
701,"Village Roadshow Pictures,NPV Entertainment,Mad Chance,Zide-Perry Productions,Warner Bros.,BenderSpink"
702,"De Line Pictures,Working Title Films"
703,"Village Roadshow Pictures,Castle Rock Entertainment,NPV Entertainment,Fortis Films"
704,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
705,"Universal Pictures,Wild West Picture Show Productions,Stuber Productions,Relativity Media"
706,"Paramount Pictures,Don Simpson/Jerry Bruckheimer Films"
707,"Twentieth Century Fox Film Corporation,21 Laps Entertainment,Dozen Canada Productions"
708,"Gotham Group,Temple Hill Entertainment,TSG Entertainment"
709,"Columbia Pictures,Red Om Films,Plan B Entertainment"
710,Universal Pictures
711,"DC Comics,Di Bonaventura Pictures,Summit Entertainment,DC Entertainment"
712,"Donners' Company,Ixtlan,Warner Bros."
713,"Wildwood Enterprises,Touchstone Pictures"
714,"Paramount Pictures,DreamWorks SKG,Parkes/MacDonald Productions,Edge City"
715,"Universal Pictures,Kalima Productions GmbH & Co. KG,World Wrestling Entertainment (WWE),Alphaville Films"
716,"Casey Silver Productions,Beacon Communications,Touchstone Pictures,Beacon Pictures,Fantail Films Inc."
717,"Paramount Pictures,Mutual Film Company,Skydance Productions,TC Productions"
718,"Village Roadshow Pictures,Warner Bros.,Riche-Ludwig Productions,Groucho III Film Partnership"
719,Columbia Pictures
720,"Double Feature Films,Regency Enterprises,Warner Bros.,Participant Media,Imagenation Abu Dhabi FZ"
721,"Castle Rock Entertainment,Jerry Bruckheimer Films,Warner Bros."
722,"Focus Features,Laika Entertainment"
723,"Spyglass Entertainment,Twentieth Century Fox Film Corporation,Dune Entertainment,UTV Motion Pictures,Blinding Edge Pictures"
724,"Regency Enterprises,Fox 2000 Pictures,Epsilon Motion Pictures,Scott Free Productions,New Regency Pictures"
725,"Walt Disney Pictures,Mandeville Films,Boxing Cat Films"
726,"Weed Road Pictures,Warner Bros.,Dimension Films,Red Hour Films,AR-TL"
727,"Twentieth Century Fox Film Corporation,1492 Pictures"
728,"Revolution Studios,Dark Horse Entertainment,Lawrence Gordon Productions,Starlite Films"
729,"Paramount Pictures,Wildwood Enterprises,Touchstone Pictures"
730,"Focus Features,Laika Entertainment"
731,"Universal Pictures,Toho-Towa,Mutual Film Company,Marubeni,Tele München Fernseh Produktionsgesellschaft (TMG),Alphaville Films,British Broadcasting Corporation (BBC),UGC PH,Mel's Cite du Cinema"
732,"Paramount Pictures,DreamWorks SKG,Davis Entertainment,Lion Rock Productions,Province of British Columbia Film Incentive BC,Solomon/Hackett Productions"
733,"Cinergi Pictures Entertainment,Touchstone Pictures"
734,Larger Than Life Productions
735,"DreamWorks SKG,Parkes+MacDonald Image Nation,Blue Train Productions"
736,"Regency Enterprises,Warner Bros.,Seagal/Nasso Productions,Victor Company of Japan (JVC),Cutting Edge Films"
737,"Paramount Pictures,Di Bonaventura Pictures,Mace Neufeld Productions,Skydance Productions,Etalon film,Buckaroo Entertainment"
738,"Fox 2000 Pictures,Davis Entertainment,Annapurna Pictures,TSG Entertainment"
739,"Millennium Films,LHF Film,Gerard Butler Alan Siegel Entertainment,Nu Boyana Film Studios"
740,"Twentieth Century Fox Film Corporation,Brandywine Productions"
741,"Paramount Pictures,Di Bonaventura Pictures,Grosvenor Park Impact Productions"
742,Laika Entertainment
743,"Village Roadshow Pictures,DiNovi Pictures,Fortis Films,Warner Bros.,Stargate Studios"
744,"Village Roadshow Pictures,DC Comics,Vertigo Entertainment,Lin Pictures,Warner Bros. Animation,LEGO,Warner Bros.,Animal Logic,Warner Animation Group,RatPac-Dune Entertainment"
745,"Village Roadshow Pictures,Castle Rock Entertainment,Fortis Films"
746,"The Zanuck Company,Spyglass Entertainment,World 2000 Entertainment,Touchstone Pictures,Tripod Entertainment"
747,"Village Roadshow Pictures,Lin Pictures,Warner Bros.,Langley Park Production"
748,"Columbia Pictures,Ocean Pictures,Apatow Productions"
749,"Spyglass Entertainment,Malpaso Productions,Revelations Entertainment,Mace Neufeld Productions,Warner Bros.,Liberty Pictures (II)"
750,"Universal Pictures,StudioCanal,Andell Entertainment,Relativity Media,Working Title Films"
751,"Universal Pictures,Laura Bickford Productions,Relativity Media,Medienproduktion Poseidon Filmgesellschaft"
752,Walt Disney Pictures
753,"Twentieth Century Fox Film Corporation,Dune Entertainment,Major Studio Partners,Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures,Sentinel Productions,Furthur Films"
754,"TriStar Pictures,Ilion Animation Studios,Hand Made Films"
755,Paramount Pictures
756,"Imagine Entertainment,Universal Pictures,Mike Zoss Productions,Alphaville Productions"
757,"Malpaso Productions,Warner Bros."
758,"Icon Productions,BBC Films,GK Films,Warner Bros."
759,"Paramount Pictures,Universal Pictures,Toho-Towa,Mutual Film Company,Pacific Western,PolyGram Filmed Entertainment,Marubeni,Tele München Fernseh Produktionsgesellschaft (TMG),British Broadcasting Corporation (BBC)"
760,"Village Roadshow Pictures,NPV Entertainment,Warner Bros.,Tribeca Productions,Baltimore Spring Creek Pictures,Face Productions"
761,"Grosvenor Park Media Ltd.,InVenture Entertainment,Millennium Films,Emmett/Furla Films,Nu-Image Films"
762,"Imagine Entertainment,Universal Pictures"
763,"DreamWorks,Universal Pictures,StudioCanal,Participant Media,Krasnoff Foster Productions,Working Title Films"
764,"DreamWorks SKG,Twentieth Century Fox Film Corporation,Wildwood Enterprises,Epsilon Motion Pictures,Allied Filmmakers"
765,"Columbia Pictures,Vinyl Films,DreamWorks Pictures"
766,"Twentieth Century Fox Film Corporation,Dune Entertainment,Davis Entertainment"
767,"Original Film,Columbia Pictures Corporation,Revolution Studios"
768,"Screen Gems,Stars Road Entertainment,Buckaroo Entertainment,Michael De Luca Productions,TOKYOPOP"
769,DreamWorks Animation
770,"Paramount Pictures,Impact Pictures,Golar Productions"
771,"Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Gran Via Productions,Kalima Productions GmbH & Co. KG,NDE Productions"
772,"Universal Pictures,Davis-Films,Signature Pictures,Linson Entertainment,Art Linson Productions,Millennium Films,Equity Pictures Medienfonds GmbH & Co. KG III,Nu Image Entertainment GmbH"
773,"Ingenious Film Partners,Electric Entertainment,Skydance Productions,Flyboys Films"
774,DreamWorks SKG
775,"United Artists,Metro-Goldwyn-Mayer (MGM),Hammerhead Productions,Screenland Pictures"
776,"Village Roadshow Pictures,Weed Road Pictures,Warner Bros."
777,"Constantin Film Produktion,Don Carmody Productions,Unique Features,Mr. Smith Productions"
778,"Twentieth Century Fox Film Corporation,Dune Entertainment,Regency Enterprises,Guy Walks into a Bar Productions,Deep River Productions,Friendly Films (II)"
779,"Vertigo Entertainment,Touchstone Pictures,Post No Bills Films,Pandemonium Productions"
780,"Imagine Entertainment,Universal Pictures"
781,"New Line Cinema,Internationale Filmproduktion Blackbird Erste"
782,"DC Comics,Lionsgate,Odd Lot Entertainment,Media Magik Entertainment,Dark Lot Entertainment,Continental Entertainment Group (CEG)"
783,"Lionsgate,Mad Chance,OddLot Entertainment,Huayi Brothers Media"
784,"Boll Kino Beteiligungs GmbH & Co. KG,Brightlight Pictures,Herold Productions"
785,"Mandalay Pictures,CP Medien AG,Camelot Pictures,Networxx - Film Management,Mel's Cite du Cinema"
786,Filmko Pictures
787,"Lawrence Bender Productions,Marty Katz Productions"
788,"Twentieth Century Fox Film Corporation,Marvel Entertainment,The Donners' Company,TSG Entertainment,Kinberg Genre"
789,"Caravan Pictures,Touchstone Pictures"
790,"Village Roadshow Pictures,Malpaso Productions,Warner Bros.,RatPac-Dune Entertainment,Mad Chance Productions,22 & Indiana Pictures"
791,"Columbia Pictures,Village Roadshow Pictures,Original Film,Sony Pictures Animation,Sony Pictures Entertainment (SPE),Scholastic Entertainment,LStar Capital"
792,"DreamWorks SKG,UIP,MacDonald/Parkes Productions"
793,"Universal Pictures,Amblin Entertainment"
794,"TriStar Pictures,Carolco Pictures"
795,"Universal Pictures,Casey Silver Productions,Outlaw Productions (I),Smokehouse Pictures"
796,Happy Madison Productions
797,"Columbia Pictures,Castle Rock Entertainment,Relativity Media,Banter"
798,"Twentieth Century Fox Film Corporation,Regency Enterprises,21 Laps Entertainment,Wild West Picture Show Productions,TSG Entertainment"
799,"Impact Pictures,Davis-Films,Constantin Film Produktion"
800,"Lucasfilm,Twentieth Century Fox Film Corporation,Partnership Pictures"
801,"Regency Enterprises,Monarchy Enterprises B.V.,Kopelson Entertainment,Warner Bros.,New Regency Pictures,Taurus Film"
802,"Columbia Pictures,Happy Madison Productions,Relativity Media"
803,Universal Pictures
804,"New Line Cinema,Contrafilm,Firm Films"
805,"Columbia Pictures,Imagenation Abu Dhabi FZ,Marvel Entertainment,Marvel Knights,Hyde Park Entertainment,Crystal Sky Pictures,Michael De Luca Productions"
806,"Miramax Films,Universal Pictures"
807,"Walt Disney Pictures,Spyglass Entertainment"
808,"Metro-Goldwyn-Mayer (MGM),Mandeville Films,WWE Studios,Hyde Park Entertainment,Burke/Samples/Foster Productions,Cub Eight Productions"
809,Paramount Pictures
810,"Dune Entertainment,Regency Enterprises,Fox 2000 Pictures,Bagdasarian Productions"
811,"DreamWorks SKG,Universal Pictures,Tribeca Productions,Nancy Tenenbaum Films"
812,"Walt Disney Pictures,Walt Disney Feature Animation"
813,"Warner Bros.,Dovemead Films,Film Export A.G."
814,"Imagine Entertainment,Universal Pictures"
815,"Columbia Pictures Corporation,Overbrook Entertainment"
816,"Walt Disney Pictures,Mandeville Films"
817,"Universal Pictures,Zide-Perry Productions,LivePlanet,Loumolo & Co."
818,Columbia Pictures
819,"Twentieth Century Fox Film Corporation,Dune Entertainment,21 Laps Entertainment"
820,"Universal Pictures,Amblin Entertainment,The Harvey Entertainment Company"
821,"Columbia Pictures,Village Roadshow Pictures,Escape Artists,Mace Neufeld Productions,LStar Capital,Lonetree Entertainment"
822,Red Om Films
823,"Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films"
824,"Columbia Pictures Corporation,Escape Artists,Relativity Media,Overbrook Entertainment"
825,"Imagine Entertainment,Touchstone Pictures"
826,"Warner Bros.,Baltimore Pictures"
827,"Atlas Entertainment,Regency Enterprises,Monarchy Enterprises B.V.,Warner Bros.,Taurus Film"
828,"Miramax Films,A Band Apart,Super Cool ManChu"
829,Universal Pictures
830,"Miramax Films,A Band Apart,Super Cool ManChu"
831,Warner Bros.
832,Universal Pictures
833,"Spyglass Entertainment,Roger Birnbaum Productions,Touchstone Pictures"
834,"Silver Pictures,Warner Bros."
835,"Twentieth Century Fox Film Corporation,Dune Entertainment,Davis Entertainment,Dune Entertainment III"
836,"Casey Silver Productions,China Film Co-Production Corporation,Huayi Brothers,Relativity Media"
837,"Reel FX Creative Studios,Relativity Media"
838,"Twentieth Century Fox Film Corporation,Brandywine Productions"
839,"Hollywood Pictures,Cinergi Pictures Entertainment"
840,"United Artists,FGM Entertainment"
841,"Constellation Films,Paramount"
842,"The Weinstein Company,StudioCanal,TF1 Films Production,Canal+,Heyday Films,Ciné+,Anton Capital Entertainment (ACE),TF1,Amazon Prime Instant Video"
843,"Ingenious Film Partners,Ingenious Media,Twentieth Century Fox Film Corporation,Dune Entertainment,21 Laps Entertainment,Dune Entertainment III,Big Screen Productions,Down Productions"
844,"Lakeshore Entertainment,Alphaville Films"
845,"Spyglass Entertainment,Touchstone Pictures"
846,"Twentieth Century Fox Film Corporation,Conundrum Entertainment"
847,"New Line Cinema,Donners' Company,Mosaic Media Group,Road Rebel"
848,"Columbia Pictures,Aardman Animations,Sony Pictures Animation"
849,"Imagine Entertainment,Malpaso Productions,Relativity Media"
850,"Twentieth Century Fox Film Corporation,Chicago Pacific Entertainment,Zanuck Company, The"
851,"TriStar Pictures,Mandalay Entertainment"
852,"Odyssey Entertainment,Warner Bros.,Scion Films,Really Useful Films"
853,"Universal Pictures,StudioCanal,Working Title Films"
854,"Paramount Pictures,Lakeshore Entertainment,MTV Films,Colossal Pictures,Valhalla Motion Pictures,MTV Productions"
855,"Warner Bros. Pictures,Turner Pictures,Antietam Filmworks"
856,"Metro-Goldwyn-Mayer (MGM),Rysher Entertainment"
857,"Paramount Pictures,Di Bonaventura Pictures,Nickelodeon Movies,Goldcrest Pictures,Internationale Filmproduktion Stella-del-Sud Third"
858,"Buena Vista,Disney"
859,"Studio Canal,Working Title Films,Tracy Films"
860,Bedford Falls Productions
861,"Gerber Pictures,2003 Productions,TF1 Films Production,Canal+,Warner Bros.,Région Ile-de-France,Tapioca Films,Centre National de la Cinématographie (CNC),Région Bretagne,Région Poitou-Charentes"
862,"Seven Arts Productions,Allied Artists,Transworld Pictures"
863,Universal Pictures
864,"New Line Cinema,Amen Ra Films,Milk & Honey,Imaginary Forces,Justin Pictures,Linovo Productions GmbH & Co. KG,Pacific Title and Art Studio,Marvel Enterprises"
865,"Columbia Pictures,Escape Artists,Relativity Media,Overbrook Entertainment"
866,"Dark Castle Entertainment,After Dark Films,IM Global,Automatik Entertainment,Silver Reel,EMJAG Productions,Millar Gough Ink,Headshot Films"
867,Paramount Pictures
868,"Paramount Pictures,Cruise/Wagner Productions,Vinyl Films,KMP Film Invest"
869,"Universal Pictures,Kaplan/Perrone Entertainment,MMCB Film Produktion 2004"
870,"Warner Bros.,Dovemead Films,Film Export A.G."
871,"City Light Films,Revolution Studios,Casey Silver Productions"
872,"Columbia Pictures Corporation,Rising Star,Relativity Media,Phoenix Pictures,VIP 4 Medienfonds"
873,"Paramount Pictures,Scott Rudin Productions"
874,"Twentieth Century Fox Film Corporation,Fox Animation Studios,Fox Family Films,The Big Gun Project,Little Wolf Entertainment"
875,"Bazmark Films,Twentieth Century Fox Film Corporation"
876,Paramount Pictures
877,"Infinitum Nihil,Head Gear Films,Cross Creek Pictures,Free State Pictures,RatPac-Dune Entertainment,Le Grisbi Productions,Vendian Entertainment"
878,"DreamWorks SKG,Amblin Entertainment,Malpaso Productions,Warner Bros."
879,"Film Department, The,Evil Twins,Warp Films"
880,"Big Talk Productions,Yer Dead Productions,Weinstein Company, The,Dimension Films,Troublemaker Studios,Dartmouth International,Eyetronics,Rodriguez International Pictures"
881,"Harpo Films,Touchstone Pictures"
882,"Village Roadshow Pictures,Lonely Film Productions GmbH & Co. KG.,Deuce Three Productions,DiNovi Pictures,Warner Bros."
883,"Kemp Company,Splendid Pictures,Parkes/MacDonald Productions"
884,"Columbia Pictures,Annapurna Pictures,First Light Production"
885,"Universal Pictures,Mosaic Media Group,Wild West Picture Show Productions"
886,"Universal Pictures,Internationale Filmproduktion Richter,Playtone,Relativity Media,Littlestar"
887,"New Line Cinema,Karz Entertainment,Rice Films"
888,"Village Roadshow Pictures,Gerber Pictures,Warner Bros.,WV Films III"
889,"Fox 2000 Pictures,Phoenix Pictures,Geisler-Roberdeau"
890,"Universal Pictures,Original Film,Relativity Media,Big Kid Pictures"
891,Mutual Film Company
892,"Universal Pictures,Légende Entreprises,Syalis DA,De Fina-Cappa"
893,"Apipoulaï,M6 Films,Canal+,TPS Star,Grive Productions,EuropaCorp,M6,W9"
894,Metro-Goldwyn-Mayer (MGM)
895,"Twentieth Century Fox Film Corporation,Conundrum Entertainment"
896,"Paramount Pictures,Nickelodeon Movies,Paramount Animation"
897,"Regency Enterprises,New Regency Pictures,Corduroy Films,All Lit Up Productions"
898,"Summit Entertainment,Maverick Films,Imprint Entertainment,Sunswept Entertainment,Temple Hill Entertainment"
899,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
900,"Universal Pictures,Media Rights Capital,Gambit Pictures,Electric Shepherd Productions"
901,"Warner Bros.,Morgan Creek Productions"
902,"Gracie Films,TriStar Pictures"
903,"Universal Pictures,Media Rights Capital,Fuzzy Door Productions"
904,"Gracie Films,TriStar Pictures"
905,"Universal Pictures,Bungalow 78 Productions,Blue Wolf,Farrell/Minoff"
906,"Paramount Pictures,Gary Sanchez Productions,Apatow Productions"
907,"New Line Cinema,Columbia Pictures Corporation,Out of the Blue... Entertainment,Happy Madison Productions"
908,"Paramount Pictures,Amblin Entertainment,Bad Robot,K/O Camera Toys"
909,Jersey Films
910,Paramount Pictures
911,"Columbia Pictures,Original Film,Media Rights Capital,Metro-Goldwyn-Mayer (MGM),Cannell Studios,LStar Capital,33andOut Productions,JHF Productions"
912,Geffen Pictures
913,"Village Roadshow Pictures,The Zanuck Company,Heyday films,Warner Bros."
914,"New Line Cinema,Universal Pictures,Bluegrass Films,Principato-Young Entertainment"
915,"Columbia Pictures,1492 Pictures"
916,"Paramount Pictures,Gary Sanchez Productions,Red Granite Pictures"
917,"Walt Disney Pictures,Marc Platt Productions,Lucamar Productions"
918,"Imagine Entertainment,Universal Pictures,40 Acres & A Mule Filmworks"
919,"Paramount Pictures,Icon Entertainment International"
920,"Paramount Pictures,Kennedy/Marshall Company, The"
921,"Twentieth Century Fox Film Corporation,Dune Entertainment,Vinyl Films,LBI Entertainment"
922,"Summit Entertainment,Mystery Clock Cinema,Escape Artists,Goldcrest Pictures,Kaplan/Perrone Entertainment,Wintergreen Productions"
923,"Paramount Pictures,Scott Rudin Productions,Failure to Launch Productions"
924,"DreamWorks,BenderSpink,Parkes+MacDonald Image Nation"
925,Warner Bros.
926,"Twentieth Century Fox Film Corporation,Davis Entertainment,Twentieth Century Fox Animation"
927,"Columbia Pictures,1492 Pictures,Revolution Studios"
928,"Columbia Pictures,Scott Rudin Productions"
929,"Kopelson Entertainment,Punch Productions,Warner Bros.,Arnold Kopelson Productions"
930,"StudioCanal,Silver Pictures,TF1 Films Production,Canal+,Anton Capital Entertainment (ACE),TF1,LOVEFiLM International"
931,"Walt Disney Pictures,Gunn Films"
932,"Studio Babelsberg,DC Comics,Virtual Studios,Anarchos Productions,Silver Pictures,Warner Bros.,Medienboard Berlin-Brandenburg,Fünfte Babelsberg Film"
933,"Spyglass Entertainment,Touchstone Pictures,Birnbaum / Barber Productions,Jackie Chan Films Limited,All Knight Productions"
934,"Imagine Entertainment,Universal Pictures,Universal Animation Studios"
935,"Walt Disney Pictures,Robert Simonds Productions"
936,"Village Roadshow Pictures,NPV Entertainment,Regency Enterprises,Kopelson Entertainment,Epsilon Motion Pictures,New Regency Pictures,Furthur Films"
937,"Paramount Pictures,Studio Babelsberg,MTV Films,Gary Sanchez Productions,Metro-Goldwyn-Mayer (MGM),Deutsche Filmförderfonds (DFFF)"
938,"Regency Enterprises,Fox 2000 Pictures,Epsilon Motion Pictures,Unfaithful Filmproduktion GmbH & Co. KG"
939,"DreamWorks SKG,Reliance BIG Entertainment,Bay Films,Touchstone Pictures"
940,"Section Eight,Warner Bros.,Participant Media,FilmWorks,4M,MID Foundation"
941,"Paramount Pictures,3 Arts Entertainment,Bay Films,Latina Pictures,Dune Films"
942,"Twentieth Century Fox Film Corporation,Reel FX Creative Studios,Twentieth Century Fox Animation,Chatrone"
