,production_countries
819,UnitedStatesofAmerica
820,UnitedStatesofAmerica
821,UnitedStatesofAmerica
822,UnitedStatesofAmerica
823,UnitedStatesofAmerica Germany
824,UnitedStatesofAmerica
825,UnitedStatesofAmerica
826,UnitedStatesofAmerica
827,UnitedStatesofAmerica
828,UnitedStatesofAmerica
829,HongKong UnitedStatesofAmerica
830,UnitedStatesofAmerica
831,UnitedStatesofAmerica
832,China UnitedStatesofAmerica
833,UnitedStatesofAmerica
834,UnitedKingdom UnitedStatesofAmerica
835,UnitedStatesofAmerica Hungary
836,France UnitedKingdom UnitedStatesofAmerica
837,Germany UnitedStatesofAmerica
838,UnitedKingdom
839,UnitedStatesofAmerica
840,UnitedStatesofAmerica
841,UnitedStatesofAmerica
842,UnitedStatesofAmerica
843,UnitedStatesofAmerica
844,UnitedKingdom
845,UnitedStatesofAmerica
846,UnitedStatesofAmerica
847,UnitedStatesofAmerica
848,UnitedKingdom UnitedStatesofAmerica
849,UnitedKingdom
850,UnitedStatesofAmerica
851,UnitedStatesofAmerica
852,UnitedStatesofAmerica
853,UnitedStatesofAmerica
854,UnitedStatesofAmerica
855,UnitedKingdom France
856,UnitedStatesofAmerica
857,France
858,UnitedKingdom UnitedStatesofAmerica
859,UnitedStatesofAmerica
860,Germany UnitedStatesofAmerica
861,UnitedStatesofAmerica
862,Switzerland UnitedStatesofAmerica
863,Italy UnitedStatesofAmerica
864,UnitedStatesofAmerica
865,UnitedStatesofAmerica
866,UnitedKingdom UnitedStatesofAmerica
867,UnitedStatesofAmerica
868,UnitedStatesofAmerica
869,Germany UnitedStatesofAmerica
870,UnitedStatesofAmerica
871,Australia UnitedStatesofAmerica
872,UnitedStatesofAmerica
873,UnitedKingdom UnitedStatesofAmerica
874,UnitedStatesofAmerica
875,UnitedStatesofAmerica
876,UnitedStatesofAmerica
877,UnitedStatesofAmerica
878,UnitedStatesofAmerica
879,UnitedStatesofAmerica
880,UnitedStatesofAmerica
881,UnitedStatesofAmerica
882,Germany UnitedKingdom UnitedStatesofAmerica
883,UnitedStatesofAmerica
884,UnitedStatesofAmerica
885,Canada UnitedStatesofAmerica
886,UnitedStatesofAmerica
887,UnitedStatesofAmerica
888,France UnitedStatesofAmerica
889,UnitedKingdom France
890,UnitedStatesofAmerica
891,UnitedStatesofAmerica
892,Germany UnitedStatesofAmerica
893,UnitedStatesofAmerica
894,UnitedStatesofAmerica
895,UnitedStatesofAmerica
896,UnitedStatesofAmerica
897,UnitedStatesofAmerica
898,UnitedStatesofAmerica
899,UnitedStatesofAmerica
900,UnitedStatesofAmerica
901,UnitedStatesofAmerica
902,UnitedStatesofAmerica
903,UnitedStatesofAmerica
904,UnitedStatesofAmerica
905,UnitedStatesofAmerica
906,Germany UnitedStatesofAmerica
907,UnitedStatesofAmerica
908,UnitedStatesofAmerica
909,UnitedStatesofAmerica
910,UnitedStatesofAmerica
911,UnitedStatesofAmerica
912,UnitedStatesofAmerica
913,UnitedStatesofAmerica
914,UnitedStatesofAmerica
915,UnitedStatesofAmerica
916,UnitedStatesofAmerica
917,UnitedStatesofAmerica
918,UnitedKingdom UnitedStatesofAmerica Australia
919,UnitedStatesofAmerica
920,UnitedStatesofAmerica
921,UnitedStatesofAmerica
922,UnitedStatesofAmerica
923,UnitedStatesofAmerica
924,UnitedStatesofAmerica
925,UnitedStatesofAmerica
926,France UnitedKingdom UnitedStatesofAmerica
927,UnitedStatesofAmerica
928,Germany UnitedKingdom UnitedStatesofAmerica
929,HongKong UnitedStatesofAmerica
930,UnitedStatesofAmerica
931,UnitedStatesofAmerica
932,Australia UnitedStatesofAmerica
933,UnitedStatesofAmerica Germany
934,UnitedStatesofAmerica
935,UnitedStatesofAmerica
936,UnitedStatesofAmerica
937,Malta Morocco UnitedStatesofAmerica
938,Mexico UnitedStatesofAmerica
939,UnitedStatesofAmerica Australia
940,UnitedStatesofAmerica
941,UnitedStatesofAmerica
942,UnitedStatesofAmerica
943,Canada France Japan UnitedStatesofAmerica
944,UnitedStatesofAmerica
945,UnitedStatesofAmerica
946,Germany UnitedStatesofAmerica
947,UnitedStatesofAmerica
948,UnitedStatesofAmerica
949,UnitedStatesofAmerica
950,UnitedStatesofAmerica
951,UnitedStatesofAmerica
952,UnitedKingdom UnitedStatesofAmerica Germany France Canada
953,France Germany Ireland UnitedKingdom UnitedStatesofAmerica
954,UnitedStatesofAmerica
955,UnitedStatesofAmerica
956,UnitedStatesofAmerica
957,UnitedKingdom UnitedStatesofAmerica
958,UnitedStatesofAmerica
959,Germany UnitedStatesofAmerica
960,UnitedStatesofAmerica
961,UnitedStatesofAmerica
962,UnitedStatesofAmerica
963,UnitedStatesofAmerica
964,UnitedStatesofAmerica
965,France UnitedStatesofAmerica
966,UnitedKingdom CzechRepublic France Italy
967,UnitedStatesofAmerica
968,UnitedStatesofAmerica
969,UnitedStatesofAmerica
970,UnitedStatesofAmerica
971,Germany UnitedKingdom UnitedStatesofAmerica
972,UnitedStatesofAmerica
973,UnitedStatesofAmerica
974,UnitedStatesofAmerica
975,UnitedStatesofAmerica
976,Germany UnitedKingdom UnitedStatesofAmerica
977,UnitedStatesofAmerica
978,UnitedStatesofAmerica
979,UnitedKingdom UnitedStatesofAmerica Canada
980,UnitedStatesofAmerica
981,France
982,UnitedStatesofAmerica
983,Canada UnitedStatesofAmerica
984,UnitedStatesofAmerica
985,UnitedStatesofAmerica
986,UnitedStatesofAmerica
987,UnitedStatesofAmerica UnitedArabEmirates
988,France UnitedKingdom UnitedStatesofAmerica
989,UnitedStatesofAmerica
990,UnitedStatesofAmerica
991,UnitedStatesofAmerica
992,Germany UnitedKingdom UnitedStatesofAmerica
993,UnitedStatesofAmerica
994,UnitedStatesofAmerica
995,UnitedStatesofAmerica
996,UnitedStatesofAmerica
997,Canada India Japan UnitedStatesofAmerica
998,UnitedStatesofAmerica
999,UnitedStatesofAmerica
1000,Germany UnitedKingdom France
1001,Germany UnitedStatesofAmerica
1002,UnitedStatesofAmerica
1003,France UnitedKingdom
1004,Mexico SouthAfrica UnitedStatesofAmerica
1005,UnitedStatesofAmerica
1006,UnitedStatesofAmerica
1007,
1008,UnitedStatesofAmerica
1009,UnitedKingdom UnitedStatesofAmerica CzechRepublic Romania
1010,Canada UnitedStatesofAmerica
1011,Germany UnitedKingdom UnitedStatesofAmerica
1012,UnitedStatesofAmerica
1013,UnitedStatesofAmerica
1014,UnitedStatesofAmerica
1015,UnitedStatesofAmerica
1016,France UnitedStatesofAmerica
1017,UnitedStatesofAmerica
1018,UnitedStatesofAmerica
1019,Canada India
1020,UnitedStatesofAmerica
1021,UnitedStatesofAmerica
1022,UnitedStatesofAmerica
1023,UnitedStatesofAmerica
1024,Russia
1025,Germany UnitedStatesofAmerica
1026,UnitedStatesofAmerica
1027,UnitedStatesofAmerica
1028,UnitedStatesofAmerica
1029,UnitedStatesofAmerica
1030,UnitedStatesofAmerica
1031,UnitedStatesofAmerica
1032,UnitedStatesofAmerica
1033,UnitedStatesofAmerica
1034,UnitedKingdom
1035,SouthKorea UnitedStatesofAmerica
1036,UnitedStatesofAmerica
1037,France
1038,UnitedStatesofAmerica
1039,UnitedStatesofAmerica
1040,UnitedStatesofAmerica
1041,UnitedStatesofAmerica
1042,UnitedStatesofAmerica
1043,UnitedStatesofAmerica
1044,UnitedStatesofAmerica
1045,UnitedStatesofAmerica
1046,UnitedStatesofAmerica Germany
1047,UnitedStatesofAmerica
1048,Australia UnitedStatesofAmerica
1049,UnitedStatesofAmerica
1050,Canada UnitedStatesofAmerica
1051,UnitedStatesofAmerica
1052,UnitedStatesofAmerica
1053,Germany UnitedStatesofAmerica
1054,UnitedStatesofAmerica
1055,Brazil Peru UnitedStatesofAmerica
1056,UnitedStatesofAmerica
1057,UnitedKingdom UnitedStatesofAmerica
1058,UnitedStatesofAmerica
1059,CzechRepublic UnitedKingdom
1060,Peru UnitedStatesofAmerica
1061,UnitedStatesofAmerica
1062,UnitedStatesofAmerica
1063,UnitedStatesofAmerica
1064,UnitedStatesofAmerica
1065,UnitedStatesofAmerica
1066,Australia France Germany UnitedKingdom UnitedStatesofAmerica
1067,UnitedStatesofAmerica
1068,UnitedStatesofAmerica
1069,UnitedStatesofAmerica
1070,UnitedStatesofAmerica
1071,UnitedStatesofAmerica
1072,Germany UnitedStatesofAmerica
1073,France UnitedKingdom
1074,UnitedStatesofAmerica
1075,UnitedStatesofAmerica
1076,UnitedStatesofAmerica
1077,UnitedKingdom UnitedStatesofAmerica
1078,UnitedStatesofAmerica Germany
1079,France UnitedKingdom
1080,UnitedStatesofAmerica
1081,UnitedStatesofAmerica
1082,Canada UnitedStatesofAmerica
1083,UnitedStatesofAmerica
1084,UnitedStatesofAmerica
1085,Australia UnitedStatesofAmerica
1086,UnitedStatesofAmerica
1087,UnitedStatesofAmerica
1088,Germany UnitedKingdom UnitedStatesofAmerica
1089,Canada UnitedStatesofAmerica
1090,Italy UnitedStatesofAmerica
1091,UnitedStatesofAmerica
1092,UnitedStatesofAmerica
1093,UnitedStatesofAmerica
1094,UnitedStatesofAmerica
1095,UnitedKingdom HongKong China
1096,UnitedStatesofAmerica
1097,UnitedStatesofAmerica
1098,UnitedStatesofAmerica
1099,UnitedStatesofAmerica
1100,UnitedStatesofAmerica
1101,UnitedStatesofAmerica
1102,UnitedStatesofAmerica
1103,UnitedStatesofAmerica
1104,UnitedStatesofAmerica
1105,UnitedStatesofAmerica
1106,UnitedKingdom UnitedStatesofAmerica
1107,UnitedStatesofAmerica
1108,UnitedStatesofAmerica
1109,France UnitedKingdom UnitedStatesofAmerica
1110,UnitedStatesofAmerica
1111,UnitedStatesofAmerica
1112,UnitedStatesofAmerica
1113,UnitedStatesofAmerica
1114,UnitedStatesofAmerica
1115,UnitedKingdom UnitedStatesofAmerica
1116,UnitedKingdom
1117,UnitedStatesofAmerica
1118,UnitedStatesofAmerica
1119,UnitedStatesofAmerica
1120,UnitedKingdom UnitedStatesofAmerica Switzerland
1121,UnitedStatesofAmerica
1122,UnitedStatesofAmerica
1123,UnitedStatesofAmerica
1124,UnitedStatesofAmerica
1125,UnitedStatesofAmerica
1126,UnitedKingdom UnitedStatesofAmerica
1127,Canada UnitedStatesofAmerica
1128,Germany UnitedStatesofAmerica
1129,UnitedKingdom UnitedStatesofAmerica
1130,France UnitedStatesofAmerica Germany
1131,UnitedStatesofAmerica
1132,UnitedStatesofAmerica
1133,NewZealand SouthKorea
1134,France
1135,UnitedStatesofAmerica
1136,France
1137,UnitedStatesofAmerica
1138,HongKong UnitedStatesofAmerica
1139,UnitedStatesofAmerica
1140,UnitedStatesofAmerica
1141,UnitedStatesofAmerica
1142,UnitedStatesofAmerica
1143,UnitedStatesofAmerica
1144,UnitedStatesofAmerica
1145,Canada UnitedStatesofAmerica
1146,UnitedStatesofAmerica
1147,France UnitedStatesofAmerica
1148,UnitedStatesofAmerica
1149,UnitedStatesofAmerica
1150,UnitedStatesofAmerica
1151,UnitedStatesofAmerica
1152,UnitedStatesofAmerica
1153,UnitedStatesofAmerica
1154,Canada UnitedStatesofAmerica
1155,UnitedStatesofAmerica
1156,Netherlands UnitedStatesofAmerica Germany
1157,UnitedStatesofAmerica
1158,UnitedStatesofAmerica
1159,UnitedStatesofAmerica
1160,UnitedStatesofAmerica
1161,UnitedStatesofAmerica
1162,UnitedStatesofAmerica
1163,UnitedStatesofAmerica
1164,UnitedStatesofAmerica
1165,UnitedStatesofAmerica
1166,UnitedStatesofAmerica
1167,UnitedStatesofAmerica
1168,UnitedStatesofAmerica
1169,UnitedStatesofAmerica
1170,UnitedStatesofAmerica
1171,UnitedStatesofAmerica
1172,UnitedStatesofAmerica
1173,UnitedStatesofAmerica
1174,UnitedStatesofAmerica
1175,UnitedStatesofAmerica
1176,UnitedStatesofAmerica
1177,Mexico UnitedStatesofAmerica
1178,UnitedStatesofAmerica
1179,UnitedStatesofAmerica
1180,UnitedStatesofAmerica
1181,India UnitedStatesofAmerica Germany
1182,UnitedStatesofAmerica
1183,UnitedStatesofAmerica
1184,UnitedStatesofAmerica
1185,UnitedStatesofAmerica
1186,UnitedStatesofAmerica
1187,UnitedStatesofAmerica
1188,UnitedStatesofAmerica
1189,France Germany UnitedKingdom
1190,UnitedStatesofAmerica
1191,UnitedStatesofAmerica
1192,Canada UnitedStatesofAmerica
1193,UnitedStatesofAmerica
1194,UnitedKingdom UnitedStatesofAmerica
1195,UnitedStatesofAmerica
1196,UnitedStatesofAmerica
1197,UnitedStatesofAmerica
1198,UnitedStatesofAmerica
1199,Germany UnitedStatesofAmerica
1200,UnitedStatesofAmerica
1201,UnitedKingdom UnitedStatesofAmerica
1202,UnitedStatesofAmerica
1203,UnitedStatesofAmerica
1204,UnitedStatesofAmerica
1205,UnitedStatesofAmerica
1206,UnitedStatesofAmerica
1207,UnitedStatesofAmerica
1208,UnitedStatesofAmerica
1209,UnitedStatesofAmerica
1210,UnitedStatesofAmerica
1211,UnitedStatesofAmerica UnitedKingdom
1212,UnitedStatesofAmerica
1213,UnitedStatesofAmerica
1214,UnitedStatesofAmerica
1215,UnitedStatesofAmerica
1216,UnitedStatesofAmerica
1217,Germany UnitedStatesofAmerica
1218,UnitedStatesofAmerica
1219,UnitedKingdom UnitedStatesofAmerica
1220,UnitedStatesofAmerica
1221,Germany UnitedStatesofAmerica
1222,UnitedStatesofAmerica
1223,UnitedStatesofAmerica
1224,UnitedStatesofAmerica
1225,UnitedStatesofAmerica
1226,UnitedStatesofAmerica
1227,UnitedStatesofAmerica
1228,Canada UnitedStatesofAmerica
1229,UnitedStatesofAmerica
1230,UnitedStatesofAmerica
1231,UnitedStatesofAmerica
1232,UnitedStatesofAmerica
1233,UnitedKingdom UnitedStatesofAmerica Germany Luxembourg
1234,UnitedKingdom UnitedStatesofAmerica
1235,UnitedStatesofAmerica
1236,UnitedStatesofAmerica
1237,UnitedStatesofAmerica
1238,Canada UnitedStatesofAmerica
1239,France
1240,UnitedStatesofAmerica
1241,UnitedStatesofAmerica
1242,UnitedStatesofAmerica
1243,Australia UnitedStatesofAmerica
1244,UnitedStatesofAmerica
1245,France UnitedStatesofAmerica
1246,France UnitedStatesofAmerica Japan
1247,UnitedStatesofAmerica
1248,UnitedStatesofAmerica
1249,UnitedStatesofAmerica Spain
1250,UnitedStatesofAmerica
1251,UnitedStatesofAmerica
1252,Canada UnitedStatesofAmerica
1253,France UnitedStatesofAmerica
1254,France Germany
1255,UnitedStatesofAmerica
1256,UnitedKingdom UnitedStatesofAmerica
1257,UnitedKingdom UnitedStatesofAmerica
1258,UnitedStatesofAmerica
1259,Germany Luxembourg UnitedKingdom UnitedStatesofAmerica
1260,UnitedStatesofAmerica
1261,Germany UnitedStatesofAmerica
1262,UnitedStatesofAmerica
1263,UnitedKingdom
1264,UnitedStatesofAmerica
1265,Germany UnitedKingdom
1266,UnitedStatesofAmerica
1267,UnitedStatesofAmerica
1268,France UnitedStatesofAmerica
1269,UnitedKingdom UnitedStatesofAmerica
1270,UnitedStatesofAmerica
1271,UnitedStatesofAmerica
1272,France Spain UnitedKingdom UnitedStatesofAmerica
1273,Germany UnitedKingdom UnitedStatesofAmerica
1274,UnitedStatesofAmerica
1275,UnitedStatesofAmerica
1276,BosniaandHerzegovina UnitedStatesofAmerica
1277,Germany UnitedKingdom UnitedStatesofAmerica
1278,France Kazakhstan
1279,SouthKorea France CzechRepublic UnitedStatesofAmerica
1280,France
1281,UnitedStatesofAmerica
1282,UnitedStatesofAmerica
1283,India
1284,UnitedStatesofAmerica
1285,UnitedStatesofAmerica
1286,UnitedStatesofAmerica
1287,UnitedStatesofAmerica
1288,Germany UnitedStatesofAmerica
1289,UnitedKingdom UnitedStatesofAmerica
1290,UnitedStatesofAmerica
1291,China
1292,UnitedStatesofAmerica
1293,UnitedStatesofAmerica
1294,UnitedStatesofAmerica
1295,UnitedStatesofAmerica
1296,UnitedStatesofAmerica
1297,UnitedStatesofAmerica
1298,China France UnitedStatesofAmerica
1299,UnitedStatesofAmerica
1300,UnitedStatesofAmerica
1301,UnitedStatesofAmerica
1302,UnitedStatesofAmerica
1303,UnitedStatesofAmerica
1304,UnitedStatesofAmerica
1305,France Portugal Spain
1306,UnitedStatesofAmerica
1307,UnitedStatesofAmerica
1308,UnitedStatesofAmerica
1309,UnitedStatesofAmerica
1310,UnitedStatesofAmerica
1311,UnitedStatesofAmerica
1312,UnitedStatesofAmerica
1313,UnitedStatesofAmerica
1314,UnitedStatesofAmerica
1315,UnitedStatesofAmerica
1316,Luxembourg Italy France UnitedKingdom
1317,Germany UnitedStatesofAmerica
1318,UnitedStatesofAmerica
1319,UnitedStatesofAmerica
1320,UnitedStatesofAmerica
1321,UnitedStatesofAmerica
1322,UnitedStatesofAmerica UnitedKingdom France
1323,UnitedStatesofAmerica
1324,Germany UnitedKingdom
1325,UnitedStatesofAmerica
1326,UnitedStatesofAmerica
1327,UnitedStatesofAmerica
1328,UnitedStatesofAmerica
1329,UnitedStatesofAmerica
1330,UnitedStatesofAmerica
1331,Germany UnitedStatesofAmerica
1332,UnitedStatesofAmerica
1333,Russia
1334,UnitedStatesofAmerica
1335,Germany UnitedKingdom UnitedStatesofAmerica
1336,UnitedStatesofAmerica
1337,UnitedStatesofAmerica
1338,UnitedStatesofAmerica
1339,Germany UnitedStatesofAmerica
1340,UnitedStatesofAmerica
1341,UnitedStatesofAmerica
1342,UnitedStatesofAmerica
1343,UnitedStatesofAmerica Hungary Italy
1344,UnitedStatesofAmerica
1345,UnitedStatesofAmerica
1346,UnitedStatesofAmerica
1347,UnitedStatesofAmerica
1348,Germany UnitedStatesofAmerica
1349,UnitedStatesofAmerica
1350,UnitedKingdom UnitedStatesofAmerica
1351,
1352,UnitedStatesofAmerica
1353,UnitedStatesofAmerica
1354,UnitedStatesofAmerica
1355,UnitedStatesofAmerica
1356,UnitedStatesofAmerica
1357,UnitedStatesofAmerica
1358,UnitedStatesofAmerica
1359,UnitedStatesofAmerica
1360,UnitedStatesofAmerica
1361,UnitedStatesofAmerica
1362,UnitedStatesofAmerica
1363,UnitedStatesofAmerica
1364,UnitedKingdom UnitedStatesofAmerica
1365,UnitedStatesofAmerica
1366,UnitedStatesofAmerica
1367,UnitedStatesofAmerica
1368,UnitedStatesofAmerica
1369,UnitedStatesofAmerica
1370,Germany UnitedStatesofAmerica
1371,UnitedKingdom UnitedStatesofAmerica
1372,UnitedStatesofAmerica
1373,UnitedStatesofAmerica
1374,UnitedStatesofAmerica
1375,UnitedStatesofAmerica
1376,UnitedStatesofAmerica
1377,Australia UnitedKingdom UnitedStatesofAmerica
1378,UnitedStatesofAmerica
1379,UnitedStatesofAmerica
1380,UnitedStatesofAmerica
1381,UnitedStatesofAmerica
1382,Australia UnitedStatesofAmerica
1383,UnitedStatesofAmerica
1384,UnitedStatesofAmerica
1385,UnitedStatesofAmerica
1386,France Germany UnitedKingdom UnitedStatesofAmerica
1387,UnitedStatesofAmerica
1388,UnitedStatesofAmerica
1389,UnitedStatesofAmerica Canada
1390,UnitedStatesofAmerica
1391,UnitedStatesofAmerica
1392,UnitedStatesofAmerica
1393,UnitedStatesofAmerica
1394,UnitedStatesofAmerica
1395,Japan UnitedStatesofAmerica
1396,France Germany Poland UnitedKingdom
1397,UnitedStatesofAmerica
1398,UnitedStatesofAmerica
1399,UnitedStatesofAmerica
1400,UnitedStatesofAmerica
1401,Romania UnitedStatesofAmerica
1402,Australia UnitedStatesofAmerica
1403,UnitedStatesofAmerica
1404,UnitedStatesofAmerica
1405,UnitedStatesofAmerica
1406,UnitedStatesofAmerica
1407,UnitedStatesofAmerica
1408,UnitedStatesofAmerica
1409,UnitedStatesofAmerica
1410,UnitedStatesofAmerica
1411,UnitedStatesofAmerica UnitedKingdom France
1412,UnitedStatesofAmerica
1413,Canada UnitedStatesofAmerica
1414,Ireland UnitedKingdom
1415,Australia UnitedStatesofAmerica UnitedKingdom
1416,UnitedStatesofAmerica
1417,UnitedKingdom
1418,Germany Japan UnitedKingdom UnitedStatesofAmerica
1419,UnitedStatesofAmerica
1420,UnitedStatesofAmerica
1421,Germany UnitedStatesofAmerica
1422,UnitedStatesofAmerica
1423,UnitedStatesofAmerica
1424,UnitedKingdom UnitedStatesofAmerica
1425,UnitedStatesofAmerica
1426,France UnitedKingdom
1427,UnitedArabEmirates UnitedStatesofAmerica
1428,Singapore Australia
1429,Spain UnitedKingdom Italy UnitedStatesofAmerica
1430,UnitedStatesofAmerica
1431,UnitedStatesofAmerica
1432,UnitedStatesofAmerica
1433,UnitedStatesofAmerica
1434,UnitedStatesofAmerica
1435,UnitedKingdom UnitedStatesofAmerica
1436,Canada France UnitedStatesofAmerica
1437,UnitedStatesofAmerica
1438,Aruba HongKong UnitedStatesofAmerica
1439,UnitedStatesofAmerica
1440,Germany UnitedStatesofAmerica
1441,Canada Germany UnitedStatesofAmerica
1442,UnitedStatesofAmerica
1443,UnitedStatesofAmerica
1444,China UnitedStatesofAmerica
1445,UnitedStatesofAmerica
1446,UnitedStatesofAmerica
1447,UnitedStatesofAmerica
1448,Germany Denmark Sweden
1449,Switzerland France
1450,LibyanArabJamahiriya UnitedStatesofAmerica
1451,France
1452,UnitedStatesofAmerica
1453,Mexico Spain
1454,UnitedStatesofAmerica France Mexico
1455,UnitedStatesofAmerica
1456,UnitedStatesofAmerica
1457,UnitedStatesofAmerica
1458,UnitedStatesofAmerica
1459,UnitedStatesofAmerica
1460,UnitedStatesofAmerica
1461,UnitedStatesofAmerica
1462,UnitedStatesofAmerica
1463,UnitedStatesofAmerica
1464,UnitedStatesofAmerica
1465,UnitedStatesofAmerica
1466,UnitedKingdom SouthAfrica
1467,UnitedStatesofAmerica
1468,UnitedStatesofAmerica
1469,Canada UnitedStatesofAmerica
1470,Germany UnitedStatesofAmerica
1471,Belgium UnitedStatesofAmerica
1472,UnitedStatesofAmerica Russia
1473,UnitedStatesofAmerica
1474,UnitedStatesofAmerica
1475,UnitedStatesofAmerica
1476,Germany UnitedStatesofAmerica
1477,UnitedKingdom UnitedStatesofAmerica
1478,UnitedStatesofAmerica
1479,Germany UnitedStatesofAmerica
1480,UnitedStatesofAmerica
1481,Germany UnitedKingdom UnitedStatesofAmerica SouthAfrica
1482,Germany UnitedStatesofAmerica
1483,UnitedStatesofAmerica
1484,UnitedStatesofAmerica Germany
1485,UnitedStatesofAmerica
1486,Canada UnitedStatesofAmerica
1487,UnitedStatesofAmerica
1488,UnitedStatesofAmerica
1489,UnitedStatesofAmerica
1490,UnitedStatesofAmerica
1491,UnitedStatesofAmerica
1492,UnitedStatesofAmerica
1493,UnitedStatesofAmerica
1494,UnitedStatesofAmerica
1495,UnitedStatesofAmerica
1496,Canada UnitedStatesofAmerica
1497,UnitedStatesofAmerica
1498,Germany UnitedStatesofAmerica
1499,Canada France
1500,UnitedStatesofAmerica
1501,
1502,UnitedStatesofAmerica Canada Germany
1503,France UnitedStatesofAmerica
1504,Japan UnitedStatesofAmerica
1505,Germany Ireland UnitedKingdom
1506,UnitedStatesofAmerica
1507,Canada UnitedStatesofAmerica
1508,UnitedStatesofAmerica
1509,UnitedStatesofAmerica
1510,UnitedStatesofAmerica
1511,UnitedStatesofAmerica
1512,UnitedStatesofAmerica
1513,Germany UnitedKingdom UnitedStatesofAmerica Luxembourg
1514,UnitedStatesofAmerica
1515,UnitedStatesofAmerica
1516,UnitedStatesofAmerica
1517,UnitedKingdom UnitedStatesofAmerica
1518,UnitedStatesofAmerica
1519,UnitedStatesofAmerica
1520,France UnitedKingdom UnitedStatesofAmerica
1521,UnitedKingdom UnitedStatesofAmerica Germany
1522,Australia UnitedStatesofAmerica
1523,UnitedStatesofAmerica
1524,UnitedStatesofAmerica
1525,UnitedStatesofAmerica
1526,UnitedStatesofAmerica
1527,UnitedStatesofAmerica
1528,UnitedStatesofAmerica
1529,UnitedStatesofAmerica
1530,UnitedStatesofAmerica
1531,UnitedStatesofAmerica
1532,UnitedStatesofAmerica
1533,UnitedStatesofAmerica
1534,UnitedStatesofAmerica
1535,UnitedStatesofAmerica
1536,UnitedStatesofAmerica
1537,Germany UnitedStatesofAmerica
1538,UnitedStatesofAmerica
1539,UnitedStatesofAmerica
1540,UnitedStatesofAmerica
1541,UnitedStatesofAmerica
1542,UnitedStatesofAmerica
1543,UnitedStatesofAmerica NewZealand Canada SouthAfrica
1544,UnitedStatesofAmerica
1545,UnitedStatesofAmerica
1546,UnitedStatesofAmerica
1547,Australia UnitedStatesofAmerica
1548,UnitedStatesofAmerica
1549,UnitedStatesofAmerica
1550,UnitedStatesofAmerica
1551,Germany UnitedStatesofAmerica
1552,UnitedStatesofAmerica
1553,UnitedStatesofAmerica
1554,UnitedStatesofAmerica
1555,UnitedStatesofAmerica
1556,Canada
1557,China UnitedStatesofAmerica
1558,UnitedStatesofAmerica
1559,Australia UnitedStatesofAmerica
1560,UnitedStatesofAmerica
1561,UnitedStatesofAmerica
1562,UnitedStatesofAmerica
1563,UnitedStatesofAmerica
1564,UnitedStatesofAmerica
1565,UnitedStatesofAmerica
1566,UnitedStatesofAmerica
1567,UnitedStatesofAmerica
1568,Spain UnitedStatesofAmerica
1569,Canada SouthKorea
1570,UnitedStatesofAmerica
1571,UnitedStatesofAmerica
1572,UnitedStatesofAmerica
1573,UnitedStatesofAmerica
1574,UnitedStatesofAmerica
1575,France Iceland UnitedKingdom UnitedStatesofAmerica
1576,UnitedKingdom UnitedStatesofAmerica
1577,UnitedStatesofAmerica
1578,UnitedStatesofAmerica SouthAfrica
1579,UnitedKingdom France UnitedStatesofAmerica
1580,UnitedStatesofAmerica
1581,UnitedStatesofAmerica
1582,UnitedStatesofAmerica
1583,UnitedStatesofAmerica
1584,UnitedStatesofAmerica
1585,UnitedStatesofAmerica
1586,UnitedStatesofAmerica
1587,UnitedStatesofAmerica
1588,UnitedStatesofAmerica
1589,UnitedStatesofAmerica
1590,UnitedStatesofAmerica
1591,Germany UnitedStatesofAmerica
1592,UnitedStatesofAmerica
1593,NewZealand UnitedStatesofAmerica
1594,UnitedStatesofAmerica
1595,UnitedStatesofAmerica
1596,UnitedStatesofAmerica
1597,UnitedStatesofAmerica
1598,UnitedStatesofAmerica
1599,Germany UnitedKingdom UnitedStatesofAmerica
1600,UnitedStatesofAmerica
1601,UnitedStatesofAmerica
1602,UnitedStatesofAmerica
1603,UnitedStatesofAmerica
1604,UnitedStatesofAmerica
1605,UnitedStatesofAmerica
1606,UnitedStatesofAmerica
1607,UnitedStatesofAmerica
1608,CzechRepublic UnitedStatesofAmerica
1609,UnitedStatesofAmerica
1610,UnitedStatesofAmerica
1611,UnitedStatesofAmerica
1612,UnitedStatesofAmerica
1613,UnitedStatesofAmerica
1614,UnitedStatesofAmerica
1615,UnitedStatesofAmerica
1616,UnitedStatesofAmerica
1617,UnitedStatesofAmerica Australia
1618,UnitedStatesofAmerica
1619,UnitedStatesofAmerica
1620,UnitedStatesofAmerica
1621,UnitedStatesofAmerica France
1622,UnitedStatesofAmerica
1623,UnitedStatesofAmerica France
1624,UnitedStatesofAmerica
1625,UnitedStatesofAmerica
1626,Australia UnitedStatesofAmerica
1627,UnitedStatesofAmerica
1628,UnitedStatesofAmerica
1629,UnitedStatesofAmerica
1630,UnitedStatesofAmerica
1631,Canada France UnitedStatesofAmerica
1632,UnitedStatesofAmerica
1633,UnitedStatesofAmerica Germany
1634,Germany UnitedStatesofAmerica
1635,UnitedStatesofAmerica
1636,UnitedStatesofAmerica
1637,UnitedKingdom UnitedStatesofAmerica
1638,UnitedStatesofAmerica
1639,Luxembourg UnitedStatesofAmerica
1640,UnitedStatesofAmerica
1641,UnitedStatesofAmerica
1642,UnitedStatesofAmerica
1643,Canada UnitedStatesofAmerica
1644,UnitedKingdom UnitedStatesofAmerica
