,cast,genres,keywords,production_companies,production_countries,urls,titles
1254,AudreyTautou MathieuKassovitz Rufus JamelDebbouze,Comedy Romance,paris lovetriangle ghosttrain sex-shop shyness montmartre daughter gardengnome journeyroundtheworld photography,France3Cinéma ClaudieOssardProductions MMCIndependent Canal+ TapiocaFilms SoficaSofinergie5 VictoiresProductions FilmstiftungNordrhein-Westfalen UnionGénéraleCinématographique(UGC),France Germany,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.knzj21yj3gPvKnoOmX_yJAHaEK%26pid%3D15.1&f=1,le fabuleux destin d'amélie poulain
1255,AshleyOlsen Mary-KateOlsen EugeneLevy AndyRichter,Comedy,twinsister musicvideo geek vacation university teencomedy womandirector,DiNoviPictures DualstarProductions WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.obIV0Q94irhDJIVL6Wi-ugAAAA%26pid%3D15.1&f=1,new york minute
1256,JudeLaw MarisaTomei OmarEpps JaneKrakowski,Comedy,newyork cheating flirt lover olderwomanseducesyoungerguy playboy,ParamountPictures PatalexProductions,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.VH0GwsndRikGiZeMopzz7wHaLH%26pid%3D15.1&f=1,alfie
1257,DrewBarrymore JohnKrasinski KristenBell VinessaShaw,Adventure Drama Romance,whale alaska aftercreditsstinger duringcreditsstinger greenpeace animalprotection,UniversalPictures AnonymousContent WorkingTitleFilms,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.bdWFW8e8sACSaPfr1QMofQAAAA%26pid%3D15.1&f=1,big miracle
1258,MichellePfeiffer TreatWilliams WhoopiGoldberg JonathanJackson,Drama Mystery,kidnapping boy reunion,ColumbiaPicturesCorporation MandalayEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.T6Llqy6Zc9N3o_bcP3q5BwAAAA%26pid%3D15.1&f=1,the deep end of the ocean
1259,StephenDorff NataschaMcElhone StephenRea UdoKier,Horror Thriller,raceagainsttime psychopath homepage cop doctor spirit killer voyeurism,MilagroFilms FranchisePictures DoRoFictionFilm SignaturePictures ApolloMediaDistribution CarouselPictureCompany The LuxembourgFilmFund FilmyardUnderwaterdeco,Germany Luxembourg UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.PVbBzYO2IPUkUfK8dRkPFwHaK7%26pid%3D15.1&f=1,feardotcom
1260,JohnC.Reilly JoshHutcherson ChrisMassoglia PatrickFugit,Adventure Fantasy Action Thriller,vampire spider wolfman stew bestfriend antidote basedonyoungadultnovel,UniversalPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.9I0SYFxwBTVgY7MhxPsyJQAAAA%26pid%3D15.1&f=1,cirque du freak: the vampire's assistant
1261,BenStiller DrewBarrymore EileenEssell AmberValletta,Action Comedy Thriller,,MiramaxFilms FlowerFilms,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.nKgAeX9NHyS5hMLF3Zr_ywHaKk%26pid%3D15.1&f=1,duplex
1262,SamuelL.Jackson BernieMac SharonLeal AdamHerschman,Comedy Music,duringcreditsstinger,DimensionFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Sl0j5hPtNSdf6FBJksiVdgHaLH%26pid%3D15.1&f=1,soul men
1263,M.EmmetWalsh RichardJordan DavidSelby AnneArcher,Action Drama Thriller,,ITCEntertainment,UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Qhv8EYjdgBcrL0bssywDYAHaLq%26pid%3D15.1&f=1,raise the titanic
1264,Jean-ClaudeVanDamme KianaTom BillGoldberg MichaelJaiWhite,Action ScienceFiction,supercomputer computerprogram destiny timebomb,TriStarPictures Baumgarten-ProphetEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.11pfWoY-GcoXNx9n4M07CwAAAA%26pid%3D15.1&f=1,universal soldier: the return
1265,BenFoster DennisQuaid CamGigandet AntjeTraue,Action Horror Mystery ScienceFiction Thriller,dystopia spaceship survival mission,ImpactPictures ConstantinFilmProduktion,Germany UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.r0y1glWg-9rqIcbdDexGWQAAAA%26pid%3D15.1&f=1,pandorum
1266,GarySinise MadeleineStowe MekhiPhifer VincentD'Onofrio,Action ScienceFiction Thriller,android alien,DimensionFilms MartyKatzProductions MojoFilms PKPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.z_19Kjb5iOUP3QAJbyYLegAAAA%26pid%3D15.1&f=1,impostor
1267,DevonSawa BridgetteWilson RufusSewell RupertGraves,Action Adventure Drama Thriller,ski,ParamountPictures ExtremeProductions ApolloMediaDistribution,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.eICu9S6N9wtZP-xKbaMJywAAAA%26pid%3D15.1&f=1,extreme ops
1268,JeanReno ChristinaApplegate ChristianClavier MattRoss,Comedy Fantasy ScienceFiction,timetravel remake alternatehistory dragon remakeoffrenchfilm alternatetimeline flatulence,Gaumont HollywoodPictures BruinGripServices,France UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP._67HHe7CE03MsB8eQovJYwHaK9%26pid%3D15.1&f=1,just visiting
1269,CillianMurphy RoseByrne ChrisEvans MichelleYeoh,ScienceFiction Thriller,savingtheworld bomb sun spacemarine sunlight solarenergy spacemission earth expiration,DNAFilms IngeniousFilmPartners UKFilmCouncil MovingPictureCompany(MPC),UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.UuZdJynMAQhgKrOnIPnu1gAAAA%26pid%3D15.1&f=1,sunshine
1270,EddieMurphy AllisonJanney CliffCurtis ClarkDuke,Drama Comedy,liar literaryagent,ParamountPictures DreamWorksSKG SaturnFilms VarsityPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.s7de2JO8gcT02xKJVYpd3AAAAA%26pid%3D15.1&f=1,a thousand words
1271,FreddiePrinzeJr. JenniferLoveHewitt ValKilmer AnneBancroft,Adventure Fantasy Animation Comedy ScienceFiction Family,,FathomStudios ElectricEyeEntertainmentCorporation,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.CxI1VFlXOsPYizydwYxo_gAAAA%26pid%3D15.1&f=1,delgo
1272,SeanPenn JasmineTrinca JavierBardem RayWinstone,Action Drama Crime,assassin hitman,StudioCanal SilverPictures TF1FilmsProduction Canal+ InstitutodelaCinematografíaydelasArtesAudiovisuales(ICAA) NostromoPictures AntonCapitalEntertainment(ACE) InstitutCatalàdelesEmpresesCulturals(ICEC) ProneGunman AmazonPrimeInstantVideo ProneGunmanA.I.E.,France Spain UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Wllif-IRNP3XuZerywctugAAAA%26pid%3D15.1&f=1,the gunman
1273,AlexPettyfer SarahBolger EwanMcGregor RobbieColtrane,Adventure Action Family,england secretintelligenceservice childhero wretch teenspy basedonyoungadultnovel,IsleofManFilm WeinsteinCompany The SamuelsonProductions,Germany UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.pTLQA83bcvmhl_Fq9kRPIQAAAA%26pid%3D15.1&f=1,stormbreaker
1274,ShiaLaBeouf SarahRoemer Carrie-AnneMoss DavidMorse,Thriller Drama Mystery,kidnapping youngpeople,ParamountPictures DreamWorksSKG ColdSpringPictures MontecitoPictureCompany The,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.yR95c3_WM8mFLxZCoHwzsgAAAA%26pid%3D15.1&f=1,disturbia
1275,JonnyLeeMiller AngelinaJolie JesseBradford MatthewLillard,Action Crime Thriller Drama,femalenudity hacker nudity computervirus virtualreality computer sexualfantasy prank internet cyberpunk teenager newyorkcity secretservice computerhacker dreamsequence,UnitedArtists Suftley,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.w--D-4kHtZMnVGmJH0MSwwHaLH%26pid%3D15.1&f=1,hackers
1276,RichardGere TerrenceHoward JamesBrolin DianeKruger,Action Adventure Thriller Drama,civilwar spy hotel journalist journalism warcrimes hiddencamera warvictim warcorrespondent war balkanwar serbia,IntermediaFilms,BosniaandHerzegovina UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.X5zmv8cX2iwZUdURahDuNAHaOG%26pid%3D15.1&f=1,the hunting party
1277,TimRobbins JenniferJasonLeigh PaulNewman CharlesDurning,Comedy Drama,suicide newyork corruption journalist inventor undercover toy plan boss investigation company industry party money board stocks,PolyGramFilmedEntertainment SilverPictures WarnerBros. WorkingTitleFilms PolyGramFilmproduktion,Germany UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.hoCFXz3IOmZ6Y5m3JJLrlgAAAA%26pid%3D15.1&f=1,the hudsucker proxy
1278,KunoBecker JayHernandez JasonScottLee DoskhanZholzhaksynov,Action History War,,WildBunch Ibrus KazakhfilmStudios TrueStoryProduction,France Kazakhstan,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.gOLBfELhb82lxWoMB9UFYwHaKi%26pid%3D15.1&f=1,nomad
1279,ChrisEvans SongKang-ho EdHarris JohnHurt,Action ScienceFiction Drama,fathersonrelationship childlabour brothel winter allegory bridge post-apocalyptic dystopia hijackingoftrain basedoncomicbook dam rifle pregnant train violence basedongraphicnovel guilt revolt duplicity tunnel socialclass populationcontrol perpetualwinter cityruin,CJEntertainment OpusPictures StillkingFilms SnowPiercer MohoFilm,SouthKorea France CzechRepublic UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.R4hMnTM1_REr6j22B7tUbwHaKf%26pid%3D15.1&f=1,snowpiercer
1283,Prabhas RanaDaggubati TamannaBhatia AnushkaShetty,Action Adventure War History,kingdom war bollywood medievalindia ancientindia,ArkaMediaWorks,India,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.G2mrVH4tXC-GE6gvTsxQ3AHaHa%26pid%3D15.1&f=1,baahubali: the beginning
1284,EricBana RachelMcAdams MichelleNolden ArlissHoward,Drama Romance Fantasy,chicago sex basedonnovel nudity diary future time timetravel marriage love romance travel tragiclove relationship timetraveler complication,NewLineCinema PlanBEntertainment NickWechslerProductions InternationaleScarenaFilmproduktionsgesellschaft2,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.BgVi8_XED8xDbYkapqgD_AHaEx%26pid%3D15.1&f=1,the time traveler's wife
1285,DianeKeaton MandyMoore GabrielMacht TomEverettScott,Comedy,mother guitar sistersisterrelationship profession newlove architect motherrole lonelyheartsad men clothing single motherdaughterrelationship losangeles fashion singlefather,UniversalPictures GoldCircleFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.5ZfnDNesu4Hl__WigL2TogHaKq%26pid%3D15.1&f=1,because i said so
1286,CharlieTahan CatherineO'Hara MartinShort MartinLandau,Animation Comedy Family,shyness stopmotion blackandwhite retro dog animaldeath animallover,TimBurtonProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.hnGKT1BDxs-hZRr-GMVabgHaLH%26pid%3D15.1&f=1,frankenweenie
1287,NathanFillion GinaTorres AlanTudyk MorenaBaccarin,ScienceFiction Action Adventure Thriller,martialarts telepathy dystopia spaceship fugitive basedontvseries planet throatslitting cannibal reavers operative exsoldier firefly,UniversalPictures BarryMendelProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Y9ud7gy7eTSoLbDr6Cu4OQHaK-%26pid%3D15.1&f=1,serenity
1288,MegRyan TonyShalhoub JoeCortese KerryWashington,Romance Drama,biography sport,ParamountPictures Cort/MaddenProductions ATRFilms MMPErsteFilmproduktions MoviemakersProductions(MMP),Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Q06woTEQXea03MsLU2DeqwHaK3%26pid%3D15.1&f=1,against the ropes
1289,ChristopherReeve RichardPryor JackieCooper MarcMcClure,Comedy Action Adventure Fantasy ScienceFiction,savingtheworld dccomics supercomputer identitycrisis lossofpowers sequel superhero basedoncomicbook hacking superpowers superhumanstrength,WarnerBros. DovemeadFilms CantharusProductions,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.JksbI0Yo_y3hvL-SSmygEwHaLU%26pid%3D15.1&f=1,superman iii
1290,RobertDeNiro SylvesterStallone AlanArkin JonBernthal,Comedy,fathersonrelationship sport rivalry elderly elderlyman,GerberPictures WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.gqqgkjrJ2erxof65aKBnpQHaK-%26pid%3D15.1&f=1,grudge match
1291,ChangChen HuJun TonyLeungChiu-Wai TakeshiKaneshiro,Adventure Drama Action,flamingarrow chinesehistory strategy carrierpigeon spearthrowing walloffire whitedove casualtyofwar arrowinback chinesetradition chinesepainting brokenarrow,MetropolitanFilmexport LionRockProductions Showbox,China,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ieyv_XK-vqtIChLzZndYRgHaGe%26pid%3D15.1&f=1,chi bi
1292,ReeseWitherspoon JoshLucas PatrickDempsey CandiceBergen,Comedy Romance,newyork marriageproposal alabama careerwoman fashiondesigner,TouchstonePictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.XXGcAK0dT7SA9u3cir-ivgHaKj%26pid%3D15.1&f=1,sweet home alabama
1293,KatherineHeigl GerardButler EricWinter BreeTurner,Comedy Romance,romanticcomedy romance tvmorningshow relationship oppositesattract,LakeshoreEntertainment RelativityMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.cfVdzfcK8FcsRoLWvvbIrwHaK_%26pid%3D15.1&f=1,the ugly truth
1294,SteveMartin DanAykroyd PhilHartman GlenneHeadly,Comedy Family,gulfwar u.s.army basedontvseries militaryspoof,ImagineEntertainment UniversalPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.i2t9IC_t6ORLCacQCLntDAAAAA%26pid%3D15.1&f=1,sgt. bilko
1295,AntonioBanderas CarlaGugino AlexaPenaVega DarylSabara,Action Adventure Family,spy experiment island secretorganization wretch weapon rivalry scientist,DimensionFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.QVlq31aiP1-MNSEfo1xKxQHaK6%26pid%3D15.1&f=1,spy kids 2: the island of lost dreams
1296,PatrickStewart JonathanFrakes BrentSpiner LeVarBurton,ScienceFiction Action Adventure Thriller,basedontvseries death explodingplanet mountaincabin solarsystem,ParamountPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.gyzKc9LepQcfiGmPgsn28wHaLB%26pid%3D15.1&f=1,star trek: generations
1297,RobertPattinson ReeseWitherspoon ChristophWaltz TatumEtheridge,Drama Romance,clown elephanttrainer veterinary,IngeniousMedia DuneEntertainment Fox2000Pictures FlashpointEntertainment BigScreenProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.mHfjRopdq0wMhh13WG9-ngHaLH%26pid%3D15.1&f=1,water for elephants
1298,Carrie-AnneMoss LucasGrabeel BlytheAuffarth CharlieSchlatter,Adventure Family Fantasy Animation,,MiliPictures,China France UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.ieLO-AH2xgKl3vY_CaTPuQHaKZ%26pid%3D15.1&f=1,dragon nest: warriors' dawn
1299,DenzelWashington VicellousReonShannon DeborahKaraUnger LievSchreiber,Drama,prison boxer boxingmatch boxingschool biography,UniversalPictures BeaconCommunications AzoffEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.HOov3p2V6lqe0Wi-MNX2EwAAAA%26pid%3D15.1&f=1,the hurricane
1300,JenniferLopez BillyCampbell JulietteLewis DanFutterman,Drama Thriller,waitress wifehusbandrelationship violenthusband self-defense violenceagainstwomen suspense marryrich abusivehusband,WinklerFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.bsmB5OFWc4jQlqyRPS2i5gHaOG%26pid%3D15.1&f=1,enough
1301,SigourneyWeaver JenniferLoveHewitt GeneHackman RayLiotta,Crime Comedy Romance,consandscams,DavisEntertainment Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.L6TsfRNOcby9L2_WqADolQHaMB%26pid%3D15.1&f=1,heartbreakers
1302,KevinJames RainiRodriguez EduardoVerástegui DaniellaAlonso,Action Comedy Family,shoppingmall lasvegas securityguard,ColumbiaPictures HappyMadisonProductions SonyPicturesReleasing SonyPicturesEntertainment(SPE) LStarCapital HeyEddie,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.epaOTSdI_LTrRl8rjV2MaAHaLH%26pid%3D15.1&f=1,paul blart: mall cop 2
1303,JenniferLopez JimCaviezel JeremySisto TerrenceHoward,Drama Romance Thriller,carcrash policeofficer,EpsilonMotionPictures MorganCreekProductions TheCantonCompany AETwoFilmProductions AngelEyesProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.CXcqjAJiI06cLxSmZar0tgHaK-%26pid%3D15.1&f=1,angel eyes
1304,TimAllen JulieBowen KellyLynch GregGermann,Comedy,profession karate daughter beförderung ex-wife parking slap,RegencyEnterprises Fox2000Pictures KopelsonEntertainment EpsilonMotionPictures AtchityEntertainmentInternational(AEI),UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.lecJgpjr01tEv28MaBHjcQHaLH%26pid%3D15.1&f=1,joe somebody
1305,JohnnyDepp FrankLangella LenaOlin EmmanuelleSeigner,Horror Mystery Thriller,newyork obsession passionforcollection southernfrance mephisto antiquary book picturepuzzle castle satanism millionaire,BacFilms KinoVision OrlyFilms R.P.Productions VíaDigital ArtisanEntertainment OrigenProduccionesCinematograficasS.A. TF1FilmsProduction Canal+ Canal+España,France Portugal Spain,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.E18wRzEWekRzw9TMlCUJvgHaLH%26pid%3D15.1&f=1,the ninth gate
1306,HughGrant GeneHackman SarahJessicaParker DavidMorse,Drama Thriller,newyork surgeon british suspense morgue hospital medical doctor medicalresearch emergencyroom missingbody,ColumbiaPictures CastleRockEntertainment SimianFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.BX-wOztI3wi7OVJiusNChQHaKv%26pid%3D15.1&f=1,extreme measures
1307,MarkWahlberg JenniferAniston JasonFlemyng DominicWest,Music Drama Comedy,rockstar success discontentednessanddispleasedness heavymetal relationshipproblems,BelAirEntertainment WarnerBros. RobertLawrenceProductions MetalProductionsInc. MaysvillePictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.siBjKysTkCFY961DqfWxTwHaJs%26pid%3D15.1&f=1,rock star
1308,GaboureySidibe Mo'Nique PaulaPatton MariahCarey,Drama,aids illiteracy song unwillinglypregnant balloon school crying motorcycle,SmokewoodEntertainmentGroup,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.NRer9VJNJi750glUr1uwyAHaKl%26pid%3D15.1&f=1,precious
1309,JeffBridges CarolineGoodall JohnSavage ScottWolf,Action Drama,sailingtrip diary sailing survival comingofage teenageboy discipline squall sail shipcaptain caribbean malebonding seasickness stormatsea 1960s,HollywoodPictures LargoEntertainment ScottFreeProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.qnwADs-hnUGD6ZYNH54ggAHaLB%26pid%3D15.1&f=1,white squall
1310,KurtRussell KeithDavid WilfordBrimley DonaldMoffat,Horror Mystery ScienceFiction,ice spacemarine paranoia snowstorm norwegian researchstation remake alien antarctica shapeshiftingalien sleddogs,UniversalPictures Turman-FosterCompany,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.LcEmCWzj7clfRbyjDLhJvgHaKj%26pid%3D15.1&f=1,the thing
1311,VinDiesel KarlUrban KateeSackhoff JordiMollà,ScienceFiction Action Thriller,dystopia revenge alien planet imax,OneRaceProductions RadarPictures RiddickCanadaProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.9-FR5uXBiojObmefzhmylgHaLH%26pid%3D15.1&f=1,riddick
1312,DennisQuaid DannyGlover R.LeeErmey ClaudiaStedelin,Action Adventure Mystery Thriller,lossofson serialkiller train,ParamountPictures PacificWestern RysherEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.RbBFu0QUvv56Bwj_GMR2hAHaK-%26pid%3D15.1&f=1,switchback
1313,JamesVanDerBeek RachaelLeighCook AshtonKutcher DylanMcDermott,Action Western,underwear tiger racialsegregation,DimensionFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.2UVi3UYxW42l6aK95gO3wQAAAA%26pid%3D15.1&f=1,texas rangers
1314,SaoirseRonan HarryTreadaway MaryKayPlace BillMurray,Adventure Family Fantasy,undergroundworld mayor adventure post-apocalyptic dystopia puzzle box pipeworks,Playtone WaldenMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.VwnBMZdTgCqEUg7hVOhoUwAAAA%26pid%3D15.1&f=1,city of ember
1315,JoaquinPhoenix PhilipSeymourHoffman AmyAdams LauraDern,Drama,posttraumaticstressdisorder sexualobsession postwarperiod drifter alcoholic cultleader scientology religiouscult charismaticleader righthandman,GhoulardiFilmCompany TheWeinsteinCompany AnnapurnaPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.2xViytd3FdiM1HOfkQ5TTAHaKl%26pid%3D15.1&f=1,the master
1316,RyanCartwright HaydenChristensen MischaBarton JayVilliers,Adventure Action Comedy Romance,,IngeniousFilmPartners DinodeLaurentiisCinematografica DinoDeLaurentiisCompany ZephyrFilms RedLionSarl CarthagoFilmsS.a.r.l.,Luxembourg Italy France UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.CGQ2Pa59EZyBRR5lxaJF0QAAAA%26pid%3D15.1&f=1,virgin territory
1317,RobBrown DennisQuaid DarrinHenson CharlesS.Dutton,Drama,americanfootball college biography sport syracuseuniversity,DavisEntertainment RelativityMedia IDEAFilmproduktions,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.SUL5b5AgfLgNJNZBq3sqggHaLH%26pid%3D15.1&f=1,the express
1318,ChloëGraceMoretz NickRobinson AlexRoe MaikaMonroe,Adventure ScienceFiction,basedonnovel dystopia alien alieninvasion humansubjugation environmentaldisaster basedonyoungadultnovel,ColumbiaPictures GKFilms MaterialPictures LStarCapital,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.QS6-HTBgBqPfw0YC1kVxOAHaEo%26pid%3D15.1&f=1,the 5th wave
1319,MichaelB.Jordan SylvesterStallone GrahamMcTavish TessaThompson,Drama,underdog sport spinoff undergroundfighting motivationalspeaker boxing,NewLineCinema WarnerBros. Metro-Goldwyn-Mayer(MGM) ChartoffWinklerProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.w5ddDrLPgJZVngeq2a9ocAHaK-%26pid%3D15.1&f=1,creed
