,production_companies
872,ParamountPictures
873,InfinitumNihil HeadGearFilms CrossCreekPictures FreeStatePictures RatPac-DuneEntertainment LeGrisbiProductions VendianEntertainment
874,DreamWorksSKG AmblinEntertainment MalpasoProductions WarnerBros.
875,FilmDepartment The EvilTwins WarpFilms
876,BigTalkProductions YerDeadProductions WeinsteinCompany The DimensionFilms TroublemakerStudios DartmouthInternational Eyetronics RodriguezInternationalPictures
877,HarpoFilms TouchstonePictures
878,VillageRoadshowPictures LonelyFilmProductionsGmbH&Co.KG. DeuceThreeProductions DiNoviPictures WarnerBros.
879,KempCompany SplendidPictures Parkes/MacDonaldProductions
880,ColumbiaPictures AnnapurnaPictures FirstLightProduction
881,UniversalPictures MosaicMediaGroup WildWestPictureShowProductions
882,UniversalPictures InternationaleFilmproduktionRichter Playtone RelativityMedia Littlestar
883,NewLineCinema KarzEntertainment RiceFilms
884,VillageRoadshowPictures GerberPictures WarnerBros. WVFilmsIII
885,Fox2000Pictures PhoenixPictures Geisler-Roberdeau
886,UniversalPictures OriginalFilm RelativityMedia BigKidPictures
887,MutualFilmCompany
888,UniversalPictures LégendeEntreprises SyalisDA DeFina-Cappa
889,Apipoulaï M6Films Canal+ TPSStar GriveProductions EuropaCorp M6 W9
890,Metro-Goldwyn-Mayer(MGM)
891,TwentiethCenturyFoxFilmCorporation ConundrumEntertainment
892,ParamountPictures NickelodeonMovies ParamountAnimation
893,RegencyEnterprises NewRegencyPictures CorduroyFilms AllLitUpProductions
894,SummitEntertainment MaverickFilms ImprintEntertainment SunsweptEntertainment TempleHillEntertainment
895,DreamWorksSKG PacificDataImages(PDI) DreamWorksAnimation
896,UniversalPictures MediaRightsCapital GambitPictures ElectricShepherdProductions
897,WarnerBros. MorganCreekProductions
898,GracieFilms TriStarPictures
899,UniversalPictures MediaRightsCapital FuzzyDoorProductions
900,GracieFilms TriStarPictures
901,UniversalPictures Bungalow78Productions BlueWolf Farrell/Minoff
902,ParamountPictures GarySanchezProductions ApatowProductions
903,NewLineCinema ColumbiaPicturesCorporation OutoftheBlue...Entertainment HappyMadisonProductions
904,ParamountPictures AmblinEntertainment BadRobot K/OCameraToys
905,JerseyFilms
906,ParamountPictures
907,ColumbiaPictures OriginalFilm MediaRightsCapital Metro-Goldwyn-Mayer(MGM) CannellStudios LStarCapital 33andOutProductions JHFProductions
908,GeffenPictures
909,VillageRoadshowPictures TheZanuckCompany Heydayfilms WarnerBros.
910,NewLineCinema UniversalPictures BluegrassFilms Principato-YoungEntertainment
911,ColumbiaPictures 1492Pictures
912,ParamountPictures GarySanchezProductions RedGranitePictures
913,WaltDisneyPictures MarcPlattProductions LucamarProductions
914,ImagineEntertainment UniversalPictures 40Acres&AMuleFilmworks
915,ParamountPictures IconEntertainmentInternational
916,ParamountPictures Kennedy/MarshallCompany The
917,TwentiethCenturyFoxFilmCorporation DuneEntertainment VinylFilms LBIEntertainment
918,SummitEntertainment MysteryClockCinema EscapeArtists GoldcrestPictures Kaplan/PerroneEntertainment WintergreenProductions
919,ParamountPictures ScottRudinProductions FailuretoLaunchProductions
920,DreamWorks BenderSpink Parkes+MacDonaldImageNation
921,WarnerBros.
922,TwentiethCenturyFoxFilmCorporation DavisEntertainment TwentiethCenturyFoxAnimation
923,ColumbiaPictures 1492Pictures RevolutionStudios
924,ColumbiaPictures ScottRudinProductions
925,KopelsonEntertainment PunchProductions WarnerBros. ArnoldKopelsonProductions
926,StudioCanal SilverPictures TF1FilmsProduction Canal+ AntonCapitalEntertainment(ACE) TF1 LOVEFiLMInternational
927,WaltDisneyPictures GunnFilms
928,StudioBabelsberg DCComics VirtualStudios AnarchosProductions SilverPictures WarnerBros. MedienboardBerlin-Brandenburg FünfteBabelsbergFilm
929,SpyglassEntertainment TouchstonePictures Birnbaum/BarberProductions JackieChanFilmsLimited AllKnightProductions
930,ImagineEntertainment UniversalPictures UniversalAnimationStudios
931,WaltDisneyPictures RobertSimondsProductions
932,VillageRoadshowPictures NPVEntertainment RegencyEnterprises KopelsonEntertainment EpsilonMotionPictures NewRegencyPictures FurthurFilms
933,ParamountPictures StudioBabelsberg MTVFilms GarySanchezProductions Metro-Goldwyn-Mayer(MGM) DeutscheFilmförderfonds(DFFF)
934,RegencyEnterprises Fox2000Pictures EpsilonMotionPictures UnfaithfulFilmproduktionGmbH&Co.KG
935,DreamWorksSKG RelianceBIGEntertainment BayFilms TouchstonePictures
936,SectionEight WarnerBros. ParticipantMedia FilmWorks 4M MIDFoundation
937,ParamountPictures 3ArtsEntertainment BayFilms LatinaPictures DuneFilms
938,TwentiethCenturyFoxFilmCorporation ReelFXCreativeStudios TwentiethCenturyFoxAnimation Chatrone
939,VillageRoadshowPictures ThunderRoadPictures WarnerBros. BeaconPictures JonShestackProductions
940,ColumbiaPictures CastleRockEntertainment MalpasoProductions
941,CaravanPictures HollywoodPictures FirstIndependentFilms LargoEntertainment ScottFreeProductions Trap-Two-ZeroProductions
942,PolyGramFilmedEntertainment A&BProducoes PopagandaFilms
943,SilentHillDCPInc. Davis-Films TriStarPictures Konami
944,WarnerBros.
945,UniversalPictures
946,RegencyEnterprises WarnerBros.
947,NewLineCinema VillageRoadshowPictures BrokenRoadProductions RatPac-DuneEntertainment
948,ParamountPictures EddieMurphyProductions
949,AmblinEntertainment WarnerBros.
950,VillageRoadshowPictures WarnerBros. BigKidPictures TeamDowney
951,DreamWorksSKG
952,ImpactPictures ConstantinFilmLtd.
953,MiramaxFilms UniversalPictures StudioCanal WorkingTitleFilms AtlanticTelevision LittleBird
954,OriginalFilm MonarchPictures Metro-Goldwyn-Mayer(MGM)
955,WarnerBros.
956,TroublemakerStudios
957,FigmentFilms
958,TouchstonePictures BeaconPictures MandevilleFilms
959,StudioBabelsberg AnarchosProductions LegendaryPictures DarkCastleEntertainment SilverPictures WarnerBros. MedienboardBerlin-Brandenburg DeutscheFilmförderfonds(DFFF) RocklockFilms
960,UniversalPictures BeaconPictures
961,ColumbiaPictures CastleRockEntertainment
962,TwentiethCenturyFoxFilmCorporation
963,AmblinEntertainment MalpasoProductions WarnerBros. Kennedy/MarshallCompany The
964,CastleRockEntertainment WarnerBros. SchroederHoffmanProductions
965,SilverPictures Canal+ WarnerBros. DinoDeLaurentiisCompany Donner/Shuler-DonnerProductions Evansgideon/Lazar
966,IngeniousFilmPartners ETICFilms QuintaCommunications DinoDeLaurentiisCompany ZephyrFilms YoungHannibalProductions CarthagoFilmsS.a.r.l.
967,UniversalPictures CastleRockEntertainment
968,NickWechslerProductions OpenRoadFilms SilverReel ChockstonePictures
969,IntermediaFilms KraneEntertainment
970,MalpasoProductions WarnerBros.
971,StudioBabelsberg AtlasEntertainment MosaicMediaGroup X-FilmeCreativePool
972,ParamountPictures RysherEntertainment
973,WarnerBros.Animation
974,TouchstonePictures AmericanEmpiricalPictures
975,LargerThanLifeProductions VendianEntertainment RouteOneFilms
976,MikonaProductionsGmbH&Co.KG UniversalPictures IntermediaFilms SaturnFilms DirtyHandsProductions
977,RevolutionStudios BelAirEntertainment
978,VertigoEntertainment EnergyEntertainment RatPac-DuneEntertainment
979,BBCFilms SerendipityPointFilms TéléfilmCanada AstralMedia ScionFilms FocusFeatures CorusEntertainment ShinePictures KudosFilmandTelevision
980,ColumbiaPicturesCorporation MandalayPictures Metro-Goldwyn-Mayer(MGM)
981,ColumbiaPictures Gaumont
982,UniversalPictures StuberProductions
983,CliffjackMotionPictures MorganCreekProductions
984,WarnerBros. ArnoldKopelsonProductions
985,TwentiethCenturyFoxFilmCorporation
986,HollywoodPictures CinergiPicturesEntertainment
987,RiverRoadEntertainment ParticipantMedia
988,NewLineCinema Davis-Films MetropolitanFilmexport ScottFreeProductions Domino17521
989,ParamountPictures
990,LakeshoreEntertainment Lionsgate
991,AlconEntertainment WarnerBros. BellePictures 3ArtsEntertainment
992,SenatorFilmProduktion MadChance WarnerBros. Filmfour
993,ScottRudinProductions RedHourFilms
994,Shangri-LaEntertainment Material TaorminaProductions
995,ColumbiaPictures
996,SummitEntertainment SaturnFilms NuImageFilms MillenniumFilms MichaelDeLucaProductions
997,TwentiethCenturyFoxFilmCorporation HydeParkFilms
998,ColumbiaPictures RevolutionStudios HardEightPictures Wonderworksstudiosentertainmentgroup
999,TwentiethCenturyFoxFilmCorporation SilverPictures
1000,UniversalPictures StudioCanal WorkingTitleFilms MedienproduktionPrometheusFilmgesellschaft PortobelloStudios TightropePictures
1001,USAFilms InitialEntertainmentGroup(IEG) BedfordFallsCompany The CompulsionInc. SplendidMedienAG
1002,Lucasfilm ParamountPictures
1003,UniversalPictures FocusFeatures WorkingTitleFilms
1004,ColumbiaPictures MediaRightsCapital SonyPicturesEntertainment(SPE) AlphaCore GenreFilms SimonKinbergProductions LStarCapital OllinStudio
1005,UniversalPictures ColumbiaPicturesCorporation
1006,Hofflund/Polone IndelibleProductions
1007,
1008,VillageRoadshowPictures AtlasEntertainment WarnerBros. Village-A.M.Partnership CoastRidge JungerWittProductions
1009,SummitEntertainment ScottFreeProductions WorldviewEntertainment
1010,ParamountPictures FireworksPictures AlphavilleFilms
1011,IntermediaFilms LawrenceGordonProductions PathéPicturesInternational IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG
1012,MiramaxFilms KonradPictures
1013,TwentiethCenturyFoxFilmCorporation RegencyEnterprises KirchMedia
1014,OrionPictures PSOInternational TotallyIndependent
1015,TreeLineFilms Lionsgate RelativityMedia Yuma
1016,TwentiethCenturyFoxFilmCorporation M6Films Canal+ GriveProductions EuropaCorp Ciné+ M6 TSGEntertainment Taken3
1017,UniversalPictures JerseyFilms
1018,ColumbiaPicturesCorporation
1019,CrackingtheEarthFilms
1020,TouchstonePictures
1021,IrishDreamtime Metro-Goldwyn-Mayer(MGM)
1022,ColumbiaPictures
1023,OrionPictures
1024,Mosfilm CreativeUnitofWriters&CinemaWorkers UnitFour
1025,VanguardFilms Lionsgate Odyssey NitrogenStudiosCanada
1026,TriStarPictures NFHProductions
1027,TriStarPictures
1028,ColumbiaPictures RevolutionStudios Roth-ArnoldProductions
1029,SectionEight AlconEntertainment Witt/ThomasProductions
1030,ParamountPictures DigitalImageAssociates
1031,WarnerBros.
1032,Fox2000Pictures
1033,ImagineEntertainment UniversalPictures
1034,GoodFilms
1035,Metro-Goldwyn-Mayer(MGM) UnificationChurch OneWayProductions
1036,UniversalPictures AmblinEntertainment Hanna-BarberaProductions
1037,TwentiethCenturyFoxFilmCorporation M6Films Canal+ GriveProductions EuropaCorp Ciné+
1038,DimensionFilms BradGreyPictures
1039,VillageRoadshowPictures CastleRockEntertainment NPVEntertainment FortisFilms
1040,NewLineCinema WaldenMedia
1041,WaltDisneyPictures
1042,WarnerBros.
1043,RegencyEnterprises AlcorFilms WarnerBros.
1044,TwoTonFilms Zadan/MeronProductions Reiner/GreismanProductions
1045,ParamountPictures MaceNeufeldProductions
1046,NewLineCinema SpringCreekProductions BenderSpink KumarMobiliengesellschaftmbH&Co.ProjektNr.1KG
1047,AlconEntertainment MadhouseEntertainment 8:38Productions
1048,VillageRoadshowPictures NPVEntertainment WarnerBros. OutlawProductions(I) WVFilmsII
1049,DreamWorksSKG GranViaProductions
1050,Gold/MillerProductions WayansBros.Entertainment DimensionFilms BradGreyPictures
1051,WaltDisneyPictures
1052,NewLineCinema AmenRaFilms ImaginaryForces MarvelEnterprises
1053,ParamountPictures MTVFilms Tollin/RobbinsProductions
1054,ParamountPictures
1055,ColumbiaPicturesCorporation MiddleForkProductions IguanaProducciones SkylightCinemaFotoArt St.TropezFilms CinemaLineFilmCorporation
1056,JerryBruckheimerFilms TouchstonePictures
1057,UniversalPictures DNAFilms StudioCanal WorkingTitleFilms
1058,WaltDisneyPictures PixarAnimationStudios
1059,TwentiethCenturyFoxFilmCorporation UnderworldEntertainment
1060,JerryWeintraubProductions WarnerBros. IguanaProducciones
1061,RegencyEnterprises WarnerBros.
1062,DesiluProductions WaldenProductions
1063,UniversalPictures
1064,SpyglassEntertainment EverymanPictures Hammer&Tongs TouchstonePictures
1065,TwentiethCenturyFoxFilmCorporation DavisEntertainment CulverStudios
1066,ImpactPictures Davis-Films ConstantinFilmProduktion ResidentEvilProductions
1067,HappyMadisonProductions KarzEntertainment WarnerBros. GulfstreamPictures
1068,ParamountPictures
1069,UniversalPictures DavidFosterProductions Turman-FosterCompany
1070,ParamountPictures ColumbiaPicturesCorporation TheKennedy/MarshallCompany
1071,Ixtlan RelativityMedia OndaEntertainment
1072,NewLineCinema
1073,UniversalPictures StudioCanal
1074,Playtone WarnerBros. LegendaryEntertainment DNAProductions
1075,DinoDeLaurentiisCompany
1076,RevolutionStudios TeamTodd
1077,DreamWorksSKG ScottRudinProductions BBCFilms NealStreetProductions EvamereEntertainment GoldcrestPictures
1078,Donners'Company CheyenneEnterprises AlconEntertainment NuImageEntertainmentGmbH MillenniumFilms Emmett/FurlaFilms EquityPicturesMedienfondsGmbH&Co.KGIII 16BlockProductions
1079,StudioCanal M6Films Canal+ CinéCinéma Babylon BabylonFilmsLimited M6 MNPEntreprise
1080,WarnerBros. Seagal/NassoProductions
1081,ColumbiaPicturesCorporation
1082,TwentiethCenturyFoxFilmCorporation RegencyEnterprises JosephsonEntertainment NewUpstairsProductions UpstairsCanadaProductions
1083,EpsilonMotionPictures FranchisePictures MorganCreekProductions ClydeIsHungryFilms PledgeProductions
1084,SonyPictures GaumontColumbiaTristarFilms
1085,ParamountPictures VillageRoadshowPictures TheLaddCompany
1086,ColumbiaPictures MiramaxFilms
1087,HollywoodPictures CinergiPicturesEntertainment
1088,StudioBabelsberg RunteamLtd. R.P.Productions France2Cinéma
1089,HollywoodPictures CinergiPicturesEntertainment CalimariProductions
1090,RaiCinema 40Acres&AMuleFilmworks TouchstonePictures OnMyOwn
1091,VirtualStudios InitialEntertainmentGroup SaturnFilms InternationalProductionCompany BlueStarPictures LivingFilms BangkokDangerous
1092,TouchstonePictures
1093,NewLineCinema GrosvenorParkMediaLtd.
1094,HollywoodPictures CinergiPicturesEntertainment
1095,UniversalPictures
1096,ThresholdEntertainment LionsGateFamilyEntertainment
1097,GKFilms WarnerBros. SmokehousePictures
1098,WarnerBros.
1099,ColumbiaPictures OriginalFilm RelativityMedia MadhouseEntertainment
1100,PropagandaFilms WarnerBros. BaltimorePictures
1101,TriStarPictures CarolcoPictures
1102,ColumbiaPicturesCorporation
1103,RKORadioPictures WaltDisneyProductions
1104,UnitedArtists TheCriterionCollection
1105,LakeshoreEntertainment ScreenGems
1106,TwentiethCenturyFoxFilmCorporation DavisEntertainment MovingPictureCompany(MPC) TSGEntertainment
1107,FountainbridgeFilms LaurenceMarkProductions ColumbiaPicturesCorporation FindingForresterProductions
1108,ColumbiaPictures
1109,CanalPlus CurrentEntertainment Clubdeal TF1FilmsProduction EuropaCorp QianYianInternational DannytheDogProdsLtd.
1110,KonradPictures
1111,ParamountPictures MirageEnterprises DavisEntertainment
1112,UniversalPictures MarcPlattProductions RelativityMedia
1113,CBSFilms MillenniumFilms Chartoff-WinklerProductions ScaredProductions NuImageEntertainmentGmbH
1114,ColumbiaPictures OriginalFilm StephenJ.CannellProductions RelativityMedia Metro-Goldwyn-Mayer(MGM)
1115,BookshopProductions NottingHillPictures WorkingTitleFilms PolygramFilmedEntertainment
1116,DreamWorksSKG AardmanAnimations DreamWorksAnimation Pathé
1117,JerseyFilms LoofahProductions
1118,ParamountPictures
1119,IngeniousFilmPartners IngeniousMedia TwentiethCenturyFoxFilmCorporation CherninEntertainment BigScreenProductions TSGEntertainment
1120,TwentiethCenturyFoxFilmCorporation MCLFilmsS.A. WalwaFilmsS.A.
1121,ColumbiaPictures HappyMadisonProductions BrokenRoadProductions
1122,TwentiethCenturyFoxFilmCorporation RegencyEnterprises MonarchPictures EpsilonMotionPictures NewRegencyPictures ManifestFilmCompany
1123,TriStarPictures PhoenixPictures
1124,LakeshoreEntertainment
1125,UniversalPictures
1126,EonProductions
1127,AppianWay WarnerBros. RandomFilms
1128,NewLineCinema IndustryEntertainment TribecaProductions NewRedemptionPictures
1129,HollywoodPictures CinergiPicturesEntertainment AlliedFilmmakers WaltDisney Nintendo
1130,SaturnFilms AscendantPictures EndgameEntertainment EntertainmentManufacturingCompany RisingStar CopagV
1131,LakeshoreEntertainment SidneyKimmelEntertainment
1132,ColumbiaPictures PointGreyPictures
1133,BoramEntertainmentInc.
1134,France2Cinéma France3Cinéma EpithèteFilms France3(FR3) RégionIle-de-France France2(FR2) OrangeCinémaSéries TapiocaFilms WarnerBros.EntertainmentFrance
1135,ImagineEntertainment MikonaProductionsGmbH&Co.KG
1136,PathéFilms Boréales
1137,ColumbiaPicturesCorporation EscapeArtists BlackandBluEntertainment Finestkind
1138,LivingFilms EmperorMultimediaGroup(EMG) GoldenPortProductionsLtd.
1139,SpyglassEntertainment TheKennedy/MarshallCompany HollywoodPictures BarryMendelProductions
1140,SummitEntertainment DiBonaventuraPicture
1141,IngeniousMedia DuneEntertainment Fox2000Pictures DeuceThreeProductions SunsweptEntertainment RedHourFilms
1142,ColumbiaPicturesCorporation JerryWeintraubProductions DelphiFilms
1143,ColumbiaPictures AtlasEntertainment AnnapurnaPictures
1144,TouchstonePictures MandevilleFilms Kurtzman/Orci
1145,ParamountPictures
1146,UniversalPictures AmblinEntertainment U-DriveProductions
1147,UniversalPictures TF1FilmsProduction Canal+ EuropaCorp Ciné+
1148,FocusFeatures TriggerStreetProductions MichaelDeLucaProductions
1149,DimensionFilms
1150,RegencyEnterprises WarnerBros.
1151,TwentiethCenturyFoxFilmCorporation RobertSimondsProductions
1152,UniversalPictures WeedRoadPictures HerrickEntertainment LeverageManagement ClosesttotheHoleProductions Emmett/FurlaFilms EnvisionEntertainmentCorporation Film44 ForesightUnlimited HollywoodStudiosInternational SpikingsEntertainment
1153,ColumbiaPicturesCorporation ParkwayProductions
1154,NewLineCinema DuneEntertainment TheSafranCompany EvergreenMediaGroup warnerbrossTurkey SohoVFX AtomicMonster
1155,ColumbiaPictures ScottRudinProductions RelativityMedia
1156,NewLineCinema FlowerFilms(II) InternationaleFilmproduktionBlackswan
1157,DimensionFilms
1158,KonradPictures Craven-MaddalenaFilms DimensionFilms
1159,UniversalPictures AmblinEntertainment U-DriveProductions
1160,GarySanchezProductions WarnerBros.
1161,AmericanZoetrope ColumbiaPicturesCorporation OsirisFilms
1162,ColumbiaPictures ScottRudinProductions EasyThereTigerProductions
1163,WarnerBros.
1164,ParamountPictures MiramaxFilms TimnickFilms MirageEnterprises
1165,NewLineCinema UniversalPictures ConundrumEntertainment RedGranitePictures
1166,WaltDisneyPictures SpyglassEntertainment VertigoEntertainment Kennedy/MarshallCompany The MandevilleFilms WinkingProductions
1167,WaverlyFilms WarnerBros.
1168,UniversalPictures CubeVision WillPackerProductions ReelChefsCatering
1169,MorganCreekProductions
1170,UniversalPictures BristolBayProductions BaldwinEntertainmentGroup AnvilFilms
1171,DimensionFilms TroublemakerStudios Miramax
1172,ColumbiaPictures OriginalFilm Kanzaman RelativityMedia ArtInMotion
1173,TheMontecitoPictureCompany DeLinePictures BernardGayleProductions
1174,TwentiethCenturyFoxFilmCorporation
1175,CamelotProductions CanalPlusGroup IxtlanProductions WarnerBros.
1176,TwentiethCenturyFoxFilmCorporation RegencyEnterprises EpsilonMotionPictures FirmFilms DeepRiverProductions NewRegencyPictures EdFriendlyProductions RunteldatEntertainment BigLouHouseProductions
1177,DreamWorksSKG NewmarketCapitalGroup LawrenceBenderProductions PistoleroProductionsLLC
1178,NewLineCinema OffspringEntertainment
1179,TwentiethCenturyFoxFilmCorporation LBIProductions
1180,NewLineCinema PracticalPictures ParallelZide
1181,DreamWorksSKG AmblinEntertainment StudioBabelsberg Fox2000Pictures MarcPlattProductions ParticipantMedia RelianceEntertainment TSGEntertainment
1182,TwentiethCenturyFoxFilmCorporation DavisEntertainment
1183,UniversalPictures SpyglassEntertainment RelativityMedia ApatowProductions
1184,MiramaxFilms
1185,UniversalPictures AmblinEntertainment DreamWorksPictures
1186,NewLineCinema PullDownYourPantsPictures ToddMcFarlaneEntertainment
1187,SpyglassEntertainment World2000Entertainment CountofMonteCristoLtd. TouchstonePictures
1188,LakeshoreEntertainment SidneyKimmelEntertainment Lionsgate
1189,StudioBabelsberg StudioCanal DarkCastleEntertainment TF1FilmsProduction Canal+ PandaProductionsInc. HorticusUK
1190,WarnerBros. TouchstonePictures Syncopy
1191,NewLineCinema BenderSpink RatPacEntertainment
1192,RainmakerEntertainment MainframeEntertainment WeinsteinCompany The
1193,IconProductions IconEntertainmentInternational TouchstonePictures
1194,UnitedArtists EonProductions
1195,TwentiethCenturyFoxFilmCorporation DavisEntertainment DuneEntertainmentIII TroublemakerStudios
1196,UniversalPictures MirageEnterprises NorthernLightsEntertainment
1197,ColumbiaPicturesCorporation PariahEntertainmentGroup GrandSlamProductions Mel'sCiteduCinema
1198,VillageRoadshowPictures VertigoEntertainment SoundforFilm WarnerBros.
1199,UniversalPictures MFPVFilm DoubleFeatureFilms ShadowCatcherEntertainment DanielBobkerProductions BrickDustProductionsLLC
1200,WaltDisneyPictures
1201,ColumbiaPictures OriginalFilm
1202,WarnerBros.
1203,ParamountPictures ConstellationEntertainment
1204,ColumbiaPicturesCorporation DarkCastleEntertainment WarnerBros.
1205,DreamWorksSKG
1206,HollywoodPictures CinergiPicturesEntertainment
1207,TwentiethCenturyFoxFilmCorporation DuneEntertainment DavisEntertainment BrandywineProductions
1208,DavisEntertainment SilverPictures WarnerBros.
1209,LakeshoreEntertainment Metro-Goldwyn-Mayer(MGM)
1210,VillageRoadshowPictures CastleRockEntertainment ReserveRoom FlowerFilms(II)
1211,UniversalPictures BigTalkProductions RelativityMedia WorkingTitleFilms
1212,ParamountPictures SkydanceProductions
1213,DimensionFilms
1214,ColumbiaPicturesCorporation Hofflund/Polone GlobalEntertainmentProductionsGmbH&CompanyMedienKG
1215,ImagineEntertainment IxtlanProductions CarolcoPictures BillGrahamFilms
1216,EscapeArtists MediaRightsCapital SonyPicturesEntertainment(SPE) LStarCapital
1217,LaurenceMarkProductions ColumbiaPicturesCorporation GlobalEntertainmentProductionsGmbH&CompanyMedienKG NoraEphronProductions
1218,NewLineCinema PracticalPictures ParallelZide
1219,CastleRockEntertainment WarnerBros.
1220,BelAirEntertainment WarnerBros.
1221,Fox2000Pictures WildgazeFilms AlanGreenspanProductions MarsMediaBeteiligungs FlowerFilms(II) ELCProductionsLtd.
1222,ParamountPictures ApatowProductions
1223,MediaRightsCapital FuzzyDoorProductions BluegrassFilms RGBMedia
1224,UniversalPictures
1225,ParamountPictures ScottRudinProductions WarnerBros.
1226,BadRobot GoldcrestPictures
1227,ParamountPictures MTVFilms CentProductionsInc.
1228,AmenRaFilms FranchisePictures WarnerBros. MorganCreekProductions
1229,ColumbiaPictures 1492Pictures RevolutionStudios
1230,ParamountPictures IconEntertainmentInternational MunichFilmPartners&Company(MFP)BTCProductions
1231,ParamountPictures CherryAlleyProductions
1232,NewLineCinema
1233,CrystalSkyWorldwide MDPWorldwide ApolloMediaDistribution CarouselPictureCompany The SignatureEntertainment LuxembourgFilmFund D'ArtagnanProductionsLimited Q&QMedienGmbH
1234,ColumbiaPictures ScottRudinProductions BBCFilms RubyFilms RelativityMedia FocusFeatures
1235,BelAirEntertainment WarnerBros.
1236,VillageRoadshowPictures DarkCastleEntertainment WarnerBros. Eyetronics ChimeFilms
1237,ScorseseProductions
1238,CinergiPicturesEntertainment TouchstonePictures
1239,TF1FilmsProduction Canal+ CinéCinéma GriveProductions EuropaCorp A.J.O.Z.Films
1240,WarnerBros.
1241,WarnerBros.Pictures EpsilonMotionPictures FranchisePictures BradGreyPictures SeaBreezeProductionsInc.
1242,Metro-Goldwyn-Mayer(MGM)
1243,VillageRoadshowPictures OriginalFilm WarnerBros.
1244,ColumbiaPictures CastleRockEntertainment
1245,UnitedArtists LeStudioCanal+ CarolcoPictures
1246,AmericanZoetrope ColumbiaPicturesCorporation Pricel TohokushinshaFilm CommissionduFilmFrance CommissionduFilmÎle-de-France
1247,TwentiethCenturyFoxFilmCorporation
1248,FranchisePictures WarnerBros. MorganCreekProductions TheCantonCompany
1249,SummitEntertainment TelecincoCinema ApachesEntertainment Canal+España InstitutodelaCinematografíaydelasArtesAudiovisuales(ICAA) InstitutValenciãdeCinematografia(IVAC) MediasetEspaña LaTrini GeneralitatValenciana
1250,ColumbiaPictures
1251,TwentiethCenturyFoxFilmCorporation RegencyEnterprises IndianPaintbrush AmericanEmpiricalPictures
1252,RegencyEnterprises EpsilonMotionPictures DavisEntertainment NewRegencyPictures MonarchyEnterprisesS.a.r.l. AtchityEntertainmentInternational(AEI)
1253,RegencyEnterprises AlcorFilms Canal+ WarnerBros. CorneliusProductions
1254,France3Cinéma ClaudieOssardProductions MMCIndependent Canal+ TapiocaFilms SoficaSofinergie5 VictoiresProductions FilmstiftungNordrhein-Westfalen UnionGénéraleCinématographique(UGC)
1255,DiNoviPictures DualstarProductions WarnerBros.
1256,ParamountPictures PatalexProductions
1257,UniversalPictures AnonymousContent WorkingTitleFilms
1258,ColumbiaPicturesCorporation MandalayEntertainment
1259,MilagroFilms FranchisePictures DoRoFictionFilm SignaturePictures ApolloMediaDistribution CarouselPictureCompany The LuxembourgFilmFund FilmyardUnderwaterdeco
1260,UniversalPictures
1261,MiramaxFilms FlowerFilms
1262,DimensionFilms
1263,ITCEntertainment
1264,TriStarPictures Baumgarten-ProphetEntertainment
1265,ImpactPictures ConstantinFilmProduktion
1266,DimensionFilms MartyKatzProductions MojoFilms PKPictures
1267,ParamountPictures ExtremeProductions ApolloMediaDistribution
1268,Gaumont HollywoodPictures BruinGripServices
1269,DNAFilms IngeniousFilmPartners UKFilmCouncil MovingPictureCompany(MPC)
1270,ParamountPictures DreamWorksSKG SaturnFilms VarsityPictures
1271,FathomStudios ElectricEyeEntertainmentCorporation
1272,StudioCanal SilverPictures TF1FilmsProduction Canal+ InstitutodelaCinematografíaydelasArtesAudiovisuales(ICAA) NostromoPictures AntonCapitalEntertainment(ACE) InstitutCatalàdelesEmpresesCulturals(ICEC) ProneGunman AmazonPrimeInstantVideo ProneGunmanA.I.E.
1273,IsleofManFilm WeinsteinCompany The SamuelsonProductions
1274,ParamountPictures DreamWorksSKG ColdSpringPictures MontecitoPictureCompany The
1275,UnitedArtists Suftley
1276,IntermediaFilms
1277,PolyGramFilmedEntertainment SilverPictures WarnerBros. WorkingTitleFilms PolyGramFilmproduktion
1278,WildBunch Ibrus KazakhfilmStudios TrueStoryProduction
1279,CJEntertainment OpusPictures StillkingFilms SnowPiercer MohoFilm
1280,EuropaCorp Scanbox
1281,TouchstonePictures MandevilleFilms Morra Brezner SteinbergandTenenbaumEntertainment(MBST) BurroProductions
1282,MiramaxFilms CrowvisionInc. EntertainmentMediaInvestmentCorporation JeffMostProductions EdwardR.PressmanFilm
1283,ArkaMediaWorks
1284,NewLineCinema PlanBEntertainment NickWechslerProductions InternationaleScarenaFilmproduktionsgesellschaft2
1285,UniversalPictures GoldCircleFilms
1286,TimBurtonProductions
1287,UniversalPictures BarryMendelProductions
1288,ParamountPictures Cort/MaddenProductions ATRFilms MMPErsteFilmproduktions MoviemakersProductions(MMP)
1289,WarnerBros. DovemeadFilms CantharusProductions
1290,GerberPictures WarnerBros.
1291,MetropolitanFilmexport LionRockProductions Showbox
1292,TouchstonePictures
1293,LakeshoreEntertainment RelativityMedia
1294,ImagineEntertainment UniversalPictures
1295,DimensionFilms
1296,ParamountPictures
1297,IngeniousMedia DuneEntertainment Fox2000Pictures FlashpointEntertainment BigScreenProductions
1298,MiliPictures
1299,UniversalPictures BeaconCommunications AzoffEntertainment
1300,WinklerFilms
1301,DavisEntertainment Metro-Goldwyn-Mayer(MGM)
