,0,title
727,ArnoldSchwarzenegger PhilHartman Sinbad RitaWilsonFamily Comedyholiday christmasparty santaclaus toy puppet christmas turboman navidadTwentiethCenturyFoxFilmCorporation 1492PicturesUnitedStatesofAmerica,Jingle All the Way
728,RonPerlman SelmaBlair RupertEvans JohnHurtFantasy Action ScienceFictionblackmagic fistfight cover-up superhero paranormalphenomena narrationfromgrave demon occult combatphotography reanimatedcorpse duringcreditsstingerRevolutionStudios DarkHorseEntertainment LawrenceGordonProductions StarliteFilmsUnitedStatesofAmerica,Hellboy
729,JohnTravolta RobertDuvall TonyShalhoub WilliamH.MacyDramasuccess advancement rightandjustice leukemia lawyer businessstart-upParamountPictures WildwoodEnterprises TouchstonePicturesUnitedStatesofAmerica,A Civil Action
730,KodiSmit-McPhee TuckerAlbrizzi JodelleFerland AnnaKendrickFamily Animation Adventure Comedymedium stopmotion curse jock ghost communicatingwiththedead aftercreditsstinger dealingwiththepast witchtrial childwitch empathy strangeFocusFeatures LaikaEntertainmentUnitedStatesofAmerica,ParaNorman
731,BruceWillis RichardGere SidneyPoitier DianeVenoraAction Thriller Adventure Crimefbi coldwar hitmanUniversalPictures Toho-Towa MutualFilmCompany Marubeni TeleMünchenFernsehProduktionsgesellschaft(TMG) AlphavilleFilms BritishBroadcastingCorporation(BBC) UGCPH Mel'sCiteduCinemaUnitedStatesofAmerica,The Jackal
732,BenAffleck AaronEckhart UmaThurman PaulGiamattiAction Adventure Mystery ScienceFiction Thrillerprophecy engineer scientist millionaireParamountPictures DreamWorksSKG DavisEntertainment LionRockProductions ProvinceofBritishColumbiaFilmIncentiveBC Solomon/HackettProductionsCanada UnitedStatesofAmerica,Paycheck
733,RobertRedford MichellePfeiffer StockardChanning JoeMantegnaDrama Romancemiami television career vitaminb reporterCinergiPicturesEntertainment TouchstonePicturesUnitedStatesofAmerica,Up Close & Personal
734,MatthewBroderick DustinHoffman EmmaWatson TraceyUllmanAdventure Animation Familyloyalty totalitarianregime mouse forgiveness honor unlikelyfriendship courage chivalry animalleadLargerThanLifeProductionsUnitedKingdom UnitedStatesofAmerica,The Tale of Despereaux
735,JackieChan JenniferLoveHewitt JasonIsaacs DebiMazarThriller Action Comedy ScienceFictionbomb intelligence chauffeur wound secretagent headinjuryDreamWorksSKG Parkes+MacDonaldImageNation BlueTrainProductionsUnitedStatesofAmerica,The Tuxedo
736,StevenSeagal EricBogosian EverettMcGill KatherineHeiglAction Thrillerterrorist pentagon satellite navyseal trainRegencyEnterprises WarnerBros. Seagal/NassoProductions VictorCompanyofJapan(JVC) CuttingEdgeFilmsUnitedStatesofAmerica,Under Siege 2: Dark Territory
737,ChrisPine KeiraKnightley KevinCostner KennethBranaghAction Drama Thrillerlondonengland corruption cia terrorist sniper explosive intelligence russia murder conspiracy surveillance agent jackryan u.s.marine rehab analystParamountPictures DiBonaventuraPictures MaceNeufeldProductions SkydanceProductions Etalonfilm BuckarooEntertainmentRussia UnitedStatesofAmerica,Jack Ryan: Shadow Recruit
738,JenniferLawrence BradleyCooper RobertDeNiro DaschaPolancoDrama Comedyfactory inventor strongwoman biography basedontruestory stolenpatentFox2000Pictures DavisEntertainment AnnapurnaPictures TSGEntertainmentUnitedStatesofAmerica,Joy
739,GerardButler AaronEckhart MorganFreeman AngelaBassettAction Crime Thrillerlondonengland terrorist terroristattackMillenniumFilms LHFFilm GerardButlerAlanSiegelEntertainment NuBoyanaFilmStudiosBulgaria UnitedStatesofAmerica UnitedKingdom,London Has Fallen
740,SigourneyWeaver WinonaRyder BradDourif RonPerlmanScienceFiction Horror Actionandroid mercenary dystopia sequel alien betrayal impalement cloning scientist flamethrower disembowelment smuggler genemanipulation maninwheelchair breeding geneticengineering regeneration xenomorph alienqueen explosivedecompression swimmingunderwaterTwentiethCenturyFoxFilmCorporation BrandywineProductionsUnitedStatesofAmerica,Alien: Resurrection
741,MarkWahlberg MichaelPeña DannyGlover KateMaraAction Drama Mystery Thriller Crimecorruption sniper senator conspiracyofmurder childlessness rifle sniperrifle fbiagentParamountPictures DiBonaventuraPictures GrosvenorParkImpactProductionsUnitedStatesofAmerica,Shooter
742,BenKingsley IsaacHempstead-Wright ElleFanning DeeBradleyBakerAnimation Comedy Family Fantasybasedonnovel stopmotion fatherdaughterrelationship unlikelyfriendship duringcreditsstingerLaikaEntertainmentUnitedStatesofAmerica,The Boxtrolls
743,SandraBullock NicoleKidman EvanRachelWood GoranVisnjicDrama Fantasy Comedywitch magic sorcery love curse familycurseVillageRoadshowPictures DiNoviPictures FortisFilms WarnerBros. StargateStudiosUnitedStatesofAmerica,Practical Magic
744,ChrisPratt WillFerrell ElizabethBanks WillArnettAdventure Animation Comedy Family Fantasyfathersonrelationship creativity friendship partliveaction toys basedontoy fallinginlove superpowers duringcreditsstinger differentworlds lego batmanVillageRoadshowPictures DCComics VertigoEntertainment LinPictures WarnerBros.Animation LEGO WarnerBros. AnimalLogic WarnerAnimationGroup RatPac-DuneEntertainmentUnitedStatesofAmerica,The Lego Movie
745,SandraBullock ReginaKing EnriqueMurciano WilliamShatnerAction Comedyransom pressconference ship missamerica fbiagentVillageRoadshowPictures CastleRockEntertainment FortisFilmsUnitedStatesofAmerica,Miss Congeniality 2: Armed and Fabulous
746,ChristianBale MatthewMcConaughey IzabellaScorupco GerardButlerAdventure Action Fantasydragon evolution firechief animatedmap theatreaudience dragonslayer tunnelconstruction firerepellent drilling iodineTheZanuckCompany SpyglassEntertainment World2000Entertainment TouchstonePictures TripodEntertainmentIreland UnitedKingdom UnitedStatesofAmerica,Reign of Fire
747,JoshBrolin RyanGosling NickNolte EmmaStoneCrime Drama Action Thrillerlosangeles gangsterVillageRoadshowPictures LinPictures WarnerBros. LangleyParkProductionUnitedStatesofAmerica,Gangster Squad
748,JackBlack MichaelCera OliviaWilde OliverPlattComedy Adventuretemple slavery stoneage circumcision hebrews cavemen prehistoricadventure duringcreditsstinger prehistorictimes prehistoricmanColumbiaPictures OceanPictures ApatowProductionsUnitedStatesofAmerica,Year One
749,MorganFreeman MattDamon TonyKgoroge PatrickMofokengDrama Historystadium southafrica apartheid nelsonmandela sport nation rugby president racism poverty celebration duringcreditsstingerSpyglassEntertainment MalpasoProductions RevelationsEntertainment MaceNeufeldProductions WarnerBros. LibertyPictures(II)UnitedStatesofAmerica,Invictus
750,RussellCrowe BenAffleck RachelMcAdams RobinWrightActioncorruption assassination detective journalist assassin newspaper congress editor-in-chief conspiracyofmurder politics electioncampaign government murder thriller blog reporterUniversalPictures StudioCanal AndellEntertainment RelativityMedia WorkingTitleFilmsFrance UnitedKingdom UnitedStatesofAmerica,State of Play
751,CliveOwen JuliaRoberts PaulGiamatti TomWilkinsonRomance Comedy CrimespyUniversalPictures LauraBickfordProductions RelativityMedia MedienproduktionPoseidonFilmgesellschaftGermany UnitedStatesofAmerica,Duplicity
752,JeffDaniels ElizabethHurley DarylHannah ChristopherLloydComedy Drama Family ScienceFictionalien martian basedontvseries fishoutofwaterWaltDisneyPicturesUnitedStatesofAmerica,My Favorite Martian
753,MichaelDouglas KieferSutherland EvaLongoria MartinDonovanAction Thriller Crimeusapresident agentTwentiethCenturyFoxFilmCorporation DuneEntertainment MajorStudioPartners RegencyEnterprises EpsilonMotionPictures NewRegencyPictures SentinelProductions FurthurFilmsUnitedStatesofAmerica,The Sentinel
754,DwayneJohnson SeannWilliamScott JessicaBiel JustinLongScienceFiction Animation Family Comedy Adventureflyingsaucer alienlife-form spaceship alien alienplanet planet duringcreditsstingerTriStarPictures IlionAnimationStudios HandMadeFilmsSpain UnitedKingdom UnitedStatesofAmerica,Planet 51
755,PatrickStewart JonathanFrakes BrentSpiner LeVarBurtonScienceFiction Action Adventure Thrillerclone assassination ambush federation starfleet enterprise-e romulus android senate selfsacrifice telepathy weapon romulans spaceoperaParamountPicturesUnitedStatesofAmerica,Star Trek: Nemesis
756,GeorgeClooney CatherineZeta-Jones EdwardHerrmann GeoffreyRushCrime Comedy Romancecalifornia assassin infidelity fetish hitman tycoon court satire lawyer inheritance divorceImagineEntertainment UniversalPictures MikeZossProductions AlphavilleProductionsUnitedStatesofAmerica,Intolerable Cruelty
757,ClintEastwood AmyAdams JustinTimberlake JohnGoodmanDrama Romancewomen baseball pitcher homerun aging sport talent-scout cigarsmoking pooreyesight bostonredsox draft motelroom baseballscout failingeyesight blurryvision blurredsightMalpasoProductions WarnerBros.UnitedStatesofAmerica,Trouble with the Curve
758,MelGibson RayWinstone DannyHuston ShawnRobertsCrime Drama Mystery Thrillermurder violence deathofdaughter homicidedetectiveIconProductions BBCFilms GKFilms WarnerBros.UnitedKingdom UnitedStatesofAmerica,Edge of Darkness
759,PenelopeAnnMiller TomSizemore LindaHunt JamesWhitmoreHorror Mystery Thrillerchicago basedonnovel monster museum pileofdeadbodies god deadbody anthropologist indiantribe amazonjungleParamountPictures UniversalPictures Toho-Towa MutualFilmCompany PacificWestern PolyGramFilmedEntertainment Marubeni TeleMünchenFernsehProduktionsgesellschaft(TMG) BritishBroadcastingCorporation(BBC)Germany Japan NewZealand UnitedKingdom UnitedStatesofAmerica,The Relic
760,RobertDeNiro BillyCrystal LisaKudrow JoeViterelliComedy Crimeprison gold therapist gangsterVillageRoadshowPictures NPVEntertainment WarnerBros. TribecaProductions BaltimoreSpringCreekPictures FaceProductionsAustralia UnitedStatesofAmerica,Analyze That
761,RobertDeNiro CarlaGugino 50Cent AlPacinoAction Crime Drama Thrillerrevenge murder plottwist dirtycopGrosvenorParkMediaLtd. InVentureEntertainment MillenniumFilms Emmett/FurlaFilms Nu-ImageFilmsUnitedStatesofAmerica,Righteous Kill
762,BruceWillis AlecBaldwin MikoHughes ChiMcBrideAction Crime Drama Thrillerassassin lossoffamily autism fbi bangkok nationalsecurityagency(nsa) boy childinperil fbiagent autisticsavantImagineEntertainment UniversalPicturesUnitedStatesofAmerica,Mercury Rising
763,RobertDowneyJr. JamieFoxx CatherineKeener NelsanEllisDramanewspaper cello musical violin losangelesDreamWorks UniversalPictures StudioCanal ParticipantMedia KrasnoffFosterProductions WorkingTitleFilmsUnitedStatesofAmerica,The Soloist
764,MattDamon BruceMcGill CharlizeTheron WillSmithFantasy Dramacompetition worldwari greatdepression caddy savannahDreamWorksSKG TwentiethCenturyFoxFilmCorporation WildwoodEnterprises EpsilonMotionPictures AlliedFilmmakersUnitedStatesofAmerica,The Legend of Bagger Vance
765,KateHudson BillyCrudup FrancesMcDormand JasonLeeDrama Musichotelroom sandiego drugaddiction stewardess overdose groupie musicjournalist blacksabbath rock concert swimmingpool basedontruestory promiscuity comingofage ontheroad domineeringmother reconciliation semiautobiographical innocencelost bustrip aspiringwriterColumbiaPictures VinylFilms DreamWorksPicturesUnitedStatesofAmerica,Almost Famous
766,BillMurray JenniferLoveHewitt BillyConnolly IanAbercrombieAnimation Comedy Familylondonengland cat mistakeinperson luxury wretch nobility garfieldTwentiethCenturyFoxFilmCorporation DuneEntertainment DavisEntertainmentUnitedKingdom UnitedStatesofAmerica,Garfield: A Tail of Two Kitties
767,IceCube SamuelL.Jackson WillemDafoe ScottSpeedmanAction Adventure Crime Drama Mystery Thrillerwashingtond.c. helicopter usapresident general coupd'etat militaryprison coup agent insurgent secretaryofdefense potusOriginalFilm ColumbiaPicturesCorporation RevolutionStudiosUnitedStatesofAmerica,xXx: State of the Union
768,PaulBettany KarlUrban CamGigandet MaggieQAction ScienceFiction Fantasy Thriller Horrorvampire crucifixion post-apocalyptic dystopia vampirehunter disobey niece darkheroScreenGems StarsRoadEntertainment BuckarooEntertainment MichaelDeLucaProductions TOKYOPOPUnitedStatesofAmerica,Priest
769,BradPitt CatherineZeta-Jones MichellePfeiffer JosephFiennesFamily Animation Adventureprince watermonsterDreamWorksAnimationUnitedStatesofAmerica,Sinbad: Legend of the Seven Seas
770,LaurenceFishburne SamNeill KathleenQuinlan JoelyRichardsonHorror ScienceFiction Mysteryspacemarine nudity nightmare hallucination cryogenics spacetravel blackhole insanity delusion crew alternatedimension evilspirit hellgate religion explosion violence burningman rescueteam flashback supernaturalpower trappedinspace distresssignal derelictshipParamountPictures ImpactPictures GolarProductionsUnitedKingdom UnitedStatesofAmerica,Event Horizon
771,KevinCostner JoeMorton RonRifkin SusannaThompsonDramapregnancyandbirth voice dragonfly carcrash jungle hospital doctor humanitarian spiritismUniversalPictures SpyglassEntertainment ShadyAcresEntertainment GranViaProductions KalimaProductionsGmbH&Co.KG NDEProductionsGermany UnitedStatesofAmerica,Dragonfly
772,JoshHartnett ScarlettJohansson AaronEckhart HilarySwankDramapornography observer losangeles murderhuntUniversalPictures Davis-Films SignaturePictures LinsonEntertainment ArtLinsonProductions MillenniumFilms EquityPicturesMedienfondsGmbH&Co.KGIII NuImageEntertainmentGmbHFrance Germany UnitedStatesofAmerica,The Black Dahlia
773,JamesFranco DavidEllison JeanReno PhilipWinchesterAction Adventure Drama History Romance Warworldwari biplaneIngeniousFilmPartners ElectricEntertainment SkydanceProductions FlyboysFilmsUnitedKingdom UnitedStatesofAmerica,Flyboys
774,RobertRedford JamesGandolfini MarkRuffalo SteveBurtonAction Drama Thrillerprison generalDreamWorksSKGUnitedStatesofAmerica,The Last Castle
775,JamesSpader AngelaBassett RobertForster LouDiamondPhillipsHorror ScienceFiction Thrillerblackpeople starships future star supernova blastUnitedArtists Metro-Goldwyn-Mayer(MGM) HammerheadProductions ScreenlandPicturesSwitzerland UnitedStatesofAmerica,Supernova
776,ColinFarrell JessicaBrownFindlay RussellCrowe WilliamHurtDrama Fantasy Mystery RomancebasedonnovelVillageRoadshowPictures WeedRoadPictures WarnerBros.UnitedStatesofAmerica,Winter's Tale
777,LilyCollins JamieCampbellBower KevinZegers JemimaWestAction Adventure Drama Mystery Romance Fantasyangel vampire werewolf warlock downworlder shadowhunter demonhunter basedonyoungadultnovelConstantinFilmProduktion DonCarmodyProductions UniqueFeatures Mr.SmithProductionsUnitedStatesofAmerica,The Mortal Instruments: City of Bones
778,EddieMurphy ElizabethBanks GabrielleUnion ScottCaanComedy ScienceFiction Adventure Familynewyork captain starships newlove earth friendship crew carcrash space alien survival planet duringcreditsstingerTwentiethCenturyFoxFilmCorporation DuneEntertainment RegencyEnterprises GuyWalksintoaBarProductions DeepRiverProductions FriendlyFilms(II)UnitedStatesofAmerica,Meet Dave
779,JenniferConnelly JohnC.Reilly TimRoth DougrayScottDrama Horror Thrillerbasedonnovel water remake teacher divorce apartment ghost manhattan newyorkcityVertigoEntertainment TouchstonePictures PostNoBillsFilms PandemoniumProductionsUnitedStatesofAmerica,Dark Water
780,MatthewMcConaughey WoodyHarrelson SallyKirkland JennaElfmanComedytvshow tvstation simulatedreality realitytv tvstar tvratingsImagineEntertainment UniversalPicturesUnitedStatesofAmerica,Edtv
781,BrendanFraser SiennaGuillory AndySerkis ElizaBennettAdventure Family Fantasybook fairytale eavesdropping adventure writer'sblockNewLineCinema InternationaleFilmproduktionBlackbirdErsteGermany UnitedKingdom UnitedStatesofAmerica,Inkheart
782,GabrielMacht ScarlettJohansson SamuelL.Jackson EvaMendesAction Comedy Thriller Crime ScienceFictionsecretidentity robber mask frog basedoncomicstrip backfromthedeadDCComics Lionsgate OddLotEntertainment MediaMagikEntertainment DarkLotEntertainment ContinentalEntertainmentGroup(CEG)UnitedStatesofAmerica,The Spirit
783,JohnnyDepp GwynethPaltrow EwanMcGregor PaulBettanyComedy Adventurebasedonnovel painting debt artdealer stolenpaintingLionsgate MadChance OddLotEntertainment HuayiBrothersMediaUnitedStatesofAmerica,Mortdecai
784,JasonStatham JohnRhys-Davies RayLiotta LeeleeSobieskiAdventure Fantasy Action Dramafictionalplace monster lossoffamily newlove hero loveofone'slife magic fairytale villain kingdom enchantment badpower son heirtothethrone motherlylove wizardry revenge royalty family basedonvideogame medievalBollKinoBeteiligungsGmbH&Co.KG BrightlightPictures HeroldProductionsCanada Germany UnitedStatesofAmerica,In the Name of the King: A Dungeon Siege Tale
785,AngelinaJolie CliveOwen TeriPolo LinusRoacheDrama Romance Adventure Warlondonengland cia landmine loveofone'slife cambodia ethiopia chechnya foreignaidMandalayPictures CPMedienAG CamelotPictures Networxx-FilmManagement Mel'sCiteduCinemaGermany UnitedStatesofAmerica,Beyond Borders
786,AaronKwok GongLi WilliamFeng XiaoShenYangAction Adventure FantasymonkeykingFilmkoPicturesHongKong China,西游记之孙悟空三打白骨精
787,BenjaminBratt JamesFranco ConnieNielsen MartonCsokasAction History Warbasedonnovel worldwarii prisonersofwar narration archivefootage rescuemission soldier 1940s inspiredbytrueevents fictionalizedhistoryLawrenceBenderProductions MartyKatzProductionsUnitedStatesofAmerica,The Great Raid
788,RyanReynolds MorenaBaccarin EdSkrein T.J.MillerAction Adventure Comedyantihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealingTwentiethCenturyFoxFilmCorporation MarvelEntertainment TheDonners'Company TSGEntertainment KinbergGenreUnitedStatesofAmerica,Deadpool
789,EddieMurphy JeffGoldblum KellyPreston RobertLoggiaDrama Comedysalesclerk television tvratings guru televisionproducerCaravanPictures TouchstonePicturesUnitedStatesofAmerica,Holy Man
790,BradleyCooper SiennaMiller KyleGallner ColeKonisWar Actionsniper biography iraq navyseal u.s.soldierVillageRoadshowPictures MalpasoProductions WarnerBros. RatPac-DuneEntertainment MadChanceProductions 22&IndianaPicturesUnitedStatesofAmerica,American Sniper
791,JackBlack DylanMinnette OdeyaRush AmyRyanAdventure Horror Comedybasedonnovel magic fantasy werewolf family ventriloquistdummy bookcomestolife 3dColumbiaPictures VillageRoadshowPictures OriginalFilm SonyPicturesAnimation SonyPicturesEntertainment(SPE) ScholasticEntertainment LStarCapitalAustralia UnitedStatesofAmerica,Goosebumps
792,ReeseWitherspoon MarkRuffalo DonalLogue DinaSpybey-WatersComedy Fantasy Romancecoma basedonnovel workaholic flirt architect romanticcomedy ghost landscapearchitectDreamWorksSKG UIP MacDonald/ParkesProductionsUnitedStatesofAmerica,Just Like Heaven
793,MarkAddy StephenBaldwin KristenJohnston JaneKrakowskiScienceFiction Comedy Family Romancewaitress marriageproposal flirt stoneage bestfriend dinosaurUniversalPictures AmblinEntertainmentUnitedStatesofAmerica,The Flintstones in Viva Rock Vegas
794,SylvesterStallone RichardCrenna KurtwoodSmith SpirosFocásAction Adventure Thriller Warcompetition submachinegun sovietunion liberation russian soviettroops thailand freedomfighter afghanistan waronfreedom machinegun mujahid realityshow western japanesefood soapoperaTriStarPictures CarolcoPicturesUnitedStatesofAmerica,Rambo III
795,GeorgeClooney RenéeZellweger JohnKrasinski WayneDuvallComedy Romance Dramaamericanfootball sportsteam stadium hero success sponsorship police games coach womanreporter thebiggameUniversalPictures CaseySilverProductions OutlawProductions(I) SmokehousePicturesGermany UnitedStatesofAmerica,Leatherheads
796,AdamSandler TaylorLautner SteveBuscemi TerryCrewsComedy WesternwildwestHappyMadisonProductionsUnitedStatesofAmerica,The Ridiculous 6
797,HughGrant SarahJessicaParker MarySteenburgen SamElliottComedywitnessprotection comedy duringcreditsstingerColumbiaPictures CastleRockEntertainment RelativityMedia BanterUnitedStatesofAmerica,Did You Hear About the Morgans?
798,OwenWilson VinceVaughn RoseByrne MaxMinghellaComedyjobinterview lossofjob intern referencetogoogle newjob laidoff transamericapyramidTwentiethCenturyFoxFilmCorporation RegencyEnterprises 21LapsEntertainment WildWestPictureShowProductions TSGEntertainmentUnitedStatesofAmerica,The Internship
799,MillaJovovich WentworthMiller AliLarter KimCoatesAction Adventure Horror ScienceFictionpost-apocalyptic dystopia undead biohazard evilcorporation residentevil zombie basedonvideogame duringcreditsstinger 3dImpactPictures Davis-Films ConstantinFilmProduktionGermany UnitedStatesofAmerica France Canada,Resident Evil: Afterlife
800,BryanCranston DavidOyelowo CubaGoodingJr. DanielaRuahDrama Action Adventure History Warworldwarii fighterpilot fighterplaneLucasfilm TwentiethCenturyFoxFilmCorporation PartnershipPicturesUnitedStatesofAmerica,Red Tails
801,KeanuReeves AlPacino CharlizeTheron JeffreyJonesDrama Horror Mystery Thrillerchildabuse southernusa obsession subway nudity bible seduction hallucination ambition devil'sson marriagecrisis pactwiththedevil crookedlawyer evilspirit satan religion lust courtroom temptation lawfirm manhattan newyorkcity sevendeadlysins ethics gainesvillefloridaRegencyEnterprises MonarchyEnterprisesB.V. KopelsonEntertainment WarnerBros. NewRegencyPictures TaurusFilmGermany UnitedStatesofAmerica,The Devil's Advocate
802,AdamSandler SusanSarandon EvaAmurriMartino LeightonMeesterComedydeadbeatdad cheatingfiancée teacherstudentsex brothersisterincestColumbiaPictures HappyMadisonProductions RelativityMediaUnitedStatesofAmerica,That's My Boy
803,DennisQuaid DavidThewlis PetePostlethwaite DinaMeyerFantasymagic kingdom despot immortality village forest army horror partner revenge knight battle medieval dragonheartUniversalPicturesUnitedStatesofAmerica,DragonHeart
804,PierceBrosnan SalmaHayek WoodyHarrelson TroyGarityAction Comedy Crime Dramabahamas masterthief crookcoupleNewLineCinema Contrafilm FirmFilmsUnitedStatesofAmerica,After the Sunset
805,NicolasCage CiaránHinds ViolantePlacido FergusRiordanAction Fantasy Thrillermonk easterneurope skeleton biker marvelcomic superhero motorcycle devil darkhero ghostriderColumbiaPictures ImagenationAbuDhabiFZ MarvelEntertainment MarvelKnights HydeParkEntertainment CrystalSkyPictures MichaelDeLucaProductionsUnitedArabEmirates UnitedStatesofAmerica,Ghost Rider: Spirit of Vengeance
806,NicolasCage PenélopeCruz JohnHurt ChristianBaleDrama History Romanceofficer greekisland mandolin italiansoldier resistancefighter greekhistory italianarmy alliedforcesMiramaxFilms UniversalPicturesUnitedKingdom UnitedStatesofAmerica France,Captain Corelli's Mandolin
807,VinDiesel LaurenGraham FaithFord ChrisPotterAction Comedy Drama Family Thrillerbodybuilder children bodyguard scientist family u.s.soldier deathofhusband malenannyWaltDisneyPictures SpyglassEntertainmentCanada UnitedStatesofAmerica,The Pacifier
808,DwayneJohnson JohnnyKnoxville NealMcDonough KristenWilsonAdventure Drama Action Thrillercasino sheriff home violence specialforces exsoldierMetro-Goldwyn-Mayer(MGM) MandevilleFilms WWEStudios HydeParkEntertainment Burke/Samples/FosterProductions CubEightProductionsUnitedStatesofAmerica,Walking Tall
809,TomHanks RobinWright GarySinise MykeltiWilliamsonComedy Drama Romancevietnamveteran hippie mentallydisabled running basedonnovel vietnam vietnamwar friendship love familyrelationships bully mothersonrelationship military hugging shrimping woundedsoldier flashback parkbench amputeeParamountPicturesUnitedStatesofAmerica,Forrest Gump
810,JasonLee DavidCross CameronRichardson JaneLynchComedy Music Family Fantasy Animationpop popstar recordproducer surprise approach forest music concert friendship performance chipmunk talkinganimal songwriter talkingtoanimals duringcreditsstingerDuneEntertainment RegencyEnterprises Fox2000Pictures BagdasarianProductionsUnitedStatesofAmerica,Alvin and the Chipmunks
811,BenStiller RobertDeNiro TeriPolo BlytheDannerComedy Romancecia airport cat jew orderly airplane father-in-law epistaxis daughter lostbaggage urn pavilion volleyball hospital weddingDreamWorksSKG UniversalPictures TribecaProductions NancyTenenbaumFilmsUnitedStatesofAmerica,Meet the Parents
812,IreneBedard MelGibson DavidOgdenStiers JohnKassirAdventure Animation Drama Familycultureclash settler forbiddenlove colony musical goldrush princess romance nativeamerican animation virginia starcrossedlovers referencetopizarro jamestownvirginia pugdog crossculturalrelationship musket animatetree indianchief basedonfolktale 17thcentury shamanism songs indiansvs.settlers animalsidekick powhatan landclaimWaltDisneyPictures WaltDisneyFeatureAnimationUnitedStatesofAmerica,Pocahontas
813,ChristopherReeve MarlonBrando MargotKidder GeneHackmanAction Adventure Fantasy ScienceFictionsavingtheworld journalist dccomics crimefighter nuclearmissile galaxy superhero basedoncomicbook criminal sabotage northpole midwest kryptonite superpowers superhumanstrength aftercreditsstinger savethedayWarnerBros. DovemeadFilms FilmExportA.G.UnitedKingdom UnitedStatesofAmerica,Superman
814,EddieMurphy JadaPinkettSmith JamesCoburn LarryMillerFantasy Comedy Romance ScienceFictionoverweight overweightman duringcreditsstingerImagineEntertainment UniversalPicturesUnitedStatesofAmerica,The Nutty Professor
815,WillSmith EvaMendes KevinJames AmberVallettaComedy Drama Romancespeeddate romanticcomedy datingColumbiaPicturesCorporation OverbrookEntertainmentUnitedStatesofAmerica,Hitch
816,BrendanFraser LeslieMann ThomasHadenChurch JohnCleeseAdventure Comedy Family Romanceafrica sanfrancisco gorilla lion feralchild jungleWaltDisneyPictures MandevilleFilmsUnitedStatesofAmerica,George of the Jungle
817,JasonBiggs AlysonHannigan SeannWilliamScott EddieKayeThomasComedy Romancehandcuffs sistersisterrelationship spanner blowjob stagnight weddingUniversalPictures Zide-PerryProductions LivePlanet Loumolo&Co.UnitedStatesofAmerica,American Wedding
818,TomHanks CatherineKeener MaxMartini ChrisMulkeyAction Drama Thrillership hijacking somalia fisherman blood poverty pirate terrorism commando hijack cargoship shipcaptain shiphijacking somali commandounitColumbiaPicturesUnitedStatesofAmerica,Captain Phillips
819,TinaFey SteveCarell MarkWahlberg TarajiP.HensonComedydate corruption taxi expensiverestaurant wifehusbandrelationship gun boat taxidriver document restaurant roof marriedcouple politician stripper shooting thief carcrash stealing mistakenidentity policecorruption aftercreditsstinger duringcreditsstingerTwentiethCenturyFoxFilmCorporation DuneEntertainment 21LapsEntertainmentUnitedStatesofAmerica,Date Night
820,ChristinaRicci BillPullman CathyMoriarty EricIdleFantasy Comedy Familyhalloween friendship supernatural afterlife friends danger ghost disorder youngheroes imaginary supernaturalability mischievouschildrenUniversalPictures AmblinEntertainment TheHarveyEntertainmentCompanyUnitedStatesofAmerica,Casper
821,DenzelWashington MartonCsokas ChloëGraceMoretz DavidHarbourThriller Action Crimecorruption assassin hostage fbi hitman russian securitycamera sadism vigilante sociopath revenge suspense organizedcrime gore gangster violence teenageprostitute commando interrogation surveillance exsoldier fakeddeath loner callgirl blackops handtohandcombat mysteriouspastColumbiaPictures VillageRoadshowPictures EscapeArtists MaceNeufeldProductions LStarCapital LonetreeEntertainmentUnitedStatesofAmerica,The Equalizer
822,JenniferLopez RalphFiennes NatashaRichardson StanleyTucciComedy Drama Romancehotel politician mistakenidentity maid classdifferences singlemother publicrelations maiduniform hotelclerk wealthdifferencesRedOmFilmsUnitedStatesofAmerica,Maid in Manhattan
823,DenzelWashington GeneHackman MattCraven GeorgeDzundzaAction Thriller Dramasubmarine mutiny russia missile nuclearmissile embassy u.s.navy battleforpower torpedo military moraldilemma postcoldwar aircraftcarrier chainofcommand launchcode sonarHollywoodPictures DonSimpson/JerryBruckheimerFilmsUnitedStatesofAmerica,Crimson Tide
824,WillSmith JadenSmith ThandieNewton BrianHoweDramasanfrancisco singleparent homelessperson bus worker homelessness work churchservice badluck biography salesman stockbrokerColumbiaPicturesCorporation EscapeArtists RelativityMedia OverbrookEntertainmentUnitedStatesofAmerica,The Pursuit of Happyness
825,JodieFoster PeterSarsgaard SeanBean KateBeahanThriller Drama Mysteryberlin lossoffather airplane baby-snatchingImagineEntertainment TouchstonePicturesUnitedStatesofAmerica,Flightplan
826,MichaelDouglas DemiMoore DonaldSutherland DylanBakerDrama Thriller Crime Mystery Romanceemployee workplace sexualharassment intrigueWarnerBros. BaltimorePicturesUnitedStatesofAmerica,Disclosure
827,NicolasCage MegRyan AndreBraugher DennisFranzDrama Fantasy Romancesuicide angel lifeanddeath desperation operation heaven faith afterlife losangeles interspeciesromanceAtlasEntertainment RegencyEnterprises MonarchyEnterprisesB.V. WarnerBros. TaurusFilmUnitedStatesofAmerica Germany,City of Angels
828,UmaThurman LucyLiu VivicaA.Fox DarylHannahAction Crimejapan coma martialarts kungfu underworld yakuza sword bride revenge gore femaleyakuza blood wedding samuraisword partanimationMiramaxFilms ABandApart SuperCoolManChuUnitedStatesofAmerica,Kill Bill: Vol. 1
