,cast
1213,DavidArquette NeveCampbell CourteneyCox EmmaRoberts
1214,NicolasCage JoaquinPhoenix JamesGandolfini ChrisBauer
1215,ValKilmer MegRyan KyleMacLachlan FrankWhaley
1216,CameronDiaz JasonSegel RobCorddry EllieKemper
1217,MegRyan DianeKeaton LisaKudrow WalterMatthau
1218,EmmaBell NicholasD'Agosto MilesFisher EllenWroe
1219,HughGrant JamesCaan JeanneTripplehorn BurtYoung
1220,KevinSpacey HelenHunt HaleyJoelOsment JayMohr
1221,DrewBarrymore JimmyFallon JasonSpevack JackKehler
1222,OwenWilson LeslieMann JoshPeck DavidDorfman
1223,SethMacFarlane CharlizeTheron LiamNeeson AmandaSeyfried
1224,AlecBaldwin JohnLone PenelopeAnnMiller PeterBoyle
1225,ThomasHorn TomHanks SandraBullock MaxvonSydow
1226,RachelMcAdams HarrisonFord PatrickWilson JeffGoldblum
1227,50Cent JoyBryant AdewaleAkinnuoye-Agbaje OmarBensonMiller
1228,WesleySnipes DonaldSutherland MauryChaykin AnneArcher
1229,AnthonyRapp AdamPascal RosarioDawson JesseL.Martin
1230,KimBasinger AngelaBettis HollistonColeman RufusSewell
1231,SteveMartin GoldieHawn JohnCleese MarkMcKinney
1232,MarlonBrando ValKilmer DavidThewlis FairuzaBalk
1233,CatherineDeneuve MenaSuvari StephenRea TimRoth
1234,NataliePortman ScarlettJohansson EricBana JimSturgess
1235,KeanuReeves CharlizeTheron JasonIsaacs GregGermann
1236,HilarySwank DavidMorrissey IdrisElba AnnaSophiaRobb
1237,HarveyKeitel RobertDeNiro DavidProval AmyRobinson
1238,DannyDeVito MarkWahlberg GregoryHines JamesRemar
1239,ZoeSaldana CliffCurtis CallumBlue MichaelVartan
1240,JessalynGilsig CaryElwes GaryOldman DonRickles
1241,RobertDeNiro JamesFranco FrancesMcDormand ElizaDushku
1242,ValKilmer MiraSorvino KellyMcGillis StevenWeber
1243,MartinHenderson IceCube MonetMazur AdamScott
1244,AlPacino JohnCusack BridgetFonda DannyAiello
1245,ElizabethBerkley KyleMacLachlan GinaGershon GlennPlummer
1246,KirstenDunst JasonSchwartzman JudyDavis RipTorn
1247,DavidCaruso SamuelL.Jackson NicolasCage HelenHunt
1248,SylvesterStallone MirandaRichardson RachaelLeighCook MickeyRourke
1249,NaomiWatts EwanMcGregor TomHolland SamuelJoslin
1250,WarrenBeatty DustinHoffman IsabelleAdjani CharlesGrodin
1251,GeorgeClooney MerylStreep JasonSchwartzman BillMurray
1252,AngelinaJolie EdwardBurns TonyShalhoub ChristianKane
1253,ChevyChase DarylHannah SamNeill MichaelMcKean
1254,AudreyTautou MathieuKassovitz Rufus JamelDebbouze
1255,AshleyOlsen Mary-KateOlsen EugeneLevy AndyRichter
1256,JudeLaw MarisaTomei OmarEpps JaneKrakowski
1257,DrewBarrymore JohnKrasinski KristenBell VinessaShaw
1258,MichellePfeiffer TreatWilliams WhoopiGoldberg JonathanJackson
1259,StephenDorff NataschaMcElhone StephenRea UdoKier
1260,JohnC.Reilly JoshHutcherson ChrisMassoglia PatrickFugit
1261,BenStiller DrewBarrymore EileenEssell AmberValletta
1262,SamuelL.Jackson BernieMac SharonLeal AdamHerschman
1263,M.EmmetWalsh RichardJordan DavidSelby AnneArcher
1264,Jean-ClaudeVanDamme KianaTom BillGoldberg MichaelJaiWhite
1265,BenFoster DennisQuaid CamGigandet AntjeTraue
1266,GarySinise MadeleineStowe MekhiPhifer VincentD'Onofrio
1267,DevonSawa BridgetteWilson RufusSewell RupertGraves
1268,JeanReno ChristinaApplegate ChristianClavier MattRoss
1269,CillianMurphy RoseByrne ChrisEvans MichelleYeoh
1270,EddieMurphy AllisonJanney CliffCurtis ClarkDuke
1271,FreddiePrinzeJr. JenniferLoveHewitt ValKilmer AnneBancroft
1272,SeanPenn JasmineTrinca JavierBardem RayWinstone
1273,AlexPettyfer SarahBolger EwanMcGregor RobbieColtrane
1274,ShiaLaBeouf SarahRoemer Carrie-AnneMoss DavidMorse
1275,JonnyLeeMiller AngelinaJolie JesseBradford MatthewLillard
1276,RichardGere TerrenceHoward JamesBrolin DianeKruger
1277,TimRobbins JenniferJasonLeigh PaulNewman CharlesDurning
1278,KunoBecker JayHernandez JasonScottLee DoskhanZholzhaksynov
1279,ChrisEvans SongKang-ho EdHarris JohnHurt
1280,VanessaParadis MathieuChedid GadElmaleh FrançoisCluzet
1281,MatthewBroderick AlecBaldwin ToniCollette CalistaFlockhart
1282,BrandonLee RochelleDavis ErnieHudson MichaelWincott
1283,Prabhas RanaDaggubati TamannaBhatia AnushkaShetty
1284,EricBana RachelMcAdams MichelleNolden ArlissHoward
1285,DianeKeaton MandyMoore GabrielMacht TomEverettScott
1286,CharlieTahan CatherineO'Hara MartinShort MartinLandau
1287,NathanFillion GinaTorres AlanTudyk MorenaBaccarin
1288,MegRyan TonyShalhoub JoeCortese KerryWashington
1289,ChristopherReeve RichardPryor JackieCooper MarcMcClure
1290,RobertDeNiro SylvesterStallone AlanArkin JonBernthal
1291,ChangChen HuJun TonyLeungChiu-Wai TakeshiKaneshiro
1292,ReeseWitherspoon JoshLucas PatrickDempsey CandiceBergen
1293,KatherineHeigl GerardButler EricWinter BreeTurner
1294,SteveMartin DanAykroyd PhilHartman GlenneHeadly
1295,AntonioBanderas CarlaGugino AlexaPenaVega DarylSabara
1296,PatrickStewart JonathanFrakes BrentSpiner LeVarBurton
1297,RobertPattinson ReeseWitherspoon ChristophWaltz TatumEtheridge
1298,Carrie-AnneMoss LucasGrabeel BlytheAuffarth CharlieSchlatter
1299,DenzelWashington VicellousReonShannon DeborahKaraUnger LievSchreiber
1300,JenniferLopez BillyCampbell JulietteLewis DanFutterman
1301,SigourneyWeaver JenniferLoveHewitt GeneHackman RayLiotta
1302,KevinJames RainiRodriguez EduardoVerástegui DaniellaAlonso
1303,JenniferLopez JimCaviezel JeremySisto TerrenceHoward
1304,TimAllen JulieBowen KellyLynch GregGermann
1305,JohnnyDepp FrankLangella LenaOlin EmmanuelleSeigner
1306,HughGrant GeneHackman SarahJessicaParker DavidMorse
1307,MarkWahlberg JenniferAniston JasonFlemyng DominicWest
1308,GaboureySidibe Mo'Nique PaulaPatton MariahCarey
1309,JeffBridges CarolineGoodall JohnSavage ScottWolf
1310,KurtRussell KeithDavid WilfordBrimley DonaldMoffat
1311,VinDiesel KarlUrban KateeSackhoff JordiMollà
1312,DennisQuaid DannyGlover R.LeeErmey ClaudiaStedelin
1313,JamesVanDerBeek RachaelLeighCook AshtonKutcher DylanMcDermott
1314,SaoirseRonan HarryTreadaway MaryKayPlace BillMurray
1315,JoaquinPhoenix PhilipSeymourHoffman AmyAdams LauraDern
1316,RyanCartwright HaydenChristensen MischaBarton JayVilliers
1317,RobBrown DennisQuaid DarrinHenson CharlesS.Dutton
1318,ChloëGraceMoretz NickRobinson AlexRoe MaikaMonroe
1319,MichaelB.Jordan SylvesterStallone GrahamMcTavish TessaThompson
1320,BenAffleck RebeccaHall JeremyRenner JonHamm
1321,CameronDiaz JenniferLopez ElizabethBanks AnnaKendrick
1322,GeorgeClooney FrancesMcDormand BradPitt JohnMalkovich
1323,AbigailBreslin JodieFoster GerardButler MichaelCarman
1324,DanielBrühl ChrisHemsworth OliviaWilde AlexandraMariaLara
1325,JulianneMoore WilliamH.Macy JohnC.Reilly TomCruise
1326,BruceWillis TracyMorgan JuanCarlosHernández SeannWilliamScott
1327,DakotaJohnson RebelWilson AlisonBrie NicholasBraun
1328,MorganFreeman AshleyJudd HarryConnickJr. NathanGamble
1329,KristenStewart RobertPattinson BillyBurke TaylorLautner
1330,DenzelWashington RobertDuvall AnneHeche KimberlyElise
1331,MartinLawrence LukeWilson DaveChappelle PeterGreene
1332,JasonSudeikis JenniferAniston WillPoulter EmmaRoberts
1333,VasilyStepanov PyotrFyodorov ЮлияСнигирь FyodorBondarchuk
1334,KurtRussell J.T.Walsh KathleenQuinlan M.C.Gainey
1335,SeanConnery KimBasinger KlausMariaBrandauer EdwardFox
1336,JohnCusack LizzyCaplan RobCorddry CraigRobinson
1337,MorganFreeman AshleyJudd NathanGamble CoziZuehlsdorff
1338,BenAffleck GarySinise CharlizeTheron DennisFarina
1339,VinDiesel LarenzTate TimothyOlyphant GenoSilva
1340,BradleyCooper EmmaStone RachelMcAdams BillMurray
1341,AlecBaldwin JamesWoods VirginiaMadsen WhoopiGoldberg
1342,EthanHawke YoukiKudoh ReeveCarney AnneSuzuki
1343,AnthonyHopkins ColinO'Donoghue AliceBraga TobyJones
1344,EthanHawke JudeLaw GoreVidal UmaThurman
1345,BetteMidler NathanLane StockardChanning DavidHydePierce
1346,AndySamberg CherylHines JeffDaniels PatrickWarburton
1347,ChrisRock BernieMac DylanBaker NickSearcy
1348,BradleyCooper EdHelms ZachGalifianakis JustinBartha
1349,MikeMyers HeatherGraham MichaelYork RobertWagner
1350,JackNicholson MichaelKeaton KimBasinger MichaelGough
1351,CharlieCox DougrayScott WesBentley RodrigoSantoro
1352,MelGibson DannyGlover JoePesci ReneRusso
1353,SandraBullock QuintonAaron KathyBates TimMcGraw
1354,AlexaPenaVega DarylSabara AntonioBanderas CarlaGugino
1355,JenniferAniston JasonBateman CharlieDay JasonSudeikis
1356,JeffBridges MattDamon JoshBrolin BarryPepper
1357,MerylStreep AnneHathaway EmilyBlunt StanleyTucci
1358,WilliamShatner LeonardNimoy DeForestKelley JamesDoohan
1359,JasonBateman MelissaMcCarthy JonFavreau AmandaPeet
1360,RobertDeNiro NickNolte JessicaLange JulietteLewis
1361,JimSturgess KevinSpacey KateBosworth AaronYoo
1362,AmySchumer BillHader BrieLarson ColinQuinn
1363,BernieMac AshtonKutcher ZoeSaldana JudithScott
1364,RalphFiennes JulietteBinoche WillemDafoe KristinScottThomas
1365,KevinSpacey GuyPearce DannyDeVito JamesCromwell
1366,MichaelAngarano KurtRussell KellyPreston DaniellePanabaker
1367,KevinKline JoanCusack TomSelleck MattDillon
1368,NatashaHenstridge BenKingsley MichaelMadsen AlfredMolina
1369,JohnSaxon RoneeBlakley HeatherLangenkamp AmandaWyss
1370,JenniferLopez VincentD'Onofrio VinceVaughn MarianneJean-Baptiste
1371,LeonardoDiCaprio JeremyIrons GérardDepardieu GabrielByrne
1372,DianeLane JohnMalkovich ScottGlenn DylanWalsh
1373,ChrisEvans SarahMichelleGellar Mako KevinSmith
1374,CubaGoodingJr. EdHarris AlfreWoodard S.EpathaMerkerson
1375,JustinTimberlake MilaKunis PatriciaClarkson WoodyHarrelson
1376,SethRogen RoseByrne ZacEfron ChloëGraceMoretz
1377,EmmaThompson TomHanks PaulGiamatti ColinFarrell
1378,DenzelWashington AngelaBassett AlbertHall AlFreeman
1379,PaulRudd LeslieMann JasonSegel MaudeApatow
1380,RobinWilliams JohnTravolta SethGreen JustinLong
1381,BillNighy MichaelSheen RhonaMitra ShaneBrolly
1382,RobinWilliams MandyMoore JohnKrasinski EricChristianOlsen
1383,JonHeder RobSchneider DavidSpade JonLovitz
1384,DianeLane JohnCusack ElizabethPerkins ChristopherPlummer
1385,JohnnyDepp AlPacino MichaelMadsen BrunoKirby
1386,MillaJovovich MichelleRodriguez EricMabius RyanMcCluskey
1387,CraigT.Nelson JoBethWilliams BeatriceStraight HeatherO'Rourke
1388,TomHanks IrmaP.Hall MarlonWayans J.K.Simmons
1389,MarkWahlberg MilaKunis BeauBridges Ludacris
1390,JustinTimberlake AmandaSeyfried CillianMurphy OliviaWilde
1391,JenniferLopez AlexO'Loughlin DanneelAckles EricChristianOlsen
1392,KateHudson GinniferGoodwin JohnKrasinski ColinEgglesfield
1393,MartinLawrence MarshaThomason TomWilkinson VincentRegan
1394,WalterMatthau TatumO'Neal BenPiazza VicMorrow
1395,Jean-ClaudeVanDamme RaúlJuliá Ming-NaWen DamianChapa
1396,AdrienBrody ThomasKretschmann FrankFinlay MaureenLipman
1397,KeishaCastle-Hughes OscarIsaac HiamAbbass ShaunToub
1398,ElishaCuthbert ParisHilton BrianVanHolt JaredPadalecki
1399,JuliaRoberts JudeLaw NataliePortman CliveOwen
1400,LeonardoDiCaprio JoshHamilton GeoffPierson ArmieHammer
1401,KieferSutherland PaulaPatton AmySmart CameronBoyce
1402,StuartTownsend Aaliyah MargueriteMoreau VincentPérez
1403,KevinPeterHall DannyGlover GaryBusey RubénBlades
1404,DianeLane BillyBurke ColinHanks JosephCross
1405,BrendanFraser AliciaSilverstone ChristopherWalken SissySpacek
1406,SamJ.Jones MelodyAnderson MaxvonSydow ChaimTopol
1407,BenAffleck RaquelCastro LivTyler JenniferLopez
1408,TylerPerry RachelNichols JeanReno MatthewFox
1409,JohnCusack KevinSpacey JudeLaw AlisonEastwood
1410,JeffreyDeanMorgan RobertDeNiro KateBosworth DaveBautista
1411,EmmaThompson AsaButterfield RalphFiennes MaggieGyllenhaal
1412,JackNicholson DannyDeVito ArmandAssante J.T.Walsh
1413,DavidDuchovny GillianAnderson AmandaPeet BillyConnolly
1414,AnneHathaway HughDancy CaryElwes VivicaA.Fox
1415,WillSmith AlecBaldwin AlbertBrooks GuguMbatha-Raw
1416,TaylorLautner LilyCollins AlfredMolina JasonIsaacs
1417,EwanMcGregor RickyGervais TimCurry JimBroadbent
1418,MichaelDouglas TobeyMaguire FrancesMcDormand KatieHolmes
1419,DrakeBell SaraPaxton LeslieNielsen ChristopherMcDonald
1420,MarkWahlberg RussellCrowe CatherineZeta-Jones JeffreyWright
1421,PortiadeRossi ChristinaRicci JesseEisenberg MiloVentimiglia
1422,JosephGordon-Levitt MichaelShannon DaniaRamirez JamieChung
1423,ReeseWitherspoon SofíaVergara MichaelMosley JohnCarrollLynch
1424,HeathLedger WesBentley KateHudson DjimonHounsou
1425,JasonStatham JenniferLopez NickNolte MichaelChiklis
1426,KirstenDunst PaulBettany SamNeill JamesMcAvoy
1427,BrendanFraser KenJeong BrookeShields AngelaKinsey
1428,SharniVinson PhoebeTonkin JulianMcMahon XavierSamuel
1429,KenMarshall LysetteAnthony FrancescaAnnis AlunArmstrong
1430,RobertRedford MerylStreep TomCruise MichaelPeña
1431,DannyGlover WillemDafoe BradJohnson RosannaArquette
1432,JohnC.Reilly JennaFischer TimMeadows KristenWiig
1433,KevinSpacey JulianneMoore CateBlanchett JudiDench
1434,ColinFarrell ScottCaan AliLarter GabrielMacht
1435,EmilyBlunt JimBroadbent MarkStrong PaulBettany
1436,KateBeckinsale GabrielMacht TomSkerritt ColumbusShort
1437,BradPitt SeanPenn JessicaChastain HunterMcCracken
1438,Jean-ClaudeVanDamme LelaRochon PaulSorvino RobSchneider
1439,ArnoldSchwarzenegger SamWorthington MireilleEnos JoeManganiello
1440,HeathLedger ShannynSossamon BennoFürmann MarkAddy
1441,RayStevenson DominicWest JulieBenz ColinSalmon
1442,TimAllen CourteneyCox ChevyChase SpencerBreslin
1443,JosephGordon-Levitt BenKingsley CharlotteLeBon BenSchwartz
1444,AngusMacfadyen MarioYedidia MarleyShelton ChaoLiChi
1445,RussellCrowe MarionCotillard AlbertFinney TomHollander
1446,ElijahWood LorraineBracco AdamBaldwin JohnHeard
1447,DamianChapa JesseBorrego BenjaminBratt EnriqueCastillo
1448,JuliaOrmond GabrielByrne RichardHarris JimBroadbent
1449,RebeccaRomijn AntonioBanderas PeterCoyote RieRasmussen
1450,AnthonyQuinn RodSteiger OliverReed IrenePapas
1451,JulietteBinoche OlivierMartinez PierreArditi FrançoisCluzet
1452,TobeyMaguire SkeetUlrich JeffreyWright Jewel
1453,JavierBardem MaricelÁlvarez HanaaBouchaib GuillermoEstrella
1454,PenélopeCruz SalmaHayek DwightYoakam SteveZahn
1455,LaurenceFishburne KarlUrban BrittanySnow AishaTyler
1456,DylanO'Brien KiHongLee KayaScodelario AmlAmeen
1457,VinceVaughn DaveFranco JamesMarsden JuneDianeRaphael
1458,DanielDay-Lewis MichellePfeiffer WinonaRyder AlexisSmith
1459,HughJackman RachelWeisz EllenBurstyn MarkMargolis
1460,CubaGoodingJr. SkeetUlrich PeterFirth DavidPaymer
1461,NicolasCage MalinÅkerman JoshLucas SamiGayle
1462,ScottEastwood BrittRobertson LolitaDavidovich MelissaBenoist
1463,JohnnyDepp CharlizeTheron JoeMorton CleaDuVall
1464,KimBasinger VincentPérez LiamAiken DanielCraig
1465,GerardButler JessicaBiel UmaThurman CatherineZeta-Jones
1466,IdrisElba NaomieHarris TonyKgoroge RiaadMoosa
1467,WarrenBeatty DianeKeaton EdwardHerrmann JackNicholson
1468,TomCruise JackNicholson DemiMoore KevinBacon
1469,StevenSeagal DMX IsaiahWashington AnthonyAnderson
1470,MartinLawrence NiaLong PaulGiamatti JaschaWashington
1471,BrianneSiddall JoeyCamen ElisaGabrielli RobinAtkinDownes
1472,EmileHirsch RachaelTaylor OliviaThirlby JoelKinnaman
1473,KathrynMcCormick RyanGuzman StephenBoss MeganBoone
1474,SamuelL.Jackson JuliannaMargulies KenanThompson NathanPhillips
1475,JamesSpader KeanuReeves MarisaTomei ErnieHudson
1476,ThomasJane JohnTravolta WillPatton RoyScheider
1477,KunoBecker AlessandroNivola AnnaFriel StephenDillane
1478,JasonStatham ChrisSarandon JamesHong CatherineChan
1479,JohnCusack BillyBobThornton CateBlanchett AngelinaJolie
1480,MarkHamill HarrisonFord CarrieFisher BillyDeeWilliams
1481,RhonaMitra BobHoskins MalcolmMcDowell AlexanderSiddig
1482,KateWinslet RalphFiennes DavidKross JeanetteHain
1483,PaulRudd JenniferAniston JustinTheroux MalinÅkerman
1484,WillFerrell JamesCaan ZooeyDeschanel MarySteenburgen
1485,JohnTravolta KyraSedgwick ForestWhitaker RobertDuvall
1486,JimBelushi CubaGoodingJr. JamesCoburn M.EmmetWalsh
1487,BillMurray KarenAllen JohnForsythe BobcatGoldthwait
1488,JackBlack AnadelaReguera HéctorJiménez DariusRose
1489,KristenWiig RoseByrne MayaRudolph WendiMcLendon-Covey
1490,JamesFranco JonahHill SethRogen JayBaruchel
1491,PatriciaArquette GabrielByrne JonathanPryce NiaLong
1492,RobertDeNiro CubaGoodingJr. CharlizeTheron AunjanueEllis
1493,ChrisBrown HaydenChristensen MattDillon MichaelEaly
1494,RobertDeNiro DianeKeaton KatherineHeigl AmandaSeyfried
1495,MartinLawrence BrandonT.Jackson PortiaDoubleday MariMorrow
1496,JakeGyllenhaal MichelleMonaghan VeraFarmiga RussellPeters
1497,EthanHawke VincentSpano JoshHamilton BruceRamsay
1498,JimCarrey VirginiaMadsen LoganLerman DannyHuston
1499,KyleCatlett HelenaBonhamCarter JudyDavis CallumKeithRennie
1500,DanAykroyd NedBeatty JohnBelushi LorraineGary
1501,KurtRussell DakotaFanning KrisKristofferson ElisabethShue
1502,ViggoMortensen MariaBello HeidiHayes AshtonHolmes
1503,JasonStatham AmberValletta KateNauta AlessandroGassman
1504,SharonStone GeneHackman RussellCrowe LeonardoDiCaprio
1505,PierceBrosnan JulianneMoore MichaelSheen ParkerPosey
1506,NicolasCage PatriciaArquette JohnGoodman VingRhames
1507,JudeLaw ForestWhitaker AliceBraga LievSchreiber
1508,WhoopiGoldberg GérardDepardieu HaleyJoelOsment UteLemper
1509,SteveCarell JimCarrey SteveBuscemi OliviaWilde
1510,ScottBakula JasmineGuy NatalieCole AshleyPeldon
1511,HankAzaria RubénBlades JoanCusack JohnCusack
1512,GeorgeClooney CateBlanchett TobeyMaguire TonyCurran
1513,JamesPurefoy PiperPerabo PatrickSwayze MichaelClarkeDuncan
1514,MartinSheen MarlonBrando RobertDuvall FredericForrest
1515,DrewBarrymore JustinLong CharlieDay JasonSudeikis
1516,RichardDreyfuss GlenneHeadly JayThomas OlympiaDukakis
1517,KevinCostner GaryOldman TommyLeeJones RyanReynolds
1518,MerylStreep RobertRedford KlausMariaBrandauer MichaelKitchen
1519,DenzelWashington DonCheadle BruceGreenwood KellyReilly
1520,RogerMoore LoisChiles MichaelLonsdale CorinneCléry
1521,RalphFiennes TonyRevolori F.MurrayAbraham MathieuAmalric
1522,AnthonyHopkins AntonYelchin HopeDavis MikaBoorem
1523,JeffDaniels HarleyJaneKozak GaretteRatliffHenson MarleneKatz
1524,DennisQuaid JimCaviezel AndreBraugher ElizabethMitchell
1525,EdHelms ChristinaApplegate SkylerGisondo SteeleStebbins
1526,JohnTravolta GeneHackman ReneRusso DannyDeVito
1527,CatherineZeta-Jones RenéeZellweger QueenLatifah RichardGere
1528,AdamSandler JoeyLaurenAdams KristySwanson ColeSprouse
1529,JasonBiggs ThomasIanNicholas ChrisKlein SeannWilliamScott
1530,TomHanks TimAllen DonRickles JimVarney
1531,KeanuReeves DennisHopper SandraBullock JoeMorton
1532,RachelMcAdams ChanningTatum SamNeill ScottSpeedman
1533,HarrisonFord BrendanFraser KeriRussell CourtneyB.Vance
1534,DenzelWashington WillPatton RyanHurst WoodHarris
1535,AlecBaldwin SeanConnery ScottGlenn SamNeill
1536,ForestWhitaker DavidBanner MichaelRaineyJr. LaJessieSmith
1537,VinceVaughn ChristineTaylor BenStiller RipTorn
1538,RaúlJuliá AnjelicaHuston ChristopherLloyd ChristinaRicci
1539,JimCarrey IanMcNeice SimonCallow MaynardEziashi
1540,AnneHathaway JulieAndrews HeatherMatarazzo RobertSchwartzman
1541,GoldieHawn BetteMidler DianeKeaton MaggieSmith
1542,BradPitt MorganFreeman GwynethPaltrow JohnC.McGinley
1543,SharltoCopley JasonCope NathalieBoltt SylvaineStrike
1544,TomKenny ClancyBrown RodgerBumpass BillFagerbakke
1545,SeanPenn TimRobbins KevinBacon LaurenceFishburne
1546,ClintEastwood HilarySwank MorganFreeman JayBaruchel
1547,RobertDeNiro BillyCrystal LisaKudrow ChazzPalminteri
1548,RachelMcAdams RyanGosling GenaRowlands JamesGarner
1549,KatherineHeigl JamesMarsden MalinÅkerman JudyGreer
1550,MileyCyrus BillyRayCyrus EmilyOsment JasonEarles
1551,E.G.Daily SusanSarandon JohnLithgow TaraStrong
1552,NickNolte BarbraStreisand BlytheDanner KateNelligan
1553,BradPitt AnthonyHopkins AidanQuinn JuliaOrmond
1554,GeorgeClooney VeraFarmiga AnnaKendrick JasonBateman
1555,JackNicholson KathyBates HopeDavis DermotMulroney
1556,NicholasHoult TeresaPalmer AnaleighTipton RobCorddry
1557,JosephGordon-Levitt BruceWillis EmilyBlunt PaulDano
1558,ChrisRock ReginaKing ChazzPalminteri EugeneLevy
1559,ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving
1560,MerylStreep SteveCarell TommyLeeJones JeanSmart
1561,JasonSegel KristenBell MilaKunis RussellBrand
1562,MarkWahlberg TyreseGibson AndréBenjamin GarrettHedlund
1563,TinaFey AmyPoehler DaxShepard SigourneyWeaver
1564,SandraBullock HarryConnickJr. GenaRowlands MaeWhitman
1565,AnneHathaway KateHudson BryanGreenberg ChrisPratt
1566,SethGreen MatthewLillard DaxShepard AntonyStarr
1567,JenniferGarner MarkRuffalo JudyGreer AndySerkis
1568,OwenWilson RachelMcAdams KurtFuller MimiKennedy
1569,WillArnett KatherineHeigl BrendanFraser LiamNeeson
1570,JohnnyDepp PenélopeCruz EthanSuplee RayLiotta
1571,KevinCostner RobinWright PaulNewman JohnSavage
1572,WilliamShatner LeonardNimoy DeForestKelley JamesDoohan
1573,ShadMoss MorrisChestnut JonathanLipnicki BrendaSong
1574,LeslieNielsen PriscillaPresley GeorgeKennedy O.J.Simpson
1575,RogerMoore ChristopherWalken TanyaRoberts GraceJones
1576,PeterSallis HelenaBonhamCarter RalphFiennes NicholasSmith
1577,HilarySwank GerardButler LisaKudrow HarryConnickJr.
1578,FrankieMuniz MandyMoore HaydenPanettiere BruceGreenwood
1579,KeiraKnightley JamesMcAvoy RomolaGarai SaoirseRonan
1580,AmandaSeyfried ChristopherEgan GaelGarcíaBernal VanessaRedgrave
1581,MichaelDouglas AndyGarcía KateCapshaw ShigeruKôyama
1582,SeanHayes WillSasso ChrisDiamantopoulos JaneLynch
1583,JohnnyDepp HelenaBonhamCarter EmilyWatson TraceyUllman
1584,JoshLucas DerekLuke JonVoight AustinNichols
1585,EmilyBlunt BeniciodelToro JoshBrolin VictorGarber
1586,JakeGyllenhaal RachelMcAdams ForestWhitaker OonaLaurence
1587,AlisonLohman JustinLong LornaRaver DileepRao
1588,BlakeLively MichielHuisman HarrisonFord EllenBurstyn
1589,MichaelCaine RobertDuvall HaleyJoelOsment JoshLucas
1590,RickMalambri AdamG.Sevani JoeSlaughter SharniVinson
1591,KateBosworth MatthewDavis MichelleRodriguez SanoeLake
1592,WillFerrell MaggieGyllenhaal DustinHoffman EmmaThompson
1593,JoshHartnett MelissaGeorge BenFoster DannyHuston
1594,KristenConnolly ChrisHemsworth AnnaHutchison FranKranz
1595,SeanMaguire CarmenElectra KenDavitian KevinSorbo
1596,RobertDeNiro CharlesGrodin YaphetKotto JohnAshton
1597,ArnoldSchwarzenegger RichardDawson MaríaConchitaAlonso YaphetKotto
1598,RickMoranis EllenGreene VincentGardenia SteveMartin
1599,SaoirseRonan EricBana VickyKrieps CateBlanchett
1600,RobinShou TalisaSoto JamesRemar SandraHess
1601,TomHanks JuliaRoberts BryanCranston CedrictheEntertainer
1602,ChloëGraceMoretz JulianneMoore JudyGreer AlexRussell
1603,AntonioBanderas RobBrown YayaDaCosta AlfreWoodard
1604,DwayneJohnson Xzibit L.ScottCaldwell LeonRippy
1605,MartinLawrence DannyDeVito JohnLeguizamo GlenneHeadly
1606,ChristopherPlummer MartinLandau JohnC.Reilly CrispinGlover
1607,JudeLaw RooneyMara CatherineZeta-Jones ChanningTatum
1608,JuliaStiles LukeMably BenMiller MirandaRichardson
1609,JimCummings TravisOates BudLuckey CraigFerguson
1610,MimiRogers EricChristianOlsen LuisGuzmán RachelNichols
1611,WarrenBeatty HalleBerry SeanAstin ChristineBaranski
1612,ChadwickBoseman NelsanEllis DanAykroyd ViolaDavis
1613,MerylStreep RenéeZellweger WilliamHurt TomEverettScott
1614,DenzelWashington RussellCrowe KellyLynch WilliamForsythe
1615,UmaThurman LukeWilson AnnaFaris EddieIzzard
1616,EricBana EdgarRamírez OliviaMunn JoelMcHale
1617,IoanGruffudd RichardRoxburgh AliceParkinson DanielWyllie
1618,BrittanyMurphy HollyHunter KathyBates RonLivingston
1619,JasonSegel EmilyBlunt ChrisPratt AlisonBrie
1620,BernieMac AngelaBassett MichaelRispoli BrianJ.White
1621,RussellCrowe ElizabethBanks BrianDennehy RZA
1622,MillaJovovich CameronBright NickChinlund SebastienAndrieu
1623,EthanHawke LaurenceFishburne GabrielByrne MariaBello
1624,ChowYun-fat MiraSorvino MichaelRooker KennethTsang
1625,LaurenceFishburne StephenBaldwin SalmaHayek WillPatton
1626,DavidArquette KariWuhrer ScottTerra ScarlettJohansson
1627,JakeGyllenhaal AnneHathaway OliverPlatt HankAzaria
1628,AlPacino AliciaWitt LeeleeSobieski AmyBrenneman
1629,CharlizeTheron EllePeterson ThomasCurtis FrancesMcDormand
1630,BruceWillis MatthewPerry AmandaPeet KevinPollak
1631,AdrienBrody SarahPolley DelphineChanéac DavidHewlett
1632,LeaThompson JeffreyJones TimRobbins EdGale
1633,EdwardNorton JonVoight ColinFarrell NoahEmmerich
1634,ColeHauser EddieCibrian MorrisChestnut LenaHeadey
1635,LukeWilson KateHudson SophieMarceau DavidPaymer
1636,JoshHartnett RoseByrne MatthewLillard DianeKruger
1637,AntonYelchin ColinFarrell ToniCollette ChristopherMintz-Plasse
1638,ColinFarrell Q'oriankaKilcher ChristopherPlummer ChristianBale
1639,FreddiePrinzeJr. SaffronBurrows MatthewLillard TchékyKaryo
1640,AnnetteBening AidanQuinn StephenRea RobertDowneyJr.
1641,ChowYun-fat JustinChatwin JoonPark JamieChung
1642,ArnoldSchwarzenegger ForestWhitaker RodrigoSantoro JohnnyKnoxville
