,0,titles,urls
830,KateBeckinsale ScottSpeedman TonyCurran ShaneBrollyFantasy Action ScienceFiction Thrillerbudapest key vampire light werewolf evolution fangvampLakeshoreEntertainment ScreenGemsUnitedStatesofAmerica,underworld: evolution,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.8MpDQP65FYenC6MoxiOd0gHaLd%26pid%3D15.1&f=1
831,JamesMcAvoy DanielRadcliffe JessicaBrownFindlay AndrewScottDrama ScienceFiction Thrillerlondonengland humanexperimentation frankenstein reanimatedcorpse frankenstein'smonster scienceexperiment 19thcenturyTwentiethCenturyFoxFilmCorporation DavisEntertainment MovingPictureCompany(MPC) TSGEntertainmentUnitedKingdom UnitedStatesofAmerica,victor frankenstein,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.UQZa1uVd11nU-yvIf2nCtQHaD_%26pid%3D15.1&f=1
832,SeanConnery RobBrown F.MurrayAbraham AnnaPaquinDramaupperclass brotherbrotherrelationship scotland poetry basedonnovel mentor becominganadult professor literature intellectuallygifted plagiarism literaturecompetition privateschool manuscript seclusion pulitzerprize dyinganddeath idol friendship unsociability highschool scholarship fatherfigureFountainbridgeFilms LaurenceMarkProductions ColumbiaPicturesCorporation FindingForresterProductionsUnitedStatesofAmerica,finding forrester,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.NgQB8bMkMennbF8fZiiXOwHaFj%26pid%3D15.1&f=1
833,SandraBullock ViggoMortensen DominicWest ElizabethPerkinsComedy Dramaalcoholism urteil carcrash wedding withdrawal womandirectorColumbiaPicturesUnitedStatesofAmerica,28 days,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.yPLgPsKy9CGG1T4YIsVy-QAAAA%26pid%3D15.1&f=1
834,JetLi MorganFreeman BobHoskins VincentReganAction Crimemartialarts hitman serialkillerCanalPlus CurrentEntertainment Clubdeal TF1FilmsProduction EuropaCorp QianYianInternational DannytheDogProdsLtd.France UnitedKingdom UnitedStatesofAmerica,unleashed,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.dj7J_av-3ajDyXwVdH8MwAHaOG%26pid%3D15.1&f=1
835,CameronDiaz ChristinaApplegate ThomasJane SelmaBlairRomance Comedyroommate marriage aftercreditsstinger duringcreditsstingerKonradPicturesUnitedStatesofAmerica,the sweetest thing,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.b-nDgXytYfMloowxuqrIsgAAAA%26pid%3D15.1&f=1
836,TomCruise JeanneTripplehorn GeneHackman HollyHunterDrama Mystery Thrillerfbi law tennessee lawyer lawfirm barexamParamountPictures MirageEnterprises DavisEntertainmentUnitedStatesofAmerica,the firm,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.W9LuONw3Qqf9vM3XRstL0gHaLH%26pid%3D15.1&f=1
837,ZacEfron AmandaCrew CharlieTahan AugustusPrewDramabrotherbrotherrelationship basedonnovel sailing ghost youngadultUniversalPictures MarcPlattProductions RelativityMediaUnitedStatesofAmerica,charlie st. cloud,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.RNhsYKG11CfQ16G2a2LSmAHaOG%26pid%3D15.1&f=1
838,JasonStatham BenFoster DonaldSutherland MiniAndenAction Thriller Crimepoison chicago prostitute martialarts assassin airport cemetery boat hitman chase machinegun cover-up beautifulwoman carcrashCBSFilms MillenniumFilms Chartoff-WinklerProductions ScaredProductions NuImageEntertainmentGmbHUnitedStatesofAmerica,the mechanic,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.BXWIhx-CldScOkxLV-e0hQHaLH%26pid%3D15.1&f=1
839,ChanningTatum JonahHill BrieLarson DaveFrancoAction Comedy Crimemalefriendship highschool parody crudehumor basedontvseries undercovercop buddycop buddycomedy duringcreditsstingerColumbiaPictures OriginalFilm StephenJ.CannellProductions RelativityMedia Metro-Goldwyn-Mayer(MGM)UnitedStatesofAmerica,21 jump street,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.2vyFKx9LFNDADWALBicpKAHaK_%26pid%3D15.1&f=1
840,JuliaRoberts HughGrant GinaMcKee TimMcInnernyRomance Comedy Dramalondonengland bookshop birthday newlove filmmaker paparazzi pressconference wheelchair bathtub cohabitant friendship fame celebration moviestar spectacleBookshopProductions NottingHillPictures WorkingTitleFilms PolygramFilmedEntertainmentUnitedKingdom UnitedStatesofAmerica,notting hill,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.p3S7jJhto2IlH_luhrDYMwHaLC%26pid%3D15.1&f=1
841,MelGibson MirandaRichardson TimothySpall ImeldaStauntonAnimation Comedy Familychicken freedom escape chickenfarm piemachineDreamWorksSKG AardmanAnimations DreamWorksAnimation PathéUnitedKingdom,chicken run,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.AB6jGttJ-mPb2Az-vfHA4wHaLH%26pid%3D15.1&f=1
842,BenStiller JenniferAniston PhilipSeymourHoffman DebraMessingComedy Romancebeach honeymoon bride chance risk relation longisland romanticcomedy comedy scubadiving unfaithfulness losangeles artgallery danceclass oppositesattract caribbean commitment danceclub neurotic bagpipes chanceencounter insuranceriskmanagerJerseyFilms LoofahProductionsUnitedStatesofAmerica,along came polly,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.3WENG85vCjugnsWaxyEtpwHaK-%26pid%3D15.1&f=1
843,EddieMurphy RobinGivens HalleBerry DavidAlanGrierComedy Romanceroleofwomen ladykiller success ladies'man chefin casanova womanizerParamountPicturesUnitedStatesofAmerica,boomerang,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Nk6e2UHuo1JO6sEB5XoxNAAAAA%26pid%3D15.1&f=1
844,ChristianBale BradleyCooper AmyAdams JeremyRennerDrama Crimeconartist scam mobster fbiagentColumbiaPictures AtlasEntertainment AnnapurnaPicturesUnitedStatesofAmerica,american hustle,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.qASC2jjttOyYCT-3AqcBewHaLH%26pid%3D15.1&f=1
845,SandraBullock RyanReynolds MarySteenburgen CraigT.NelsonComedy Romance Dramafictitiousmarriage deportation immigrationlaw romanticcomedy alaska nakedscene co-worker humiliation bookeditor fakeboyfriend duringcreditsstinger womandirector pretendrelationshipTouchstonePictures MandevilleFilms Kurtzman/OrciUnitedStatesofAmerica,the proposal,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.S-G2vnVNDJde3OsgrRh-sQHaF7%26pid%3D15.1&f=1
846,TommyLeeJones AshleyJudd BruceGreenwood AnnabethGishCrime Drama Mystery Thrillerprison sailboat sailingtrip neworleans women'sprison probation murderhuntParamountPicturesCanada UnitedStatesofAmerica,double jeopardy,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.lFy9sU9QPSSohE8TDEfg7AAAAA%26pid%3D15.1&f=1
847,MichaelJ.Fox ChristopherLloyd LeaThompson ElisabethShueAdventure Comedy Family ScienceFictionskateboarding flyingcar carrace delorean lightning almanac inventor timetravel sequel diner alternatehistory teenager electricguitar walkingcane highschooldance hoverboard videophoneUniversalPictures AmblinEntertainment U-DriveProductionsUnitedStatesofAmerica,back to the future part ii,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.FFfS2wULtOFEJxeq7VLTWQHaLH%26pid%3D15.1&f=1
848,ScarlettJohansson MorganFreeman ChoiMin-sik AmrWakedAction ScienceFictionartificialintelligence telepathy intelligence drugmule telekinesis futuristic drug superpower toughgirl imax surgery braincapacity syntheticdrug humanbrainUniversalPictures TF1FilmsProduction Canal+ EuropaCorp Ciné+France UnitedStatesofAmerica,lucy,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.qc2yh2b_qSR-_vuDzpICagHaEK%26pid%3D15.1&f=1
849,DakotaJohnson JamieDornan JenniferEhle EloiseMumfordDrama Romance Thrillerbasedonnovel perversion spanking billionaire bdsm womandirectorFocusFeatures TriggerStreetProductions MichaelDeLucaProductionsUnitedStatesofAmerica,fifty shades of grey,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ryw3R_bZh7yvUsk4jrptZgHaEK%26pid%3D15.1&f=1
850,AntonioBanderas CarlaGugino AlexaPenaVega DarylSabaraAction Adventure Comedy Family ScienceFictionvideogame intelligence liberation childhero missionDimensionFilmsUnitedStatesofAmerica,spy kids 3-d: game over,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.1svCA0EfWbMPy5K94oXp7gHaKV%26pid%3D15.1&f=1
851,MatthewMcConaughey SandraBullock SamuelL.Jackson KevinSpaceyCrime Drama Thrillerkukluxklan rape mississippi jurors blackmail attemptedmurder forgiveness court shooting murder suspense lawyer trial courtroom racialtension kkk racialissues courtroomdramaRegencyEnterprises WarnerBros.UnitedStatesofAmerica,a time to kill,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.O0Pj-0yiyPo70STvV2pligHaJA%26pid%3D15.1&f=1
852,SteveMartin BonnieHunt PiperPerabo TomWellingComedybigfamily newjob aspiringactor smartkidTwentiethCenturyFoxFilmCorporation RobertSimondsProductionsUnitedStatesofAmerica,cheaper by the dozen,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ISDpEO8v9wdXn4kjKY_XDQHaJ4%26pid%3D15.1&f=1
853,MarkWahlberg TaylorKitsch EmileHirsch BenFosterAction Drama Thriller Warwar survival navyseal military dangerousmissionUniversalPictures WeedRoadPictures HerrickEntertainment LeverageManagement ClosesttotheHoleProductions Emmett/FurlaFilms EnvisionEntertainmentCorporation Film44 ForesightUnlimited HollywoodStudiosInternational SpikingsEntertainmentUnitedStatesofAmerica,lone survivor,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Q-1wan9KFZH0H7n_ylXMUgHaLH%26pid%3D15.1&f=1
854,TomHanks GeenaDavis Madonna LoriPettyComedybaseball worldwarii sport baseballplayer femaleathlete homefront womandirector 1940sColumbiaPicturesCorporation ParkwayProductionsUnitedStatesofAmerica,a league of their own,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.yWxhjc8ZrRdtMHB0gFAhxAHaKI%26pid%3D15.1&f=1
855,PatrickWilson VeraFarmiga MadisonWolfe FrancesO'ConnorHorrorlondonengland england 1970s spirit singlemother demon paranormalinvestigation demonicpossession valak annabelleNewLineCinema DuneEntertainment TheSafranCompany EvergreenMediaGroup warnerbrossTurkey SohoVFX AtomicMonsterCanada UnitedStatesofAmerica,the conjuring 2,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.hK1Xaja9Q6BK7nxBfzZ8KwHaK_%26pid%3D15.1&f=1
856,JesseEisenberg AndrewGarfield JustinTimberlake ArmieHammerDramahacker hacking creator fratparty socialnetwork deposition intellectualproperty entrepreneur arrogance youngentrepreneur facebookColumbiaPictures ScottRudinProductions RelativityMediaUnitedStatesofAmerica,the social network,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Mo1t97zsMnvrjFs9xQl96AHaLp%26pid%3D15.1&f=1
857,BenAffleck JenniferAniston DrewBarrymore JenniferConnellyComedy Romance Dramarelationship ensemblecast duringcreditsstingerNewLineCinema FlowerFilms(II) InternationaleFilmproduktionBlackswanNetherlands UnitedStatesofAmerica Germany,he's just not that into you,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.xJh1PSMnxaPxxbAM3YAy8gHaKK%26pid%3D15.1&f=1
858,AnnaFaris ReginaHall CraigBierko BillPullmanComedyhauntedhouse alienlife-form riesen-ipodDimensionFilmsUnitedStatesofAmerica,scary movie 4,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ocqoYQnEUorIGe37ucBQJQDREq%26pid%3D15.1&f=1
859,DavidArquette NeveCampbell CourteneyCox PatrickDempseyHorror Mysterymask metaldetector filmdirector ex-cop reporter slasher scream seriesofmurdersKonradPictures Craven-MaddalenaFilms DimensionFilmsUnitedStatesofAmerica,scream 3,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.CLUef8sBX_uvMnidO7cRmQHaKj%26pid%3D15.1&f=1
860,MichaelJ.Fox ChristopherLloyd MarySteenburgen ThomasF.WilsonAdventure Comedy Family ScienceFictionrailroadrobber california delorean indianterritory sportscar inventor locomotive saloon horsebackriding timetravel outlaw sequel madscientist nativeamerican western shootout gunfight train wildwest cavalryUniversalPictures AmblinEntertainment U-DriveProductionsUnitedStatesofAmerica,back to the future part iii,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.pmH-d452AaXe_IInYWe6CQHaEB%26pid%3D15.1&f=1
861,WillFerrell KevinHart AlisonBrie CraigT.NelsonComedyprison training framed embezzlementGarySanchezProductions WarnerBros.UnitedStatesofAmerica,get hard,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Nv4qv_NJyyq-U-hrEr4RegHaK-%26pid%3D15.1&f=1
862,GaryOldman WinonaRyder AnthonyHopkins KeanuReevesRomance Horroradultery maze vampire bite remake roughsex wake religiousconflict bestiality correspondence vampiresex autonomousshadow vlad fangvampAmericanZoetrope ColumbiaPicturesCorporation OsirisFilmsUnitedStatesofAmerica,dracula,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.oaq1jkiMq33EmUimi0OcIAHaJ4%26pid%3D15.1&f=1
863,MerylStreep AmyAdams StanleyTucci ChrisMessinaRomance Dramacooking book cookbook blog recipe womandirector publishingColumbiaPictures ScottRudinProductions EasyThereTigerProductionsUnitedStatesofAmerica,julie & julia,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.7MGWu59oF1mTxJsWMS3dDAHaJi%26pid%3D15.1&f=1
864,ChadwickBoseman T.R.Knight HarrisonFord NicoleBeharieDramabaseball biography sport brooklyndodgersWarnerBros.UnitedStatesofAmerica,42,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.SlUzIybWRklrZUdGxGT_JAHaOG%26pid%3D15.1&f=1
865,MattDamon GwynethPaltrow JudeLaw CateBlanchettThriller Crime Dramavenice italy gay newyork lovesickness doublelife dualidentity jealousy secretidentity newlove homicide atlanticocean newidentity plannedmurder prosecution yacht ship inferiority falseidentity beguilement rejection inferioritycomplex oceanliner friendship homosexuality wealth cowardliness envyParamountPictures MiramaxFilms TimnickFilms MirageEnterprisesUnitedStatesofAmerica,the talented mr. ripley,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.HMTgLKkhzjSGo4jkkgOP1wHaLH%26pid%3D15.1&f=1
866,JimCarrey JeffDaniels RachelMelvin KathleenTurnerComedyfriendship sequel roadmovie buddycomedyNewLineCinema UniversalPictures ConundrumEntertainment RedGranitePicturesUnitedStatesofAmerica,dumb and dumber to,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Q5TEPA4KGs8PSXFY5z5gHAHaLe%26pid%3D15.1&f=1
867,PaulWalker BruceGreenwood MoonBloodgood JasonBiggsAdventure Drama Familyexpedition pilot survival sleddogs sealWaltDisneyPictures SpyglassEntertainment VertigoEntertainment Kennedy/MarshallCompany The MandevilleFilms WinkingProductionsUnitedStatesofAmerica,eight below,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP._yjRm1VACjPgtDBxfHBcMgHaF7%26pid%3D15.1&f=1
868,RobertDeNiro AnneHathaway ReneRusso AndersHolmComedyintern womandirectorWaverlyFilms WarnerBros.UnitedStatesofAmerica,the intern,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.3YwMVf0dYjuyLiFrqRhG-QHaLH%26pid%3D15.1&f=1
869,KevinHart IceCube OliviaMunn TikaSumpterAction Comedypolice sequel policeofficer brother-in-lawbrother-in-lawrelationship blackmen buddyfilmUniversalPictures CubeVision WillPackerProductions ReelChefsCateringUnitedStatesofAmerica,ride along 2,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.-OXwyrWXA05PTK84iT_g3AHaKj%26pid%3D15.1&f=1
870,DanielDay-Lewis MadeleineStowe RussellMeans EricSchweigAction Adventure Drama History Romance Warsecretlove mohawk nativeamerican 18thcentury frenchandindianwarMorganCreekProductionsUnitedStatesofAmerica,the last of the mohicans,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.PWMvv2KNbExK5rqCcepr4AHaKl%26pid%3D15.1&f=1
871,JamieFoxx KerryWashington ReginaKing HarryLennixDrama Musicblackpeople soul countrymusic lossofbrother 1970s jazz blindnessandimpairedvision georgia overdose busride recordproducer biography fromragstoriches childhoodtrauma gospel indianapolis recordlabel recordingstudioUniversalPictures BristolBayProductions BaldwinEntertainmentGroup AnvilFilmsUnitedStatesofAmerica,ray,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.iqPghS49n0RIsd2h0ekyvwHaF7%26pid%3D15.1&f=1
872,JessicaAlba DevonAoki CliveOwen RosarioDawsonAction Thriller Crimedystopia basedoncomicbook heldcaptive basedongraphicnovel blackandwhiteandcolor blackandwhitescene blackandwhitetocolor mysteriouskiller doingtherightthing mercedes silhouette neo-noirDimensionFilms TroublemakerStudios MiramaxUnitedStatesofAmerica,sin city,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.6Hb8k_MBuy471-SYGnkYXAHaEK%26pid%3D15.1&f=1
873,DennisQuaid MatthewFox ForestWhitaker SigourneyWeaverDrama Action Thriller Crimebomb terror spain usapresident terrorist waragainstterror camera carjourney press television camcorder bodyguard safety terrorcell limousine media securityguardColumbiaPictures OriginalFilm Kanzaman RelativityMedia ArtInMotionUnitedStatesofAmerica,vantage point,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.pM8fzh_ug_xubxZXWTr3qgHaLG%26pid%3D15.1&f=1
874,PaulRudd JasonSegel RashidaJones AndySambergComedypoker bondage duringcreditsstingerTheMontecitoPictureCompany DeLinePictures BernardGayleProductionsUnitedStatesofAmerica,"i love you, man",proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.ua_5UeedlcFCS-ktw0GyEQHaLH%26pid%3D15.1&f=1
875,HilarySwank DavidMorrissey IdrisElba AnnaSophiaRobbHorrorriver miracle bible louisiana frog grasshopper faithVillageRoadshowPictures DarkCastleEntertainment WarnerBros. Eyetronics ChimeFilmsUnitedStatesofAmerica,the reaping,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.iGBlBZaPlm1OZ4i1vB5WHAHaK-%26pid%3D15.1&f=1
876,HarveyKeitel RobertDeNiro DavidProval AmyRobinsonDrama Crimeepilepsy protectionmoney secretlove money redemptionScorseseProductionsUnitedStatesofAmerica,mean streets,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.oT-N0BFsyXv5LLRm-zHTpQHaFj%26pid%3D15.1&f=1
877,DannyDeVito MarkWahlberg GregoryHines JamesRemarComedy Warvietnamveteran commercial advertisingexpert kaserne stau soldier unemployment womandirector teachersandstudentsCinergiPicturesEntertainment TouchstonePicturesCanada UnitedStatesofAmerica,renaissance man,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.MRdUs5t8Z8wtF9uE_hXlPwHaOG%26pid%3D15.1&f=1
878,ZoeSaldana CliffCurtis CallumBlue MichaelVartanAction Thriller Crime Dramastreetgang uncle femaleassassin witnesstomurderTF1FilmsProduction Canal+ CinéCinéma GriveProductions EuropaCorp A.J.O.Z.FilmsFrance,colombiana,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.TFB1vnrJnObnJLaozucU9QHaLG%26pid%3D15.1&f=1
879,JessalynGilsig CaryElwes GaryOldman DonRicklesFantasy Animation Drama Romance FamilynanWarnerBros.UnitedStatesofAmerica,quest for camelot,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.u72p3tcuHK6wpZr7JtvEMAHaLD%26pid%3D15.1&f=1
880,RobertDeNiro JamesFranco FrancesMcDormand ElizaDushkuCrime Drama Mysterymurder homicidedetectiveWarnerBros.Pictures EpsilonMotionPictures FranchisePictures BradGreyPictures SeaBreezeProductionsInc.UnitedStatesofAmerica,city by the sea,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Tk--EzKokGTPbY030pQW2AHaFj%26pid%3D15.1&f=1
881,ValKilmer MiraSorvino KellyMcGillis StevenWeberDrama Romanceblind massagetherapistMetro-Goldwyn-Mayer(MGM)UnitedStatesofAmerica,at first sight,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.XXTpONI7Z-34dd911QhPCwHaLD%26pid%3D15.1&f=1
882,MartinHenderson IceCube MonetMazur AdamScottActionex-girlfriend drugdealer gang motorcyclistVillageRoadshowPictures OriginalFilm WarnerBros.Australia UnitedStatesofAmerica,torque,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.LQZ_Nja6X0BtNf-3ayolxgAAAA%26pid%3D15.1&f=1
883,AlPacino JohnCusack BridgetFonda DannyAielloDrama Thrillercorruption undercover warondrugs mayor drugdealer presidentialelection undercoveragent investigation police drugColumbiaPictures CastleRockEntertainmentUnitedStatesofAmerica,city hall,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.tA-GfoKWUcwWo5H0TKUkGwHaLH%26pid%3D15.1&f=1
884,ElizabethBerkley KyleMacLachlan GinaGershon GlennPlummerDramadancing femalenudity go-godancer spanner seduction striptease sexappealUnitedArtists LeStudioCanal+ CarolcoPicturesFrance UnitedStatesofAmerica,showgirls,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.nmGF4sMTJGRXbZ6Ayjq-8AAAAA%26pid%3D15.1&f=1
885,KirstenDunst JasonSchwartzman JudyDavis RipTornDrama Historyshoe voiceover rite theatreaudience brideandgroom deathofking applause womandirectorAmericanZoetrope ColumbiaPicturesCorporation Pricel TohokushinshaFilm CommissionduFilmFrance CommissionduFilmÎle-de-FranceFrance UnitedStatesofAmerica Japan,marie antoinette,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.WKH1Ili5uvmR_JadqK56_wHaLH%26pid%3D15.1&f=1
886,DavidCaruso SamuelL.Jackson NicolasCage HelenHuntAction Crime Drama ThrillerhoodlumTwentiethCenturyFoxFilmCorporationUnitedStatesofAmerica,kiss of death,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.GmvPUBsSJpbbOUAtGrvCZgAAAA%26pid%3D15.1&f=1
887,SylvesterStallone MirandaRichardson RachaelLeighCook MickeyRourkeAction Drama Thriller Crimeritual pornographicvideo carcrash dvdFranchisePictures WarnerBros. MorganCreekProductions TheCantonCompanyUnitedStatesofAmerica,get carter,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.yU2KNVo4NQGln79EgZHLjgHaEK%26pid%3D15.1&f=1
888,NaomiWatts EwanMcGregor TomHolland SamuelJoslinThriller Dramathailand tsunami familyvacation tidalwave catastrophe sweptaway separationfromfamily boxingday 21stcenturySummitEntertainment TelecincoCinema ApachesEntertainment Canal+España InstitutodelaCinematografíaydelasArtesAudiovisuales(ICAA) InstitutValenciãdeCinematografia(IVAC) MediasetEspaña LaTrini GeneralitatValencianaUnitedStatesofAmerica Spain,lo imposible,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.0W_01X60QodJhW-vcSgQKwHaJy%26pid%3D15.1&f=1
889,WarrenBeatty DustinHoffman IsabelleAdjani CharlesGrodinAction Adventure Comedywilderness sahara beautifulwoman singer escape womandirectorColumbiaPicturesUnitedStatesofAmerica,ishtar,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.43lBPtjOV_G2I_kGpR-4PQHaFQ%26pid%3D15.1&f=1
890,GeorgeClooney MerylStreep JasonSchwartzman BillMurrayAdventure Animation Comedy Familyfox tree peasant revenge cider tale farmlifeTwentiethCenturyFoxFilmCorporation RegencyEnterprises IndianPaintbrush AmericanEmpiricalPicturesUnitedStatesofAmerica,fantastic mr. fox,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.CoVQVJ2AxMij08sqAjtgTQHaLH%26pid%3D15.1&f=1
891,AngelinaJolie EdwardBurns TonyShalhoub ChristianKaneComedy Drama RomancenanRegencyEnterprises EpsilonMotionPictures DavisEntertainment NewRegencyPictures MonarchyEnterprisesS.a.r.l. AtchityEntertainmentInternational(AEI)Canada UnitedStatesofAmerica,life or something like it,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.MznO4Ofq3jyycDWHuC_f4gHaKe%26pid%3D15.1&f=1
892,ChevyChase DarylHannah SamNeill MichaelMcKeanComedy Fantasy ScienceFictioninvisiblemanRegencyEnterprises AlcorFilms Canal+ WarnerBros. CorneliusProductionsFrance UnitedStatesofAmerica,memoirs of an invisible man,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.gaphJmyvIaMg8uPGYh0LzAHaLR%26pid%3D15.1&f=1
