,0,titles
1070,1070.0,the indian in the cupboard
1071,1071.0,savages
1072,1072.0,cellular
1073,1073.0,johnny english
1074,1074.0,the ant bully
1075,1075.0,dune
1076,1076.0,across the universe
1077,1077.0,revolutionary road
1078,1078.0,16 blocks
1079,1079.0,babylon a.d.
1080,1080.0,the glimmer man
1081,1081.0,multiplicity
1082,1082.0,aliens in the attic
1083,1083.0,the pledge
1084,1084.0,the producers
1085,1085.0,the phantom
1086,1086.0,all the pretty horses
1087,1087.0,nixon
1088,1088.0,the ghost writer
1089,1089.0,deep rising
1090,1090.0,miracle at st. anna
1091,1091.0,bangkok dangerous
1092,1092.0,big trouble
1093,1093.0,love in the time of cholera
1094,1094.0,shadow conspiracy
1095,1095.0,johnny english reborn
1096,1096.0,foodfight!
1097,1097.0,argo
1098,1098.0,the fugitive
1099,1099.0,the bounty hunter
1100,1100.0,sleepers
1101,1101.0,rambo: first blood part ii
1102,1102.0,the juror
1103,1103.0,pinocchio
1104,1104.0,heaven's gate
1105,1105.0,underworld: evolution
1106,1106.0,victor frankenstein
1107,1107.0,finding forrester
1108,1108.0,28 days
1109,1109.0,unleashed
1110,1110.0,the sweetest thing
1111,1111.0,the firm
1112,1112.0,charlie st. cloud
1113,1113.0,the mechanic
1114,1114.0,21 jump street
1115,1115.0,notting hill
1116,1116.0,chicken run
1117,1117.0,along came polly
1118,1118.0,boomerang
1119,1119.0,the heat
1120,1120.0,cleopatra
1121,1121.0,here comes the boom
1122,1122.0,high crimes
1123,1123.0,the mirror has two faces
1124,1124.0,the mothman prophecies
1125,1125.0,brüno
1126,1126.0,licence to kill
1127,1127.0,red riding hood
1128,1128.0,15 minutes
1129,1129.0,super mario bros.
1130,1130.0,lord of war
1131,1131.0,one for the money
1132,1132.0,the interview
1133,1133.0,the warrior's way
1134,1134.0,micmacs à tire-larigot
1135,1135.0,8 mile
1136,1136.0,pourquoi j'ai pas mangé mon père
1137,1137.0,a knight's tale
1138,1138.0,the medallion
1139,1139.0,the sixth sense
1140,1140.0,man on a ledge
1141,1141.0,the big year
1142,1142.0,the karate kid
1143,1143.0,american hustle
1144,1144.0,the proposal
1145,1145.0,double jeopardy
1146,1146.0,back to the future part ii
1147,1147.0,lucy
1148,1148.0,fifty shades of grey
1149,1149.0,spy kids 3-d: game over
1150,1150.0,a time to kill
1151,1151.0,cheaper by the dozen
1152,1152.0,lone survivor
1153,1153.0,a league of their own
1154,1154.0,the conjuring 2
1155,1155.0,the social network
1156,1156.0,he's just not that into you
1157,1157.0,scary movie 4
1158,1158.0,scream 3
1159,1159.0,back to the future part iii
1160,1160.0,get hard
1161,1161.0,dracula
1162,1162.0,julie & julia
1163,1163.0,42
1164,1164.0,the talented mr. ripley
1165,1165.0,dumb and dumber to
1166,1166.0,eight below
1167,1167.0,the intern
1168,1168.0,ride along 2
1169,1169.0,the last of the mohicans
1170,1170.0,ray
1171,1171.0,sin city
1172,1172.0,vantage point
1173,1173.0,"i love you, man"
1174,1174.0,shallow hal
1175,1175.0,jfk
1176,1176.0,big momma's house 2
1177,1177.0,the mexican
1178,1178.0,17 again
1179,1179.0,the other woman
1180,1180.0,the final destination
1181,1181.0,bridge of spies
1182,1182.0,behind enemy lines
1183,1183.0,get him to the greek
1184,1184.0,shall we dance?
1185,1185.0,small soldiers
1186,1186.0,spawn
1187,1187.0,the count of monte cristo
1188,1188.0,the lincoln lawyer
1189,1189.0,unknown
1190,1190.0,the prestige
1191,1191.0,horrible bosses 2
1192,1192.0,escape from planet earth
1193,1193.0,apocalypto
1194,1194.0,the living daylights
1195,1195.0,predators
1196,1196.0,legal eagles
1197,1197.0,secret window
1198,1198.0,the lake house
1199,1199.0,the skeleton key
1200,1200.0,the odd life of timothy green
1201,1201.0,made of honor
1202,1202.0,jersey boys
1203,1203.0,the rainmaker
1204,1204.0,gothika
1205,1205.0,amistad
1206,1206.0,medicine man
1207,1207.0,aliens vs predator: requiem
1208,1208.0,ri¢hie ri¢h
1209,1209.0,autumn in new york
1210,1210.0,music and lyrics
1211,1211.0,paul
1212,1212.0,the guilt trip
1213,1213.0,scream 4
1214,1214.0,8mm
1215,1215.0,the doors
1216,1216.0,sex tape
1217,1217.0,hanging up
1218,1218.0,final destination 5
1219,1219.0,mickey blue eyes
1220,1220.0,pay it forward
1221,1221.0,fever pitch
1222,1222.0,drillbit taylor
1223,1223.0,a million ways to die in the west
1224,1224.0,the shadow
1225,1225.0,extremely loud & incredibly close
1226,1226.0,morning glory
1227,1227.0,get rich or die tryin'
1228,1228.0,the art of war
1229,1229.0,rent
1230,1230.0,bless the child
1231,1231.0,the out-of-towners
1232,1232.0,the island of dr. moreau
1233,1233.0,the musketeer
1234,1234.0,the other boleyn girl
1235,1235.0,sweet november
1236,1236.0,the reaping
1237,1237.0,mean streets
1238,1238.0,renaissance man
1239,1239.0,colombiana
1240,1240.0,quest for camelot
1241,1241.0,city by the sea
1242,1242.0,at first sight
1243,1243.0,torque
1244,1244.0,city hall
1245,1245.0,showgirls
1246,1246.0,marie antoinette
1247,1247.0,kiss of death
1248,1248.0,get carter
1249,1249.0,lo imposible
1250,1250.0,ishtar
1251,1251.0,fantastic mr. fox
1252,1252.0,life or something like it
1253,1253.0,memoirs of an invisible man
1254,1254.0,le fabuleux destin d'amélie poulain
1255,1255.0,new york minute
1256,1256.0,alfie
1257,1257.0,big miracle
1258,1258.0,the deep end of the ocean
1259,1259.0,feardotcom
1260,1260.0,cirque du freak: the vampire's assistant
1261,1261.0,duplex
1262,1262.0,soul men
1263,1263.0,raise the titanic
1264,1264.0,universal soldier: the return
1265,1265.0,pandorum
1266,1266.0,impostor
1267,1267.0,extreme ops
1268,1268.0,just visiting
1269,1269.0,sunshine
1270,1270.0,a thousand words
1271,1271.0,delgo
1272,1272.0,the gunman
1273,1273.0,stormbreaker
1274,1274.0,disturbia
1275,1275.0,hackers
1276,1276.0,the hunting party
1277,1277.0,the hudsucker proxy
1278,1278.0,nomad
1279,1279.0,snowpiercer
1280,1280.0,un monstre à paris
1281,1281.0,the last shot
1282,1282.0,the crow
1283,1283.0,baahubali: the beginning
1284,1284.0,the time traveler's wife
1285,1285.0,because i said so
1286,1286.0,frankenweenie
1287,1287.0,serenity
1288,1288.0,against the ropes
1289,1289.0,superman iii
1290,1290.0,grudge match
1291,1291.0,chi bi
1292,1292.0,sweet home alabama
1293,1293.0,the ugly truth
1294,1294.0,sgt. bilko
1295,1295.0,spy kids 2: the island of lost dreams
1296,1296.0,star trek: generations
1297,1297.0,water for elephants
1298,1298.0,dragon nest: warriors' dawn
1299,1299.0,the hurricane
1300,1300.0,enough
1301,1301.0,heartbreakers
1302,1302.0,paul blart: mall cop 2
1303,1303.0,angel eyes
1304,1304.0,joe somebody
1305,1305.0,the ninth gate
1306,1306.0,extreme measures
1307,1307.0,rock star
1308,1308.0,precious
1309,1309.0,white squall
1310,1310.0,the thing
1311,1311.0,riddick
1312,1312.0,switchback
1313,1313.0,texas rangers
1314,1314.0,city of ember
1315,1315.0,the master
1316,1316.0,virgin territory
1317,1317.0,the express
1318,1318.0,the 5th wave
1319,1319.0,creed
1320,1320.0,the town
1321,1321.0,what to expect when you're expecting
1322,1322.0,burn after reading
1323,1323.0,nim's island
1324,1324.0,rush
1325,1325.0,magnolia
1326,1326.0,cop out
1327,1327.0,how to be single
1328,1328.0,dolphin tale
1329,1329.0,twilight
1330,1330.0,john q
1331,1331.0,blue streak
1332,1332.0,we're the millers
1333,1333.0,obitaemyy ostrov
1334,1334.0,breakdown
1335,1335.0,never say never again
1336,1336.0,hot tub time machine
1337,1337.0,dolphin tale 2
1338,1338.0,reindeer games
1339,1339.0,a man apart
1340,1340.0,aloha
1341,1341.0,ghosts of mississippi
1342,1342.0,snow falling on cedars
1343,1343.0,the rite
1344,1344.0,gattaca
1345,1345.0,isn't she great
1346,1346.0,space chimps
1347,1347.0,head of state
1348,1348.0,the hangover
1349,1349.0,austin powers: the spy who shagged me
1350,1350.0,batman
1351,1351.0,there be dragons
1352,1352.0,lethal weapon 3
1353,1353.0,the blind side
1354,1354.0,spy kids
1355,1355.0,horrible bosses
1356,1356.0,true grit
1357,1357.0,the devil wears prada
1358,1358.0,star trek: the motion picture
1359,1359.0,identity thief
1360,1360.0,cape fear
1361,1361.0,21
1362,1362.0,trainwreck
1363,1363.0,guess who
1364,1364.0,the english patient
1365,1365.0,l.a. confidential
1366,1366.0,sky high
1367,1367.0,in & out
1368,1368.0,species
1369,1369.0,a nightmare on elm street
1370,1370.0,the cell
1371,1371.0,the man in the iron mask
1372,1372.0,secretariat
1373,1373.0,tmnt
1374,1374.0,radio
1375,1375.0,friends with benefits
1376,1376.0,neighbors 2: sorority rising
1377,1377.0,saving mr. banks
1378,1378.0,malcolm x
1379,1379.0,this is 40
1380,1380.0,old dogs
1381,1381.0,underworld: rise of the lycans
1382,1382.0,license to wed
1383,1383.0,the benchwarmers
1384,1384.0,must love dogs
1385,1385.0,donnie brasco
1386,1386.0,resident evil
1387,1387.0,poltergeist
1388,1388.0,the ladykillers
1389,1389.0,max payne
1390,1390.0,in time
1391,1391.0,the back-up plan
1392,1392.0,something borrowed
1393,1393.0,black knight
1394,1394.0,the bad news bears
1395,1395.0,street fighter
1396,1396.0,the pianist
1397,1397.0,the nativity story
1398,1398.0,house of wax
1399,1399.0,closer
1400,1400.0,j. edgar
1401,1401.0,mirrors
1402,1402.0,queen of the damned
1403,1403.0,predator 2
1404,1404.0,untraceable
1405,1405.0,blast from the past
1406,1406.0,flash gordon
1407,1407.0,jersey girl
1408,1408.0,alex cross
1409,1409.0,midnight in the garden of good and evil
1410,1410.0,heist
1411,1411.0,nanny mcphee and the big bang
1412,1412.0,hoffa
1413,1413.0,the x files: i want to believe
1414,1414.0,ella enchanted
1415,1415.0,concussion
1416,1416.0,abduction
1417,1417.0,valiant
1418,1418.0,wonder boys
1419,1419.0,superhero movie
1420,1420.0,broken city
1421,1421.0,cursed
1422,1422.0,premium rush
1423,1423.0,hot pursuit
1424,1424.0,the four feathers
1425,1425.0,parker
1426,1426.0,wimbledon
1427,1427.0,furry vengeance
1428,1428.0,bait
1429,1429.0,krull
1430,1430.0,lions for lambs
1431,1431.0,flight of the intruder
1432,1432.0,walk hard: the dewey cox story
1433,1433.0,the shipping news
1434,1434.0,american outlaws
1435,1435.0,the young victoria
1436,1436.0,whiteout
1437,1437.0,the tree of life
1438,1438.0,knock off
1439,1439.0,sabotage
1440,1440.0,the order
1441,1441.0,punisher: war zone
1442,1442.0,zoom
1443,1443.0,the walk
1444,1444.0,warriors of virtue
1445,1445.0,a good year
1446,1446.0,radio flyer
1447,1447.0,bound by honor
1448,1448.0,smilla's sense of snow
1449,1449.0,femme fatale
1450,1450.0,lion of the desert
1451,1451.0,le hussard sur le toit
1452,1452.0,ride with the devil
1453,1453.0,biutiful
1454,1454.0,bandidas
1455,1455.0,black water transit
1456,1456.0,the maze runner
1457,1457.0,unfinished business
1458,1458.0,the age of innocence
1459,1459.0,the fountain
1460,1460.0,chill factor
1461,1461.0,stolen
1462,1462.0,the longest ride
1463,1463.0,the astronaut's wife
1464,1464.0,i dreamed of africa
1465,1465.0,playing for keeps
1466,1466.0,mandela: long walk to freedom
1467,1467.0,reds
1468,1468.0,a few good men
1469,1469.0,exit wounds
1470,1470.0,big momma's house
1471,1471.0,the house of magic
1472,1472.0,the darkest hour
1473,1473.0,step up revolution
1474,1474.0,snakes on a plane
1475,1475.0,the watcher
1476,1476.0,the punisher
1477,1477.0,goal!: the dream begins
1478,1478.0,safe
1479,1479.0,pushing tin
1480,1480.0,return of the jedi
1481,1481.0,doomsday
1482,1482.0,the reader
1483,1483.0,wanderlust
1484,1484.0,elf
1485,1485.0,phenomenon
1486,1486.0,snow dogs
1487,1487.0,scrooged
1488,1488.0,nacho libre
1489,1489.0,bridesmaids
1490,1490.0,this is the end
1491,1491.0,stigmata
1492,1492.0,men of honor
1493,1493.0,takers
1494,1494.0,the big wedding
1495,1495.0,"big mommas: like father, like son"
1496,1496.0,source code
1497,1497.0,alive
1498,1498.0,the number 23
1499,1499.0,the young and prodigious t.s. spivet
1500,1500.0,1941
1501,1501.0,dreamer: inspired by a true story
1502,1502.0,a history of violence
1503,1503.0,transporter 2
1504,1504.0,the quick and the dead
1505,1505.0,laws of attraction
1506,1506.0,bringing out the dead
1507,1507.0,repo men
1508,1508.0,bogus
1509,1509.0,the incredible burt wonderstone
1510,1510.0,cats don't dance
1511,1511.0,cradle will rock
1512,1512.0,the good german
1513,1513.0,george and the dragon
1514,1514.0,apocalypse now
1515,1515.0,going the distance
1516,1516.0,mr. holland's opus
1517,1517.0,criminal
1518,1518.0,out of africa
1519,1519.0,flight
1520,1520.0,moonraker
1521,1521.0,the grand budapest hotel
1522,1522.0,hearts in atlantis
1523,1523.0,arachnophobia
1524,1524.0,frequency
1525,1525.0,vacation
1526,1526.0,get shorty
1527,1527.0,chicago
1528,1528.0,big daddy
1529,1529.0,american pie 2
1530,1530.0,toy story
1531,1531.0,speed
1532,1532.0,the vow
1533,1533.0,extraordinary measures
1534,1534.0,remember the titans
1535,1535.0,the hunt for red october
1536,1536.0,the butler
1537,1537.0,dodgeball: a true underdog story
1538,1538.0,the addams family
1539,1539.0,ace ventura: when nature calls
1540,1540.0,the princess diaries
1541,1541.0,the first wives club
1542,1542.0,se7en
1543,1543.0,district 9
1544,1544.0,the spongebob squarepants movie
1545,1545.0,mystic river
1546,1546.0,million dollar baby
1547,1547.0,analyze this
1548,1548.0,the notebook
1549,1549.0,27 dresses
1550,1550.0,hannah montana: the movie
1551,1551.0,rugrats in paris: the movie
1552,1552.0,the prince of tides
1553,1553.0,legends of the fall
1554,1554.0,up in the air
1555,1555.0,about schmidt
1556,1556.0,warm bodies
1557,1557.0,looper
1558,1558.0,down to earth
1559,1559.0,babe
1560,1560.0,hope springs
1561,1561.0,forgetting sarah marshall
1562,1562.0,four brothers
1563,1563.0,baby mama
1564,1564.0,hope floats
1565,1565.0,bride wars
1566,1566.0,without a paddle
1567,1567.0,13 going on 30
1568,1568.0,midnight in paris
1569,1569.0,the nut job
1570,1570.0,blow
1571,1571.0,message in a bottle
1572,1572.0,star trek v: the final frontier
1573,1573.0,like mike
1574,1574.0,the naked gun 33⅓: the final insult
1575,1575.0,a view to a kill
1576,1576.0,the curse of the were-rabbit
1577,1577.0,p.s. i love you
1578,1578.0,racing stripes
1579,1579.0,atonement
1580,1580.0,letters to juliet
1581,1581.0,black rain
1582,1582.0,the three stooges
1583,1583.0,corpse bride
1584,1584.0,glory road
1585,1585.0,sicario
1586,1586.0,southpaw
1587,1587.0,drag me to hell
1588,1588.0,the age of adaline
1589,1589.0,secondhand lions
1590,1590.0,step up 3d
1591,1591.0,blue crush
1592,1592.0,stranger than fiction
1593,1593.0,30 days of night
1594,1594.0,the cabin in the woods
1595,1595.0,meet the spartans
1596,1596.0,midnight run
1597,1597.0,the running man
1598,1598.0,little shop of horrors
1599,1599.0,hanna
1600,1600.0,mortal kombat: annihilation
1601,1601.0,larry crowne
1602,1602.0,carrie
1603,1603.0,take the lead
1604,1604.0,gridiron gang
1605,1605.0,what's the worst that could happen?
1606,1606.0,9
1607,1607.0,side effects
1608,1608.0,the prince & me
1609,1609.0,winnie the pooh
1610,1610.0,dumb and dumberer: when harry met lloyd
1611,1611.0,bulworth
1612,1612.0,get on up
1613,1613.0,one true thing
1614,1614.0,virtuosity
1615,1615.0,my super ex-girlfriend
1616,1616.0,deliver us from evil
1617,1617.0,sanctum
1618,1618.0,little black book
1619,1619.0,the five-year engagement
1620,1620.0,mr. 3000
1621,1621.0,the next three days
1622,1622.0,ultraviolet
1623,1623.0,assault on precinct 13
1624,1624.0,the replacement killers
1625,1625.0,fled
1626,1626.0,eight legged freaks
1627,1627.0,love & other drugs
1628,1628.0,88 minutes
1629,1629.0,north country
1630,1630.0,the whole ten yards
1631,1631.0,splice
1632,1632.0,howard the duck
1633,1633.0,pride and glory
1634,1634.0,the cave
1635,1635.0,alex & emma
1636,1636.0,wicker park
1637,1637.0,fright night
1638,1638.0,the new world
1639,1639.0,wing commander
1640,1640.0,in dreams
1641,1641.0,dragonball evolution
1642,1642.0,the last stand
1643,1643.0,godsend
1644,1644.0,chasing liberty
1645,1645.0,hoodwinked too! hood vs. evil
1646,1646.0,an unfinished life
1647,1647.0,the imaginarium of doctor parnassus
1648,1648.0,barney's version
1649,1649.0,runner runner
1650,1650.0,antitrust
1651,1651.0,glory
1652,1652.0,once upon a time in america
1653,1653.0,dead man down
1654,1654.0,the merchant of venice
1655,1655.0,the good thief
1656,1656.0,supercross
1657,1657.0,miss potter
1658,1658.0,wu ji
1659,1659.0,doa: dead or alive
1660,1660.0,the assassination of jesse james by the coward robert ford
1661,1661.0,le petit nicolas
1662,1662.0,wild card
1663,1663.0,machine gun preacher
1664,1664.0,konferenz der tiere
1665,1665.0,goodbye bafana
1666,1666.0,united passions
1667,1667.0,grace of monaco
1668,1668.0,савва. сердце воина
1669,1669.0,ripley's game
1670,1670.0,sausage party
1671,1671.0,pitch perfect 2
1672,1672.0,walk the line
1673,1673.0,keeping the faith
1674,1674.0,the borrowers
1675,1675.0,frost/nixon
1676,1676.0,confessions of a dangerous mind
1677,1677.0,serving sara
1678,1678.0,the boss
1679,1679.0,cry freedom
1680,1680.0,mumford
1681,1681.0,seed of chucky
1682,1682.0,the jacket
1683,1683.0,aladdin
1684,1684.0,straight outta compton
1685,1685.0,indiana jones and the temple of doom
1686,1686.0,the rugrats movie
1687,1687.0,along came a spider
1688,1688.0,florence foster jenkins
1689,1689.0,once upon a time in mexico
1690,1690.0,die hard
1691,1691.0,role models
1692,1692.0,the big short
1693,1693.0,taking woodstock
1694,1694.0,miracle
1695,1695.0,dawn of the dead
1696,1696.0,the wedding planner
1697,1697.0,the royal tenenbaums
1698,1698.0,identity
1699,1699.0,last vegas
1700,1700.0,for your eyes only
1701,1701.0,serendipity
1702,1702.0,timecop
1703,1703.0,zoolander
1704,1704.0,safe haven
1705,1705.0,hocus pocus
1706,1706.0,no reservations
1707,1707.0,kick-ass
1708,1708.0,30 minutes or less
1709,1709.0,dracula 2000
1710,1710.0,"alexander and the terrible, horrible, no good, very bad day"
1711,1711.0,pride & prejudice
1712,1712.0,blade runner
1713,1713.0,rob roy
1714,1714.0,3 days to kill
1715,1715.0,we own the night
1716,1716.0,lost souls
1717,1717.0,le peuple migrateur
1718,1718.0,just my luck
1719,1719.0,"mystery, alaska"
1720,1720.0,the spy next door
1721,1721.0,a simple wish
1722,1722.0,ghosts of mars
1723,1723.0,our brand is crisis
1724,1724.0,pride and prejudice and zombies
1725,1725.0,kundun
1726,1726.0,how to lose friends & alienate people
1727,1727.0,kick-ass 2
1728,1728.0,alatriste
1729,1729.0,brick mansions
1730,1730.0,octopussy
1731,1731.0,knocked up
1732,1732.0,my sister's keeper
1733,1733.0,welcome home roscoe jenkins
1734,1734.0,a passage to india
1735,1735.0,notes on a scandal
1736,1736.0,rendition
1737,1737.0,star trek vi: the undiscovered country
1738,1738.0,divine secrets of the ya-ya sisterhood
1739,1739.0,kiss the girls
1740,1740.0,the blues brothers
1741,1741.0,the sisterhood of the traveling pants 2
1742,1742.0,joyful noise
1743,1743.0,about a boy
1744,1744.0,lake placid
1745,1745.0,lucky number slevin
1746,1746.0,the right stuff
1747,1747.0,anonymous
1748,1748.0,the neverending story
1749,1749.0,dark city
1750,1750.0,the duchess
1751,1751.0,return to oz
1752,1752.0,the newton boys
1753,1753.0,case 39
1754,1754.0,suspect zero
1755,1755.0,martian child
1756,1756.0,spy kids: all the time in the world
1757,1757.0,money monster
1758,1758.0,the 51st state
1759,1759.0,flawless
1760,1760.0,mindhunters
1761,1761.0,what just happened
1762,1762.0,the statement
1763,1763.0,the magic flute
1764,1764.0,paul blart: mall cop
1765,1765.0,freaky friday
1766,1766.0,the 40 year old virgin
1767,1767.0,shakespeare in love
1768,1768.0,a walk among the tombstones
1769,1769.0,kindergarten cop
1770,1770.0,pineapple express
1771,1771.0,everafter
1772,1772.0,open range
1773,1773.0,flatliners
1774,1774.0,a bridge too far
1775,1775.0,red eye
1776,1776.0,final destination 2
1777,1777.0,"o brother, where art thou?"
1778,1778.0,legion
1779,1779.0,pain & gain
1780,1780.0,in good company
1781,1781.0,clockstoppers
1782,1782.0,silverado
1783,1783.0,brothers
1784,1784.0,agent cody banks 2: destination london
1785,1785.0,new year's eve
1786,1786.0,original sin
1787,1787.0,the raven
1788,1788.0,welcome to mooseport
1789,1789.0,highlander iii: the sorcerer
1790,1790.0,blood and wine
1791,1791.0,snow white: a tale of terror
1792,1792.0,the curse of the jade scorpion
1793,1793.0,accidental love
1794,1794.0,flipper
1795,1795.0,self/less
1796,1796.0,the constant gardener
1797,1797.0,the passion of the christ
1798,1798.0,mrs. doubtfire
1799,1799.0,rain man
1800,1800.0,gran torino
1801,1801.0,taken
1802,1802.0,the best of me
1803,1803.0,the bodyguard
1804,1804.0,schindler's list
1805,1805.0,the help
1806,1806.0,the fifth estate
1807,1807.0,scooby-doo 2: monsters unleashed
1808,1808.0,viy
1809,1809.0,freddy vs. jason
1810,1810.0,the face of an angel
1811,1811.0,jimmy neutron: boy genius
1812,1812.0,cloverfield
1813,1813.0,teenage mutant ninja turtles ii: the secret of the ooze
1814,1814.0,the untouchables
1815,1815.0,no country for old men
1816,1816.0,ride along
1817,1817.0,bridget jones's diary
1818,1818.0,chocolat
1819,1819.0,"legally blonde 2: red, white & blonde"
1820,1820.0,parental guidance
1821,1821.0,no strings attached
1822,1822.0,tombstone
1823,1823.0,romeo must die
1824,1824.0,the omen
1825,1825.0,final destination 3
1826,1826.0,the lucky one
1827,1827.0,bridge to terabithia
1828,1828.0,finding neverland
1829,1829.0,a madea christmas
1830,1830.0,the grey
1831,1831.0,hide and seek
1832,1832.0,anchorman: the legend of ron burgundy
1833,1833.0,goodfellas
1834,1834.0,agent cody banks
1835,1835.0,nanny mcphee
1836,1836.0,scarface
1837,1837.0,nothing to lose
1838,1838.0,the last emperor
1839,1839.0,contraband
1840,1840.0,money talks
1841,1841.0,there will be blood
1842,1842.0,the wild thornberrys movie
1843,1843.0,rugrats go wild
1844,1844.0,undercover brother
1845,1845.0,the sisterhood of the traveling pants
1846,1846.0,kiss of the dragon
1847,1847.0,the house bunny
1848,1848.0,beauty shop
1849,1849.0,million dollar arm
1850,1850.0,the giver
1851,1851.0,what a girl wants
1852,1852.0,jeepers creepers 2
1853,1853.0,good luck chuck
1854,1854.0,cradle 2 the grave
1855,1855.0,the hours
1856,1856.0,she's the man
1857,1857.0,mr. bean's holiday
1858,1858.0,anacondas: the hunt for the blood orchid
1859,1859.0,blood ties
1860,1860.0,august rush
1861,1861.0,elizabeth
1862,1862.0,bride of chucky
1863,1863.0,tora! tora! tora!
1864,1864.0,spice world
1865,1865.0,the sitter
1866,1866.0,dance flick
1867,1867.0,the shawshank redemption
1868,1868.0,crocodile dundee in los angeles
1869,1869.0,kingpin
1870,1870.0,the gambler
1871,1871.0,august: osage county
1872,1872.0,ice princess
1873,1873.0,a lot like love
1874,1874.0,eddie the eagle
1875,1875.0,he got game
1876,1876.0,don juan demarco
1877,1877.0,dear john
1878,1878.0,the losers
1879,1879.0,don't be afraid of the dark
1880,1880.0,war
1881,1881.0,punch-drunk love
1882,1882.0,eurotrip
1883,1883.0,half past dead
1884,1884.0,unaccompanied minors
1885,1885.0,"bright lights, big city"
1886,1886.0,the adventures of pinocchio
1887,1887.0,the greatest game ever played
1888,1888.0,the box
1889,1889.0,the ruins
1890,1890.0,the next best thing
1891,1891.0,my soul to take
1892,1892.0,the girl next door
1893,1893.0,maximum risk
1894,1894.0,stealing harvard
1895,1895.0,legend
1896,1896.0,hot rod
1897,1897.0,shark night
1898,1898.0,angela's ashes
1899,1899.0,draft day
1900,1900.0,lifeforce
1901,1901.0,the conspirator
1902,1902.0,lords of dogtown
1903,1903.0,the 33
1904,1904.0,big trouble in little china
1905,1905.0,un plan parfait
1906,1906.0,warrior
1907,1907.0,michael collins
1908,1908.0,gettysburg
1909,1909.0,stop-loss
1910,1910.0,abandon
1911,1911.0,brokedown palace
1912,1912.0,the possession
1913,1913.0,mrs. winterbourne
1914,1914.0,straw dogs
1915,1915.0,the hoax
1916,1916.0,stone cold
1917,1917.0,the road
1918,1918.0,sheena
1919,1919.0,underclassman
1920,1920.0,say it isn't so
1921,1921.0,the world's fastest indian
1922,1922.0,tank girl
1923,1923.0,king's ransom
1924,1924.0,blindness
1925,1925.0,bloodrayne
1926,1926.0,carnage
1927,1927.0,where the truth lies
1928,1928.0,cirque du soleil: worlds away
1929,1929.0,without limits
1930,1930.0,me and orson welles
1931,1931.0,la migliore offerta
1932,1932.0,the bad lieutenant: port of call - new orleans
1933,1933.0,sammy's avonturen: de geheime doorgang
1934,1934.0,les petits mouchoirs
1935,1935.0,love ranch
1936,1936.0,la véritable histoire du chat botté
1937,1937.0,белка и стрелка. звёздные собаки
1938,1938.0,the counselor
1939,1939.0,ironclad
1940,1940.0,waterloo
1941,1941.0,red sky
1942,1942.0,dangerous liaisons
1943,1943.0,on the road
1944,1944.0,star trek iv: the voyage home
1945,1945.0,rocky balboa
1946,1946.0,scream 2
1947,1947.0,jane got a gun
1948,1948.0,think like a man too
1949,1949.0,the whole nine yards
1950,1950.0,footloose
1951,1951.0,old school
1952,1952.0,the fisher king
1953,1953.0,i still know what you did last summer
1954,1954.0,return to me
1955,1955.0,zack and miri make a porno
1956,1956.0,nurse betty
1957,1957.0,the men who stare at goats
1958,1958.0,double take
1959,1959.0,"girl, interrupted"
1960,1960.0,win a date with tad hamilton!
1961,1961.0,muppets from space
1962,1962.0,the wiz
1963,1963.0,ready to rumble
1964,1964.0,play it to the bone
1965,1965.0,i don't know how she does it
1966,1966.0,piranha 3d
1967,1967.0,beyond the sea
1968,1968.0,meet the deedles
1969,1969.0,the thief and the cobbler
1970,1970.0,the bridge of san luis rey
1971,1971.0,faster
1972,1972.0,zombieland
1973,1973.0,the waterboy
1974,1974.0,the empire strikes back
1975,1975.0,bad boys
1976,1976.0,the naked gun 2½: the smell of fear
1977,1977.0,final destination
1978,1978.0,the ides of march
1979,1979.0,pitch black
1980,1980.0,someone like you...
1981,1981.0,her
1982,1982.0,joy ride
1983,1983.0,the adventurer: the curse of the midas box
1984,1984.0,anywhere but here
1985,1985.0,the crew
1986,1986.0,haywire
1987,1987.0,jaws: the revenge
1988,1988.0,marvin's room
1989,1989.0,the longshots
1990,1990.0,the end of the affair
1991,1991.0,harley davidson and the marlboro man
1992,1992.0,in the valley of elah
1993,1993.0,coco avant chanel
1994,1994.0,forsaken
1995,1995.0,chéri
1996,1996.0,vanity fair
1997,1997.0,1408
1998,1998.0,spaceballs
1999,1999.0,the water diviner
2000,2000.0,ghost
2001,2001.0,there's something about mary
2002,2002.0,the santa clause
2003,2003.0,the rookie
2004,2004.0,the game plan
2005,2005.0,the bridges of madison county
2006,2006.0,the animal
2007,2007.0,gandhi
2008,2008.0,the hundred-foot journey
2009,2009.0,the net
2010,2010.0,i am sam
2011,2011.0,son of god
2012,2012.0,underworld
2013,2013.0,derailed
2014,2014.0,the informant!
2015,2015.0,shadowlands
2016,2016.0,deuce bigalow: european gigolo
2017,2017.0,delivery man
2018,2018.0,our kind of traitor
2019,2019.0,saving silverman
2020,2020.0,diary of a wimpy kid: dog days
2021,2021.0,summer of sam
2022,2022.0,jay and silent bob strike back
2023,2023.0,the glass house
2024,2024.0,"hail, caesar!"
2025,2025.0,josie and the pussycats
2026,2026.0,homefront
2027,2027.0,the little vampire
2028,2028.0,i heart huckabees
2029,2029.0,robocop 3
2030,2030.0,megiddo: the omega code 2
2031,2031.0,darling lili
2032,2032.0,dudley do-right
