,cast,genres,keywords,production_companies,production_countries,title
931,DwayneJohnson AnnaSophiaRobb AlexanderLudwig CarlaGugino,Adventure Family Fantasy ScienceFiction Thriller Action,spacecraft laser teleportation telekinesis alien military duringcreditsstinger supernaturalpower mountain,WaltDisneyPictures GunnFilms,UnitedStatesofAmerica,Race to Witch Mountain
932,NataliePortman HugoWeaving StephenRea StephenFry,Action Thriller Fantasy,detective vatican fascism satanism fascist dystopia government chancellor revenge personificationofsatan torture hatred maskedvigilante catholicism catholicpriest catholicguilt jesuit vengefulspirit activist irishcatholic vengeful jesuitpriest gnosticism occultism,StudioBabelsberg DCComics VirtualStudios AnarchosProductions SilverPictures WarnerBros. MedienboardBerlin-Brandenburg FünfteBabelsbergFilm,Germany UnitedKingdom UnitedStatesofAmerica,V for Vendetta
933,JackieChan OwenWilson FannWong AaronTaylor-Johnson,Action Adventure Comedy Western,londonengland indianterritory emperor revenge murder arrow duringcreditsstinger imperialseal,SpyglassEntertainment TouchstonePictures Birnbaum/BarberProductions JackieChanFilmsLimited AllKnightProductions,HongKong UnitedStatesofAmerica,Shanghai Knights
934,WillFerrell DrewBarrymore DavidCross EugeneLevy,Adventure Animation Comedy Family,museum productplacement balloon jungle monkey family prediction cargoship curiosity,ImagineEntertainment UniversalPictures UniversalAnimationStudios,UnitedStatesofAmerica,Curious George
935,LindsayLohan MichaelKeaton MattDillon BreckinMeyer,Comedy Family Adventure Fantasy Romance,carrace victory car nascar womandirector,WaltDisneyPictures RobertSimondsProductions,UnitedStatesofAmerica,Herbie Fully Loaded
936,MichaelDouglas SeanBean BrittanyMurphy SkyeMcColeBartusiak,Thriller,cemetery diamant suspense psychiatrist killer,VillageRoadshowPictures NPVEntertainment RegencyEnterprises KopelsonEntertainment EpsilonMotionPictures NewRegencyPictures FurthurFilms,Australia UnitedStatesofAmerica,Don't Say a Word
937,JeremyRenner GemmaArterton FamkeJanssen PihlaViitala,Fantasy Horror Action,witch blackmagic steampunk goodvsevil troll extremeviolence violence witchcraft evil witchhunt witchhunter evilwitch duringcreditsstinger hanselandgretel guns 3d,ParamountPictures StudioBabelsberg MTVFilms GarySanchezProductions Metro-Goldwyn-Mayer(MGM) DeutscheFilmförderfonds(DFFF),UnitedStatesofAmerica Germany,Hansel & Gretel: Witch Hunters
938,RichardGere DianeLane OlivierMartinez ErikPerSullivan,Thriller Drama,adultery infidelity eroticism literature lover newyorkcity eroticthriller,RegencyEnterprises Fox2000Pictures EpsilonMotionPictures UnfaithfulFilmproduktionGmbH&Co.KG,UnitedStatesofAmerica,Unfaithful
939,AlexPettyfer TimothyOlyphant TeresaPalmer DiannaAgron,Action Thriller ScienceFiction Adventure,secretidentity alien teenageboy teenagehero alienteenager interspeciesromance basedonyoungadultnovel superpowers,DreamWorksSKG RelianceBIGEntertainment BayFilms TouchstonePictures,UnitedStatesofAmerica,I Am Number Four
940,GeorgeClooney MattDamon JeffreyWright ChrisCooper,Drama Thriller,antiterror bomb assassination middleeast lebanon cia capitalism globalization lossofson persia waragainstterror energypolicy petrol,SectionEight WarnerBros. ParticipantMedia FilmWorks 4M MIDFoundation,UnitedStatesofAmerica,Syriana
941,JamesBadgeDale JohnKrasinski MaxMartini PabloSchreiber,Action Drama History Thriller War,basedonnovel assaultrifle mercenary libya biography basedontruestory heroism explosion americanabroad death 21stcentury ciaagent u.s.ambassador,ParamountPictures 3ArtsEntertainment BayFilms LatinaPictures DuneFilms,Malta Morocco UnitedStatesofAmerica,13 Hours: The Secret Soldiers of Benghazi
942,DiegoLuna ChanningTatum ZoeSaldana ChristinaApplegate,Romance Animation Adventure Comedy Family Fantasy,lovetriangle afterlife dayofthedead bullfighting,TwentiethCenturyFoxFilmCorporation ReelFXCreativeStudios TwentiethCenturyFoxAnimation Chatrone,Mexico UnitedStatesofAmerica,The Book of Life
943,HarrisonFord PaulBettany VirginiaMadsen CarlySchroeder,Thriller,bank technology blackmail hacker seattle computerhacker firewall,VillageRoadshowPictures ThunderRoadPictures WarnerBros. BeaconPictures JonShestackProductions,UnitedStatesofAmerica Australia,Firewall
944,ClintEastwood GeneHackman EdHarris ScottGlenn,Crime Drama Thriller,corruption assassination washingtond.c. rape whitehouse usapresident daughter government suspense secretservice secretserviceagent,ColumbiaPictures CastleRockEntertainment MalpasoProductions,UnitedStatesofAmerica,Absolute Power
945,DemiMoore ViggoMortensen AnneBancroft JasonBeghe,Action Drama,poem middleeast helicopter satellite navy sexism war army sexualharassment navyseal feminist soldier commando mentalhealth drillinstructor military u.s.military armybase reconnaissance sexualdiscrimination,CaravanPictures HollywoodPictures FirstIndependentFilms LargoEntertainment ScottFreeProductions Trap-Two-ZeroProductions,UnitedStatesofAmerica,G.I. Jane
946,MichaelDouglas SeanPenn DeborahKaraUnger JamesRebhorn,Drama Thriller Mystery,brotherbrotherrelationship birthday dangeroflife birthdayparty surprising,PolyGramFilmedEntertainment A&BProducoes PopagandaFilms,UnitedStatesofAmerica,The Game
947,RadhaMitchell SeanBean LaurieHolden DeborahKaraUnger,Horror Mystery,monster motherrole burningofwitches fog suffering darkness sadism supernatural revenge surrealism gore survival goodvsevil blood anotherdimension torture creature violence demon witchburning basedonvideogame dismemberment religiousfanatic ghosttown sleepwalking,SilentHillDCPInc. Davis-Films TriStarPictures Konami,Canada France Japan UnitedStatesofAmerica,Silent Hill
948,KeanuReeves GeneHackman BrookeLangton OrlandoJones,Comedy,americanfootball strike sport coach misfit americanfootballplayer,WarnerBros.,UnitedStatesofAmerica,The Replacements
949,JasonBiggs AlysonHannigan SeannWilliamScott ChrisKlein,Comedy,wifehusbandrelationship sequel familyreunion masturbation scat highschoolreunion quittingajob milf duringcreditsstinger,UniversalPictures,UnitedStatesofAmerica,American Reunion
950,SamuelL.Jackson KevinSpacey DavidMorse RonRifkin,Action Adventure Crime Drama Mystery Thriller,corruption hostage pension innocence police hostage-taking murder suspense conspiracy bulletwound negotiator,RegencyEnterprises WarnerBros.,Germany UnitedStatesofAmerica,The Negotiator
951,RichardArmitage SarahWayneCallies MattWalsh NathanKress,Action Thriller,tornado student foundfootage disastermovie,NewLineCinema VillageRoadshowPictures BrokenRoadProductions RatPac-DuneEntertainment,UnitedStatesofAmerica,Into the Storm
952,EddieMurphy JudgeReinhold HéctorElizondo GilbertR.Hill,Action Comedy Crime,detective undercover securitycamera carousel investigation weapon sequel rescue counterfeit shootout dirtycop gunfight losangeles explosion violence footchase framed carchase secretservice amusementpark rollercoaster beverlyhills buddycomedy,ParamountPictures EddieMurphyProductions,UnitedStatesofAmerica,Beverly Hills Cop III
953,ZachGalligan PhoebeCates JohnGlover RobertProsky,Comedy Horror Fantasy,newyork monster skyscraper mutant restaurant humananimalrelationship mutation tvstation dyinganddeath water researchstation fur bat current electricshock cleverness gremlin cowardliness,AmblinEntertainment WarnerBros.,UnitedStatesofAmerica,Gremlins 2: The New Batch
954,RobertDuvall RobertDowneyJr. VeraFarmiga VincentD'Onofrio,Drama,fathersonrelationship judge lawyer,VillageRoadshowPictures WarnerBros. BigKidPictures TeamDowney,UnitedStatesofAmerica,The Judge
955,GeorgeClooney NicoleKidman MarcelIureș GoranVisnjic,Action Thriller,helicopter terrorist nuclearmissile bridge traincrash train womandirector,DreamWorksSKG,UnitedStatesofAmerica,The Peacemaker
956,MillaJovovich SiennaGuillory OdedFehr ThomasKretschmann,Horror Action ScienceFiction,martialarts mutant dystopia rescue conspiracy evilcorporation zombie basedonvideogame,ImpactPictures ConstantinFilmLtd.,UnitedKingdom UnitedStatesofAmerica Germany France Canada,Resident Evil: Apocalypse
957,RenéeZellweger HughGrant ColinFirth JimBroadbent,Comedy Romance,londonengland lovesickness thailand clumsyfellow todropbrick capture womandirector,MiramaxFilms UniversalPictures StudioCanal WorkingTitleFilms AtlanticTelevision LittleBird,France Germany Ireland UnitedKingdom UnitedStatesofAmerica,Bridget Jones: The Edge of Reason
958,DenzelWashington EvaMendes SanaaLathan JohnBillingsley,Thriller Crime Drama,miami florida doublemurder divorce,OriginalFilm MonarchPictures Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,Out of Time
959,StevenSeagal MichaelCaine JoanChen JohnC.McGinley,Action Thriller,fight inuit petrol company alaska enviromental,WarnerBros.,UnitedStatesofAmerica,On Deadly Ground
960,TaylorLautner TaylorDooley CaydenBoyd DavidArquette,Adventure Family ScienceFiction,imaginaryfriend outcast,TroublemakerStudios,UnitedStatesofAmerica,The Adventures of Sharkboy and Lavagirl
961,LeonardoDiCaprio GuillaumeCanet TildaSwinton VirginieLedoyen,Drama Adventure Romance Thriller,hippie exoticisland beach map groupdynamics sharkattack leader thailand community backpacker delusion marijuana youth shark extramaritalaffair,FigmentFilms,UnitedKingdom UnitedStatesofAmerica,The Beach
962,KateHudson JohnCorbett JoanCusack HaydenPanettiere,Drama Comedy Romance,newyork pastor worldoffasion lossofparents mannequin fashiondesigner familyrelationships,TouchstonePictures BeaconPictures MandevilleFilms,UnitedStatesofAmerica,Raising Helen
963,Rain NaomieHarris SungKang RandallDukKim,Action Crime Thriller,assassination assassin ninjafighter revenge ninja ninjutsu,StudioBabelsberg AnarchosProductions LegendaryPictures DarkCastleEntertainment SilverPictures WarnerBros. MedienboardBerlin-Brandenburg DeutscheFilmförderfonds(DFFF) RocklockFilms,Germany UnitedStatesofAmerica,Ninja Assassin
964,KevinCostner KellyPreston JohnC.Reilly JenaMalone,Drama Romance,baseball trainer career legend training sport,UniversalPictures BeaconPictures,UnitedStatesofAmerica,For Love of the Game
965,DemiMoore BurtReynolds ArmandAssante VingRhames,Drama Thriller Crime,blackmail stripclub striptease police u.s.congress,ColumbiaPictures CastleRockEntertainment,UnitedStatesofAmerica,Striptease
966,OwenWilson EmmaStone GeorgeLopez ChristopherMintz-Plasse,Family Comedy,,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,Marmaduke
967,MattDamon BryceDallasHoward GeorgeMcLaren ThierryNeuvic,Drama Fantasy,,AmblinEntertainment MalpasoProductions WarnerBros. Kennedy/MarshallCompany The,UnitedStatesofAmerica,Hereafter
968,SandraBullock BenChaplin RyanGosling MichaelPitt,Crime Drama Thriller,detective secret fbi homicide evidence nerd vice intellectual highschool partner murder rich forensic,CastleRockEntertainment WarnerBros. SchroederHoffmanProductions,UnitedStatesofAmerica,Murder by Numbers
969,SylvesterStallone AntonioBanderas JulianneMoore AnatoliDavydov,Action Adventure Crime Thriller,competition assassination cia bank cat mexicanstandoff seattle hitman missionofmurder hiddencamera rivalry rescue shootout policechase sniperrifle silencer doublecross caribbean detroitmichigan,SilverPictures Canal+ WarnerBros. DinoDeLaurentiisCompany Donner/Shuler-DonnerProductions Evansgideon/Lazar,France UnitedStatesofAmerica,Assassins
970,GaspardUlliel AaranThomas GongLi DominicWest,Crime Drama Thriller,winter psychopath horror serialkiller,IngeniousFilmPartners ETICFilms QuintaCommunications DinoDeLaurentiisCompany ZephyrFilms YoungHannibalProductions CarthagoFilmsS.a.r.l.,UnitedKingdom CzechRepublic France Italy,Hannibal Rising
971,BruceWillis MichellePfeiffer RobReiner ColleenRennison,Comedy Drama Romance,loveofone'slife therapist psychology wedding relationship divorce,UniversalPictures CastleRockEntertainment,UnitedStatesofAmerica,The Story of Us
972,SaoirseRonan DianeKruger JakeAbel WilliamHurt,Action Adventure Romance ScienceFiction Thriller,basedonnovel massmurder dystopia genocide alieninvasion duringcreditsstinger interspeciesromance alienparasites,NickWechslerProductions OpenRoadFilms SilverReel ChockstonePictures,UnitedStatesofAmerica,The Host
973,JohnTravolta ConnieNielsen SamuelL.Jackson GiovanniRibisi,Action Drama Mystery Thriller Crime,drugaddiction militarycourt panama militaryservice court ranger supremecourt lager militarycrime,IntermediaFilms KraneEntertainment,UnitedStatesofAmerica,Basic
974,ClintEastwood JeffDaniels AnjelicaHuston WandaDeJesus,Crime Drama Mystery Thriller,houseboat heart investigation police ex-cop suspense hearttransplant fbiprofiler,MalpasoProductions WarnerBros.,UnitedStatesofAmerica,Blood Work
975,CliveOwen NaomiWatts ArminMueller-Stahl UlrichThomsen,Drama Thriller Crime,duringcreditsstinger,StudioBabelsberg AtlasEntertainment MosaicMediaGroup X-FilmeCreativePool,Germany UnitedKingdom UnitedStatesofAmerica,The International
976,KurtRussell StacyKeach SteveBuscemi PamGrier,Action Adventure ScienceFiction Thriller,prison usapresident earthquake dystopia attempttoescape losangeles reluctanthero,ParamountPictures RysherEntertainment,UnitedStatesofAmerica,Escape from L.A.
977,EliMarienthal JenniferAniston VinDiesel ChristopherMcDonald,Adventure Animation Family Fantasy ScienceFiction,coldwar friendship giantrobot sittingonatoilet fearofunknown 1950s laxative,WarnerBros.Animation,UnitedStatesofAmerica,The Iron Giant
978,BillMurray AnjelicaHuston CateBlanchett WillemDafoe,Adventure Comedy Drama,ocean filmmaking lossofmother cynic redcap ship,TouchstonePictures AmericanEmpiricalPictures,UnitedStatesofAmerica,The Life Aquatic with Steve Zissou
979,MatthewMcConaughey GuguMbatha-Raw MahershalaAli KeriRussell,War Action Drama History Thriller,slavery americancivilwar,LargerThanLifeProductions VendianEntertainment RouteOneFilms,UnitedStatesofAmerica,Free State of Jones
980,KevinSpacey KateWinslet LauraLinney GabrielMann,Drama Thriller Crime,prison journalist texas professor deathpenalty deathrow interview murder reporter intern innocent activist,MikonaProductionsGmbH&Co.KG UniversalPictures IntermediaFilms SaturnFilms DirtyHandsProductions,Germany UnitedKingdom UnitedStatesofAmerica,The Life of David Gale
981,TommyLeeJones CedrictheEntertainer ChristinaMilian PaulaGarcés,Comedy Action,,RevolutionStudios BelAirEntertainment,UnitedStatesofAmerica,Man of the House
982,LiamNeeson EdHarris JoelKinnaman BoydHolbrook,Action Crime Drama Mystery Thriller,hitman revenge murder ontherun mobster,VertigoEntertainment EnergyEntertainment RatPac-DuneEntertainment,UnitedStatesofAmerica,Run All Night
983,NaomiWatts ViggoMortensen VincentCassel ArminMueller-Stahl,Thriller Crime Mystery,londonengland gay malenudity femalenudity fathersonrelationship sex jealousy underworld undercover hitman russian diary humantrafficking midwife murder motherdaughterrelationship orphan gangster motorcycle bathhouse,BBCFilms SerendipityPointFilms TéléfilmCanada AstralMedia ScionFilms FocusFeatures CorusEntertainment ShinePictures KudosFilmandTelevision,UnitedKingdom UnitedStatesofAmerica Canada,Eastern Promises
984,PaulWalker JessicaAlba ScottCaan AshleyScott,Action Thriller Adventure Crime,diving cocaine shipwreck sailing airplane wrack,ColumbiaPicturesCorporation MandalayPictures Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,Into the Blue
985,MillaJovovich DustinHoffman FayeDunaway JohnMalkovich,Adventure Drama Action History War,schizophrenia france rape siege biography orléans charlesvii. falsehistory joanofarc religiousdelusions,ColumbiaPictures Gaumont,France,Joan of Arc
986,DannyMcBride JamesFranco NataliePortman ZooeyDeschanel,Comedy,kidnapping traitor virgin prince princess revenge minotaur knight dragon wedding king swordandsorcery,UniversalPictures StuberProductions,UnitedStatesofAmerica,Your Highness
987,DanielCraig NaomiWatts RachelWeisz MartonCsokas,Drama Thriller Mystery,housefire extensionladder lastdayonjob,CliffjackMotionPictures MorganCreekProductions,Canada UnitedStatesofAmerica,Dream House
988,JohnTravolta DustinHoffman MiaKirshner AlanAlda,Action Drama Thriller,journalist museum hostagedrama independentfilm,WarnerBros. ArnoldKopelsonProductions,UnitedStatesofAmerica,Mad City
989,JoeMantegna LaraFlynnBoyle JoePantoliano BrianHaley,Action Adventure Comedy Family,baby hoodlum lostchild,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,Baby's Day Out
990,DemiMoore GaryOldman RobertDuvall RobertProsky,Drama History Romance,basedonnovel burningofwitches puritan pregnancy perioddrama extramaritalaffair,HollywoodPictures CinergiPicturesEntertainment,UnitedStatesofAmerica,The Scarlet Letter
991,NaomiWatts SeanPenn TyBurrell BrookeSmith,Drama Thriller,cia nuclearscientist iraq politician duringcreditsstinger,RiverRoadEntertainment ParticipantMedia,UnitedStatesofAmerica UnitedArabEmirates,Fair Game
992,KeiraKnightley MickeyRourke EdgarRamírez DelroyLindo,Action Crime,bountyhunter fbi weapon spectacle,NewLineCinema Davis-Films MetropolitanFilmexport ScottFreeProductions Domino17521,France UnitedKingdom UnitedStatesofAmerica,Domino
993,DavidCaruso LindaFiorentino ChazzPalminteri MichaelBiehn,Action Thriller Mystery Romance,callgirl sanfrancisco investigation murder,ParamountPictures,UnitedStatesofAmerica,Jade
994,GerardButler MichaelC.Hall LoganLerman AmberValletta,Action Thriller ScienceFiction,dystopia mindcontrol gunbattle wrongfulimprisonment dystopicfuture wrongfulconviction onlinegaming,LakeshoreEntertainment Lionsgate,UnitedStatesofAmerica,Gamer
995,AldenEhrenreich AliceEnglert JeremyIrons ViolaDavis,Fantasy Drama Romance,civilwar southernusa magic light dark classprejudice casters basedonyoungadultnovel,AlconEntertainment WarnerBros. BellePictures 3ArtsEntertainment,UnitedStatesofAmerica,Beautiful Creatures
996,RobinWilliams CatherineKeener EdwardNorton DannyDeVito,Comedy Crime Drama Thriller,corruption moderator tvshow success irishmob duringcreditsstinger,SenatorFilmProduktion MadChance WarnerBros. Filmfour,Germany UnitedKingdom UnitedStatesofAmerica,Death to Smoochy
997,BenStiller OwenWilson WillFerrell PenélopeCruz,Comedy,stupidity sequel fashion malemodel fashionmodel modeling,ScottRudinProductions RedHourFilms,UnitedStatesofAmerica,Zoolander 2
998,OwenWilson MorganFreeman GarySinise SaraFoster,Comedy Crime,hotel robbery basedonnovel judge hawaii blackmail seduction yacht waterfall delinquency safe stolenmoney deception skinnydipping cellphone doublecross beachhouse elmoreleonard scheming yellowbikini,Shangri-LaEntertainment Material TaorminaProductions,UnitedStatesofAmerica,The Big Bounce
999,GarryShandling AnnetteBening JohnGoodman GregKinnear,Comedy Drama Romance ScienceFiction,noises alienlife-form erection neuefrau alien reproduction,ColumbiaPictures,UnitedStatesofAmerica,What Planet Are You From?
1000,NicolasCage AmberHeard WilliamFichtner BillyBurke,Fantasy Thriller Action Crime,bone carexplosion premaritalsex sataniccult driver'slicense fingergun backhandslap carjump manpunchingawoman magictrick,SummitEntertainment SaturnFilms NuImageFilms MillenniumFilms MichaelDeLucaProductions,UnitedStatesofAmerica,Drive Angry
1001,KristinKreuk ChrisKlein NealMcDonough MichaelClarkeDuncan,Action Adventure ScienceFiction Thriller,martialarts revenge streetfighter basedonvideogame,TwentiethCenturyFoxFilmCorporation HydeParkFilms,Canada India Japan UnitedStatesofAmerica,Street Fighter: The Legend of Chun-Li
1002,JetLi JasonStatham CarlaGugino DelroyLindo,Action ScienceFiction Thriller,dualidentity,ColumbiaPictures RevolutionStudios HardEightPictures Wonderworksstudiosentertainmentgroup,UnitedStatesofAmerica,The One
1003,AndrewDiceClay WayneNewton PriscillaPresley MorrisDay,Action Comedy Thriller Crime Mystery,rockandroll showbusiness rockstar heavymetal murder privatedetective,TwentiethCenturyFoxFilmCorporation SilverPictures,UnitedStatesofAmerica,The Adventures of Ford Fairlane
1004,TomSturridge PhilipSeymourHoffman RhysIfans BillNighy,Drama Comedy,greatbritain musical rock pirateradio swinging60s,UniversalPictures StudioCanal WorkingTitleFilms MedienproduktionPrometheusFilmgesellschaft PortobelloStudios TightropePictures,Germany UnitedKingdom France,The Boat That Rocked
1005,MichaelDouglas BeniciodelToro JacobVargas TomásMilián,Thriller Drama Crime,usa warondrugs drugtraffic drugdealer drugsmuggle addicted policeoperation unitedstates–mexicobarrier addiction druglord,USAFilms InitialEntertainmentGroup(IEG) BedfordFallsCompany The CompulsionInc. SplendidMedienAG,Germany UnitedStatesofAmerica,Traffic
1006,HarrisonFord SeanConnery DenholmElliott AlisonDoody,Adventure Action,savingtheworld venice holygrail library riddle fathersonrelationship whip treasure nazis entrapment crusader treasurehunt escape panzer orderofthetemplars archaeologist indianajones archeology ,Lucasfilm ParamountPictures,UnitedStatesofAmerica,Indiana Jones and the Last Crusade
1007,KeiraKnightley JudeLaw AaronTaylor-Johnson KellyMacdonald,Drama Romance,basedonnovel st.petersburgrussia highsociety imperialrussia tragicdeath 19thcentury,UniversalPictures FocusFeatures WorkingTitleFilms,France UnitedKingdom,Anna Karenina
1008,SharltoCopley DevPatel Ninja YolandiVisser,Crime Action ScienceFiction,artificialintelligence android robot nearfuture robotcop,ColumbiaPictures MediaRightsCapital SonyPicturesEntertainment(SPE) AlphaCore GenreFilms SimonKinbergProductions LStarCapital OllinStudio,Mexico SouthAfrica UnitedStatesofAmerica,Chappie
1009,DenzelWashington AngelinaJolie QueenLatifah MichaelRooker,Drama Mystery Thriller Crime,paraplegic investigation psychopath,UniversalPictures ColumbiaPicturesCorporation,UnitedStatesofAmerica,The Bone Collector
1010,JodieFoster KristenStewart ForestWhitaker DwightYoakam,Crime Drama Thriller,burglar bunker housebreaking safe money,Hofflund/Polone IndelibleProductions,UnitedStatesofAmerica,Panic Room
1011,LochlynMunro ChandraWest SteveBacic JiannaBallard,Horror,gore slasher singlemother toothfairy woodchipper,,,The Tooth Fairy
1012,GeorgeClooney MarkWahlberg IceCube SpikeJonze,Action Adventure Comedy,gold gulfwar threekings iraq kuwait rescue interracialrelationship treasuremap soldier u.s.soldier goldtheft persiangulf emergencysurgery minefield,VillageRoadshowPictures AtlasEntertainment WarnerBros. Village-A.M.Partnership CoastRidge JungerWittProductions,UnitedStatesofAmerica,Three Kings
1013,TomHardy GaryOldman NoomiRapace JoelKinnaman,Crime Thriller,basedonnovel sovietunion russian murder serialkiller military childmurder stalinism 1950s,SummitEntertainment ScottFreeProductions WorldviewEntertainment,UnitedKingdom UnitedStatesofAmerica CzechRepublic Romania,Child 44
1014,CubaGoodingJr. SethGreen WhoopiGoldberg BreckinMeyer,Adventure Comedy,casino running preisgeld millionaire roadmovie,ParamountPictures FireworksPictures AlphavilleFilms,Canada UnitedStatesofAmerica,Rat Race
1015,JeffBridges KevinSpacey MaryMcCormack AlfreWoodard,Drama ScienceFiction,robbery dream hypnosis investigation murder alien hospital planet patient medication psychiatrist science claim doubt mental help,IntermediaFilms LawrenceGordonProductions PathéPicturesInternational IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG,Germany UnitedKingdom UnitedStatesofAmerica,K-PAX
1016,MegRyan HughJackman LievSchreiber BreckinMeyer,Comedy Fantasy Romance ScienceFiction,lover(female) loveofone'slife timetravel kiss past secretlove fishoutofwater,MiramaxFilms KonradPictures,UnitedStatesofAmerica,Kate & Leopold
1017,ElizabethHurley BrendanFraser FrancesO'Connor OrlandoJones,Fantasy Comedy Romance,loveofone'slife mephisto wish saleofsoul pactwiththedevil teuflisch,TwentiethCenturyFoxFilmCorporation RegencyEnterprises KirchMedia,UnitedStatesofAmerica,Bedazzled
1018,RichardGere GregoryHines DianeLane LonetteMcKee,Music Drama Crime Romance,jazz jazzmusician musical mafia,OrionPictures PSOInternational TotallyIndependent,UnitedStatesofAmerica,The Cotton Club
1019,RussellCrowe ChristianBale LoganLerman DallasRoberts,Western,saloon hero liberationofprisoners transportofprisoners wilderness dyinganddeath raceagainsttime railwaycar stetson rivalry gang gunfight crime family psychological dishonesty heroicmission rightingthewronged chasesandraces parentsandchildren mindandsoul,TreeLineFilms Lionsgate RelativityMedia Yuma,UnitedStatesofAmerica,3:10 to Yuma
1020,LiamNeeson ForestWhitaker MaggieGrace FamkeJanssen,Thriller Action,revenge murder ontherun fugitive framed fatherdaughterrelationship framedformurder,TwentiethCenturyFoxFilmCorporation M6Films Canal+ GriveProductions EuropaCorp Ciné+ M6 TSGEntertainment Taken3,France UnitedStatesofAmerica,Taken 3
1021,GeorgeClooney JenniferLopez VingRhames DonCheadle,Romance Comedy Crime,journalist bedroom purse trunk elmoreleonard,UniversalPictures JerseyFilms,UnitedStatesofAmerica,Out of Sight
1022,JimCarrey MatthewBroderick LeslieMann JackBlack,Comedy Drama Thriller,prison prostitute karaoke darkcomedy cableguy,ColumbiaPicturesCorporation,UnitedStatesofAmerica,The Cable Guy
1023,AamirKhan NanditaDas MaiaSethna KituGidwani,Drama,basedonnovel warofindependence perioddrama womandirector partition 1940s lahore,CrackingtheEarthFilms,Canada India,1947: Earth
1024,WarrenBeatty AlPacino Madonna CharlieKorsmo,Adventure Action Comedy Thriller Crime,corruption crimefighter gangsterboss investigation basedoncomicstrip policeman,TouchstonePictures,UnitedStatesofAmerica,Dick Tracy
1025,PierceBrosnan ReneRusso DenisLeary BenGazzara,Drama Crime Romance,martinique claudemonet famouspainting glider insuranceagent missingpainting stolenpainting valuablepainting richpeople,IrishDreamtime Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,The Thomas Crown Affair
1026,DrewBarrymore SteveZahn AdamGarcia BrittanyMurphy,Comedy Drama Romance,baby becominganadult puberty dream drugaddiction wife unwillinglypregnant writer youth marriageproblems womandirector,ColumbiaPictures,UnitedStatesofAmerica,Riding in Cars with Boys
1027,SylvesterStallone RichardCrenna BrianDennehy BillMcKinney,Action Adventure Thriller War,prison vietnamveteran falselyaccused policebrutality sheriff guerrilla submachinegun gun destroy self-defense vietnam vietnamwar prosecution dyinganddeath villageandtown policeoperation attempttoescape matteroflifeanddeath survivor tramp nationalguard weapon firearm police escape,OrionPictures,UnitedStatesofAmerica,First Blood
1028,DonatasBanionis NatalyaBondarchuk JüriJärvet AnatoliySolonitsyn,Drama ScienceFiction Adventure Mystery,1970s lossofsenseofreality extraterrestrialtechnology subconsciousness russian hallucination spacetravel astronaut soviet,Mosfilm CreativeUnitofWriters&CinemaWorkers UnitFour,Russia,Солярис
1029,GeorgeCarlin AndyDick SarahMichelleGellar LisaKaplan,Animation Comedy Family Fantasy ScienceFiction,dwarves cinderella wolf badmother-in-law prince fairytale littleredridinghood stepmother wizardry princess sleepingbeauty rumpelstilzchen goodandbad intern womandirector,VanguardFilms Lionsgate Odyssey NitrogenStudiosCanada,Germany UnitedStatesofAmerica,Happily N'Ever After
1030,JuliaRoberts JohnMalkovich GeorgeCole MichaelGambon,Drama Horror Thriller Romance,servant monster laboratory jekyllandhyde housemaid 19thcentury,TriStarPictures NFHProductions,UnitedStatesofAmerica,Mary Reilly
1031,JuliaRoberts DermotMulroney CameronDiaz RupertEverett,Comedy Romance,karaoke marriageproposal newlove loveofone'slife kiss man-womanrelation secretlove wedding,TriStarPictures,UnitedStatesofAmerica,My Best Friend's Wedding
1032,JuliaRoberts BillyCrystal CatherineZeta-Jones JohnCusack,Comedy Romance,filmbusiness filmproducer wifehusbandrelationship fictitiousmarriage marriedcouple marriagecrisis,ColumbiaPictures RevolutionStudios Roth-ArnoldProductions,UnitedStatesofAmerica,America's Sweethearts
1033,AlPacino RobinWilliams HilarySwank MauraTierney,Crime Mystery Thriller,detective confession fbi homicide blackmail suspect love murder losangeles teenager neo-noir,SectionEight AlconEntertainment Witt/ThomasProductions,UnitedStatesofAmerica,Insomnia
1034,PatrickStewart JonathanFrakes BrentSpiner LeVarBurton,ScienceFiction Action Adventure Thriller,federation starfleet borg enterprise-e cyborg montana resistance inventor repayment obsession businessstart-up spaceopera,ParamountPictures DigitalImageAssociates,UnitedStatesofAmerica,Star Trek: First Contact
1035,JoshBrolin JohnMalkovich MeganFox MichaelFassbender,Action Western Drama Fantasy Thriller,gunslinger usa dccomics hell facialscar death confederate tomahawk,WarnerBros.,UnitedStatesofAmerica,Jonah Hex
1036,DenzelWashington MegRyan LouDiamondPhillips MattDamon,Drama Thriller Mystery War,gulfwar pilot u.s.army praise rescuemission deadsoldier tank medal,Fox2000Pictures,UnitedStatesofAmerica,Courage Under Fire
1037,JimCarrey MauraTierney CaryElwes JenniferTilly,Comedy,california workaholic birthday lie pregnancyandbirth wish 1990s,ImagineEntertainment UniversalPictures,UnitedStatesofAmerica,Liar Liar
